subject,roi,M,T,Q10,Q25,median,Q75,Q90
subj04,lateral,10,8,0.25836930992684654,0.4083016023780137,0.43764735380716957,0.46177071898131644,0.4880124907812331
subj05,lateral,2,1,-0.5492886341118708,-0.45366229602234365,-0.34138567936664577,-0.2280041216434177,-0.11553381689726056
subj05,lateral,2,2,-0.41376370255608425,-0.3175575409890203,-0.20194857167623825,-0.08619358891673626,0.016476609830621877
subj05,lateral,4,1,-0.3877876659066069,-0.2900838998720113,-0.18803767547380235,-0.07379426136719422,0.025332620191693418
subj05,lateral,6,1,-0.2696615948062061,-0.18677546923705401,-0.09411849058618973,0.018054219760461565,0.11089525158363626
subj05,lateral,2,4,-0.23011397636771802,-0.1369221756792367,-0.03089989773588306,0.07001643111728426,0.16350150440477232
subj05,lateral,4,2,-0.2124506599972304,-0.12274912143676807,-0.016954966774809233,0.08753261618729208,0.1744804276997877
subj05,lateral,8,1,-0.2184718097545589,-0.1468695563050782,-0.05415513653627285,0.0543624133846384,0.14896615347978148
subj05,lateral,10,8,0.3754399496393206,0.4099909232660732,0.4502552870749246,0.4923011462609984,0.49569751374700916
subj06,lateral,2,1,-0.4342067995503732,-0.3657559262779567,-0.2884956531480509,-0.1988788495158056,-0.12066046701118602
subj06,lateral,2,2,-0.31340162856529596,-0.238497900872326,-0.14755021096210544,-0.057641512049594334,0.02329077170606221
subj06,lateral,4,1,-0.31916613967954505,-0.23710709908009914,-0.1363709410852406,-0.05150378732478539,0.022829298418906248
subj06,lateral,6,1,-0.23248629651565184,-0.1449066552935908,-0.043391323244315744,0.041137499312041276,0.10844864179088538
subj06,lateral,2,4,-0.1597348250428566,-0.07861664823863698,0.014905417884753247,0.09788746413472868,0.16478044734902583
subj06,lateral,4,2,-0.14308762112527817,-0.060727986424813515,0.024187839111533715,0.10768086024521908,0.1776822150639597
subj06,lateral,8,1,-0.19652489904820267,-0.1033096568732365,0.009543140452126342,0.08397207764750558,0.1437790897658693
subj06,lateral,10,8,0.32375802875998927,0.38987302035914373,0.47703491010789567,0.48879039887086634,0.49242529090198134
subj07,lateral,2,1,-0.4674871417316802,-0.3198973839837645,-0.18951052052975714,-0.07246106524356546,0.028986873083523056
subj07,lateral,2,2,-0.2725977933761998,-0.14795170282301076,-0.03713401989568704,0.062343066091156724,0.139764750511917
subj07,lateral,4,1,-0.22555557511627028,-0.11719426770394599,-0.007525543038649551,0.09009753457409164,0.1714051260586839
