subject,roi,M,T,F_ID,F_REPEAT,F_INTERACTION
subj04,lateral,4,1,0.04519255800835736,0.6772604834422254,0.2775469585494173
subj04,lateral,6,1,0.026627475754295388,0.802644808488985,0.17072771575671994
subj04,lateral,2,4,0.26941447557265213,0.28706914040348014,0.4435163840238676
subj04,lateral,4,2,0.06786750322121012,0.5576491931080669,0.37448330367072297
subj04,lateral,8,1,0.01180613842803463,0.9030482938351493,0.0851455677368161
subj04,lateral,10,8,nan,nan,nan
subj05,lateral,2,1,0.12912059391148806,0.20921693387244386,0.6616624722160681
subj05,lateral,2,2,0.20233187882045814,0.20684308958769812,0.5908250315918436
subj05,lateral,4,1,0.08228601152357798,0.33347563004919406,0.5842383584272278
subj05,lateral,6,1,0.06487261442752161,0.47615136915449235,0.4589760164179862
subj05,lateral,2,4,0.3541883266761154,0.17677408901515776,0.46903758430872694
subj05,lateral,4,2,0.12382906863426253,0.39741411456708353,0.478756816798654
subj05,lateral,8,1,0.04528919232911858,0.6698918483774747,0.2848189592934067
subj05,lateral,10,8,nan,nan,nan
subj06,lateral,2,1,0.06589798277320039,0.34736199566108955,0.58674002156571
subj06,lateral,2,2,0.13516393779036792,0.29434990841322145,0.5704861537964107
subj06,lateral,4,1,0.05838319908967307,0.49589843245995113,0.44571836845037566
subj06,lateral,6,1,0.046110961875102975,0.621863858777313,0.33202517934758397
subj06,lateral,2,4,0.33892601120821375,0.1981980725187177,0.4628759162730686
subj06,lateral,4,2,0.10465255514175832,0.441724825437029,0.45362261942121274
subj06,lateral,8,1,0.025426972373973816,0.7872093982552842,0.18736362937074189
subj06,lateral,10,8,nan,nan,nan
subj07,lateral,2,1,0.071389622156923,0.2084618097931716,0.7201485680499055
subj07,lateral,2,2,0.12182902406065799,0.19292474078791966,0.6852462351514225
subj07,lateral,4,1,0.0757344557519003,0.3482107906270852,0.5760547536210147
subj07,lateral,6,1,0.05467191488385673,0.5257140531634772,0.41961403195266606
subj07,lateral,2,4,0.2406809691464421,0.15321159164393208,0.6061074392096258
subj07,lateral,4,2,0.09679772457997539,0.34117075206590397,0.5620315233541205
subj07,lateral,8,1,0.029249343824139084,0.7386291854120853,0.23212147076377576
subj07,lateral,10,8,nan,nan,nan
subj08,lateral,2,1,0.10341148572210059,0.34907126574187414,0.5475172485360253
subj08,lateral,2,2,0.2105918760067291,0.2717461297435482,0.5176619942497228
subj08,lateral,4,1,0.070498044965016,0.49473679800305187,0.43476515703193214
subj08,lateral,6,1,0.03749791487548836,0.6741570285544743,0.28834505657003734
subj08,lateral,2,4,0.47648498934550604,0.15267078029596054,0.37084423035853337
subj08,lateral,4,2,0.14018919016730857,0.4132871869360719,0.44652362289661945
subj08,lateral,8,1,0.019952424706464387,0.8419845315069625,0.1380630437865731
subj08,lateral,10,8,nan,nan,nan
