subject,roi,M,T,fold,SCHEDULE_COVERAGE_FOLD
subj08,ventral,6,1,4,0.0
subj08,ventral,6,1,5,0.2575
subj08,ventral,2,4,0,0.24514285714285713
subj08,ventral,2,4,1,0.14
subj08,ventral,2,4,2,0.05714285714285714
subj08,ventral,2,4,3,0.061714285714285715
subj08,ventral,2,4,4,0.09828571428571428
subj08,ventral,2,4,5,0.18
subj08,ventral,4,2,0,0.36964285714285716
subj08,ventral,4,2,1,0.10464285714285715
subj08,ventral,4,2,2,0.05178571428571429
subj08,ventral,4,2,3,0.03678571428571428
subj08,ventral,4,2,4,0.036071428571428574
subj08,ventral,4,2,5,0.2517857142857143
subj08,ventral,8,1,0,0.565
subj08,ventral,8,1,1,0.075
subj08,ventral,8,1,2,0.06
subj08,ventral,8,1,3,0.005
subj08,ventral,8,1,4,0.0
subj08,ventral,8,1,5,0.275
subj08,ventral,10,8,0,1.0
subj08,ventral,10,8,1,1.0
subj08,ventral,10,8,2,1.0
subj08,ventral,10,8,3,0.0
subj08,ventral,10,8,4,1.0
subj08,ventral,10,8,5,1.0
subj01,lateral,2,1,0,0.025
subj01,lateral,2,1,1,0.095
subj01,lateral,2,1,2,0.02
subj01,lateral,2,1,3,0.035
subj01,lateral,2,1,4,0.045
subj01,lateral,2,1,5,0.105
subj01,lateral,2,2,0,0.3442857142857143
subj01,lateral,2,2,1,0.42857142857142855
subj01,lateral,2,2,2,0.3485714285714286
subj01,lateral,2,2,3,0.2257142857142857
subj01,lateral,2,2,4,0.2957142857142857
subj01,lateral,2,2,5,0.42
subj01,lateral,4,1,0,0.32625
subj01,lateral,4,1,1,0.47
subj01,lateral,4,1,2,0.34
subj01,lateral,4,1,3,0.24125
subj01,lateral,4,1,4,0.30625
subj01,lateral,4,1,5,0.4625
subj01,lateral,6,1,0,0.6525
subj01,lateral,6,1,1,0.8575
subj01,lateral,6,1,2,0.7975
subj01,lateral,6,1,3,0.5575
subj01,lateral,6,1,4,0.6475
subj01,lateral,6,1,5,0.7725
subj01,lateral,2,4,0,0.8177142857142857
subj01,lateral,2,4,1,0.9194285714285715
subj01,lateral,2,4,2,0.9337142857142857
subj01,lateral,2,4,3,0.732
subj01,lateral,2,4,4,0.8422857142857143
subj01,lateral,2,4,5,0.8582857142857143
subj01,lateral,4,2,0,0.8735714285714286
subj01,lateral,4,2,1,0.955
subj01,lateral,4,2,2,0.9521428571428572
subj01,lateral,4,2,3,0.7446428571428572
subj01,lateral,4,2,4,0.8521428571428571
subj01,lateral,4,2,5,0.8903571428571428
subj01,lateral,8,1,0,0.785
subj01,lateral,8,1,1,0.965
subj01,lateral,8,1,2,0.935
subj01,lateral,8,1,3,0.69
subj01,lateral,8,1,4,0.71
subj01,lateral,8,1,5,0.85
subj01,lateral,10,8,0,1.0
subj01,lateral,10,8,1,1.0
subj01,lateral,10,8,2,1.0
subj01,lateral,10,8,3,1.0
subj01,lateral,10,8,4,1.0
subj01,lateral,10,8,5,1.0
subj02,lateral,2,1,0,0.065
subj02,lateral,2,1,1,0.03
subj02,lateral,2,1,2,0.05
subj02,lateral,2,1,3,0.075
subj02,lateral,2,1,4,0.02
subj02,lateral,2,1,5,0.07
subj02,lateral,2,2,0,0.14285714285714285
