subject,roi,M,T,N,R_COMP,TOTAL_avg,FCF_avg,SCHEDULE_COVERAGE
subj05,lateral,4,2,8,0.36228459799155915,0.48930678963762686,0.5128410923164733,0.457797619047619
subj05,lateral,8,1,8,0.34870320213110667,0.46216816211453143,0.4843971719015911,0.3558333333333333
subj05,lateral,10,8,80,0.5948931163513608,0.9541099662277135,1.0,1.0
subj06,lateral,2,1,2,0.22223415597846183,0.22134741199658597,0.2338879652379088,0.0075
subj06,lateral,2,2,4,0.3035096085623308,0.3580818887679678,0.3783692052102192,0.13333333333333333
subj06,lateral,4,1,4,0.3055814312377834,0.36156743797729113,0.38205223003057637,0.13625
subj06,lateral,6,1,6,0.35903939590571093,0.4515029178269947,0.47708305146645813,0.36916666666666664
subj06,lateral,2,4,8,0.397376760082835,0.516000121655465,0.5452343780661487,0.5441904761904762
subj06,lateral,4,2,8,0.4044468051151022,0.5278944744705367,0.5578026116526422,0.5782142857142857
subj06,lateral,8,1,8,0.38476671820295943,0.49478550612649275,0.5228178374135188,0.5299999999999999
subj06,lateral,10,8,80,0.6531973895319237,0.946382221083961,1.0,1.0
subj07,lateral,2,1,2,0.3284673315446454,0.30225189527389146,0.3006162576241338,0.13416666666666668
subj07,lateral,2,2,4,0.42506143923315376,0.4571156910912098,0.4546420072323667,0.40904761904761905
subj07,lateral,4,1,4,0.4451886816545169,0.48938454511654167,0.48673623819202505,0.4762499999999999
subj07,lateral,6,1,6,0.5120179971964516,0.5965281558849298,0.5933000407724613,0.75625
subj07,lateral,2,4,8,0.5383417421623341,0.6387315072393374,0.6352750084789891,0.8762857142857142
subj07,lateral,4,2,8,0.540837254921375,0.6427324197962593,0.6392542700775091,0.8603571428571429
subj07,lateral,8,1,8,0.5468623132293426,0.6523920504085264,0.648861627550189,0.8658333333333333
subj07,lateral,10,8,80,0.7670715800184226,1.0,0.9999999961269148,1.0
subj08,lateral,2,1,2,0.20263354525217178,0.20587749530645125,0.3475085458698526,0.05416666666666667
subj08,lateral,2,2,4,0.25041507854916056,0.2795321120772792,0.4718330075237711,0.10714285714285715
subj08,lateral,4,1,4,0.26467350972660464,0.3015112996768126,0.508932523965553,0.11958333333333333
subj08,lateral,6,1,6,0.3107439627647312,0.37252830831674855,0.6288048653681714,0.23208333333333334
subj08,lateral,2,4,8,0.31700620283790154,0.38218147055098245,0.645098809327763,0.24990476190476194
subj08,lateral,4,2,8,0.3251674112388163,0.39476186794886425,0.6663337461512138,0.25535714285714284
subj08,lateral,8,1,8,0.33279807641868625,0.4065244398202286,0.6861882438010081,0.3166666666666666
subj08,lateral,10,8,80,0.45340512790929627,0.5924386527900377,0.9999999972882382,0.8333333333333334
