subject,roi,M,T,SIM_prior_oracle_IN,SIM_hybrid_oracle_IN,PRIOR_ALIGNMENT_IN,SIM_prior_oracle_OUT,SIM_hybrid_oracle_OUT,PRIOR_ALIGNMENT_OUT
subj07,ventral,2,1,0.18313312221725694,0.2971912807646057,0.7561815432818851,0.011637754396233645,0.28960769781348117,0.11170722811202739
subj07,ventral,2,2,0.18313312221725694,0.3241407690691373,0.7554170458836114,0.011637754396233645,0.39514031588003606,0.1708885274212868
subj07,ventral,4,1,0.18313312221725694,0.3749727128823563,0.5374541062374493,0.011637754396233645,0.37604561562134914,0.03948136288572141
subj07,ventral,6,1,0.18313312221725694,0.43592768481158756,0.33236320766519695,0.011637754396233645,0.4194331198199228,0.027792518894277723
subj07,ventral,4,2,0.18313312221725694,0.41533535835883517,0.5454369161353357,0.011637754396233647,0.5088210257024993,0.05236963342872281
subj07,ventral,10,8,0.18313312221725694,0.8947928524684539,0.3538854582880637,0.011637754396233645,0.9966974417681622,0.02443402749659833
subj08,ventral,2,1,0.31409934483985164,0.4172951476158689,0.7958898808191055,0.00471532081854143,0.1990450153501453,0.14725356358746106
subj08,ventral,2,2,0.31409934483985164,0.43209911243479543,0.79097823984326,0.00471532081854143,0.2738383520323581,0.12849257792530924
subj08,ventral,4,1,0.3140993448398516,0.48736443526793755,0.6366457869569124,0.00471532081854143,0.25400306779605347,0.017113136714397004
subj08,ventral,6,1,0.3140993448398516,0.5412396045412992,0.5029604121003178,0.00471532081854143,0.27847749955939527,0.009689233229476941
subj08,ventral,4,2,0.31409934483985164,0.5202482744176505,0.6271607618248743,0.004715320818541429,0.3585227351927667,0.015435719033939302
subj08,ventral,10,8,0.31409934483985164,0.9441569061370365,0.42317766890597325,0.00471532081854143,0.9997762131997785,0.006861315425829138
subj01,lateral,2,1,0.7396919897386076,0.7575895360970275,0.916188702802029,0.01021337345478975,0.2801967363951092,0.06453765641251503
