participant,ROI,fold,TV_vis,TV_img,alignment_ratio,alignment_evaluable,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile
subj03,ventral,fold_1,80.56347638131834,56.371875177627885,0.6997199935962523,True,12.0,0.29860467039500843,0.0972186846471007,0.8152874810312501,0.78
subj03,ventral,fold_2,28.406493381265893,28.073905551254732,0.98829183787146,True,1.0,0.06409801943406192,0.012177119108056075,0.0937340153579769,0.97
subj03,ventral,fold_3,76.80829502303725,54.05391258195168,0.7037509759296076,True,10.0,0.2778154479589837,0.06535468669767788,0.912547613350719,0.78
subj03,lateral,fold_0,64.63713276946073,74.87822706664171,1.1584397985861714,True,2.0,0.07549954924574481,0.014671692176081452,0.2351428233246368,1.0
subj03,lateral,fold_1,78.30733837858693,66.81996253658902,0.8533039676759193,True,9.0,0.2024430831058847,0.08761267832839864,0.8325874454281544,0.97
subj03,lateral,fold_2,80.57894813528429,48.50569550780108,0.6019648634078059,True,10.0,0.27490369300598316,0.05637677479337406,0.8120598163481056,0.77
subj03,lateral,fold_3,51.16821496455033,30.977868621063845,0.605412337376348,True,2.0,0.08727676299947529,0.012570970239593254,0.8285934038685344,0.94
subj03,parietal,fold_0,48.95870224524961,48.267761226225346,0.9858872685071772,True,11.0,0.3654290769744321,0.07990854522383502,0.9322080828371243,1.0
subj03,parietal,fold_1,70.18316805162297,59.620350395080706,0.8494964255706892,True,9.0,0.25088340432674333,0.05815615911150129,0.8936847210185013,0.81
subj03,parietal,fold_2,33.22711794058729,28.451434978591866,0.856271525850219,True,4.0,0.1688060698808747,0.041470851464661396,0.6169365412879638,0.99
subj03,parietal,fold_3,42.66695159924469,29.8000573276623,0.698434179398695,True,9.0,0.25888858539650406,0.050482262789511255,0.8594583979840359,0.78
subj04,V1,fold_0,6.886360363817318,8.63854633108684,1.2544429676489122,True,3.0,0.5524617722922508,0.110459453199577,1.2291662117214661,0.95
subj04,V1,fold_1,7.391775413567136,8.926997890185554,1.2076933335664681,True,3.0,0.40734037502207665,0.10632256517809456,0.9383482150383543,1.0
subj04,V1,fold_2,7.574261456492233,8.643167523361477,1.1411234709825124,True,1.0,0.09596905295269392,0.013138074791794064,0.40628019652346425,1.0
subj04,V1,fold_3,18.551065332146436,12.400996130955418,0.6684789206939077,True,9.0,0.5790823282848134,0.13252120719914137,0.9849364775246543,0.48
subj04,V2,fold_0,23.725274755467264,18.238252527538723,0.768726715096772,True,10.0,0.6010242177269003,0.12387462121021449,0.9986772709225684,0.73
subj04,V2,fold_1,14.282960415010166,8.014169257435137,0.5611000118023804,True,2.0,0.14056215783671663,0.014947982707265873,0.9600406434209148,0.89
subj04,V2,fold_2,10.39880153387049,8.526274002295642,0.8199285248905137,True,1.0,0.06088988600431043,0.003626286002499165,0.07912626052581472,0.96
subj04,V2,fold_3,19.03519400730355,12.653409932643719,0.6647376395422487,True,2.0,0.07969244783986505,0.007902143066139278,0.17069981705775725,0.95
subj04,V3,fold_0,14.503020332289223,3.8522998679991463,0.2656205245346354,True,2.0,0.1489878753708529,0.0362881198102176,0.8770884787413762,0.93
subj04,V3,fold_1,12.136449207430006,9.125846686131736,0.751937121818533,True,4.0,0.3475931087867674,0.08984302002957603,0.9126226807343961,0.74
subj04,V3,fold_2,9.339618741411728,6.878051788093648,0.7364381757465613,True,1.0,0.10245761299562929,0.0095148167671693,1.0,0.93
subj04,V3,fold_3,6.539961037634458,4.876025961220448,0.7455741606350816,True,1.0,0.14474358236378004,0.02687009033733371,0.9123965528134201,0.9
subj04,hV4,fold_0,10.946236423989752,9.20354380828626,0.8407952698806862,True,1.0,0.18437266207303968,0.026904179615790173,1.0,0.85
subj04,hV4,fold_1,7.394720806675677,5.649520143722536,0.7639937046199717,True,2.0,0.27015909304699476,0.06785836035344166,0.9855816951596514,0.84
subj04,hV4,fold_2,,,,False,,,,,
subj04,hV4,fold_3,,,,False,,,,,
subj04,ventral,fold_0,75.34710898023836,63.51114782544173,0.8429141965101686,True,5.0,0.16095607950498705,0.04047215245541647,0.7255017993824087,0.98
subj04,ventral,fold_1,59.517448227921726,33.97695552097011,0.5708738619111416,True,2.0,0.08939606860642046,0.01533271705993554,0.8013353636648174,0.94
subj04,ventral,fold_2,44.89173853594117,27.490093467476456,0.6123641980465374,True,2.0,0.058481375913896544,0.014499283952918406,0.09487417396435173,0.98
subj04,ventral,fold_3,83.62922598256803,64.89064954729018,0.7759326812472976,True,11.0,0.2769192646098339,0.09002703196627523,0.8631790181636051,0.8
subj04,lateral,fold_0,35.69833015728994,70.77747723703979,1.9826551249088709,True,7.0,0.29759782295180953,0.10445794006969171,0.7614998180388026,1.0
subj04,lateral,fold_1,97.57016852967965,53.05887520880961,0.5438022298041819,True,12.0,0.2990732795563562,0.08172599716483321,0.8907167207274536,0.77
subj04,lateral,fold_2,46.05725917948642,45.73737029535217,0.9930545392879843,True,6.0,0.16160217101193475,0.05850773430089216,0.6934339130972171,1.0
subj04,lateral,fold_3,75.35379061893697,33.04372427714984,0.43851442649051964,True,2.0,0.0682626228932215,0.010478085679776917,0.07160878502793182,0.96
subj04,parietal,fold_0,46.63679301410703,38.197999999568474,0.8190528878779052,True,3.0,0.09783656988094315,0.02401539736967134,0.8775486003158426,0.94
subj04,parietal,fold_1,13.538418455073408,21.508747482324836,1.5887193584465262,True,4.0,0.4304914086443744,0.1944773861446908,1.0430713898878265,1.0
subj04,parietal,fold_2,11.957475356801039,10.882878952071334,0.9101318319574451,True,1.0,0.05032816405168505,0.01551592020387534,0.13010597171499655,0.99
subj04,parietal,fold_3,24.422852729412504,21.977457323468037,0.899872654802546,True,1.0,0.03169266905336648,0.006765020240236924,0.054118274645264475,0.99
subj05,V1,fold_0,15.839113598496933,11.267517219281558,0.7113729659941829,True,9.0,0.5756450640359285,0.25108298270371393,1.1561092296804716,0.68
subj05,V1,fold_1,24.140129952650668,7.2924434946764265,0.30208799658411495,True,5.0,0.23284875126440865,0.04856863559366443,0.859218519624789,0.82
subj05,V1,fold_2,7.443474161985565,4.925593581609278,0.661733146971167,True,2.0,0.21599419379896012,0.04824053224120967,0.7695071133164968,0.92
subj05,V1,fold_3,17.63969928660814,12.6044757061561,0.7145516202606286,True,1.0,0.06028289347395213,0.005432029008375304,0.07482734492979855,0.96
