participant,ROI,fold,n_voxels,d_vis,d_vis_reason,vis_peak_test_r,d_img,d_img_reason,img_peak_test_r,TV_vis,TV_img,alignment_ratio,alignment_evaluable,alignment_reason,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile,vis_projector_hash,img_projector_hash,v2v_r_model,v2i_r_model,dimension_ratio_fold
subj02,V3,fold_3,22,3.0,OK,0.5964687105486924,10.0,OK,0.18483727108955217,19.443391533059902,17.428569644474496,0.8963749773202081,True,OK,10.0,0.5976438220139775,0.18110768804013117,1.1655042842991232,0.64,a4369d093600de7c,bc470cd7bd9c0a6a,2,8,3.3333333333333335
subj02,hV4,fold_0,10,1.0,OK,0.6974878524328189,,NOT_EVALUABLE_NONPOSITIVE_TEST_PEAK,-0.01907341179622213,,,,False,NON_EVALUABLE_DIMG_NOT_EVALUABLE_NONPOSITIVE_TEST_PEAK,,,,,,77f47c4f42fef356,,4,6,
subj02,hV4,fold_1,10,5.0,OK,0.5078808165995649,1.0,OK,0.10831931367792073,6.157994368724573,7.689100440396716,1.2486371341046325,True,OK,1.0,0.25438354949440806,0.00265999398671169,1.0,1.0,ffbf918d1320527d,df05492d68e57fd4,6,8,0.2
subj02,hV4,fold_2,10,2.0,OK,0.4412211405242733,2.0,OK,0.13313780819345825,6.1901597892421725,4.684491881377609,0.7567642905630236,True,OK,2.0,0.2558867101602848,0.025447424078838484,0.8882447939027337,0.79,0292e21a5a1a9ec1,3cd0982b7412f13a,8,1,1.0
subj02,hV4,fold_3,10,1.0,OK,0.5585525314086176,1.0,OK,0.1429883054209374,10.775106911375094,8.538192549998525,0.7923997989277399,True,OK,1.0,0.13762482543430893,0.0024275249177153897,1.0,0.89,a0006110e5dc035c,d4d4452485e13fe9,2,9,1.0
subj02,ventral,fold_0,164,8.0,OK,0.40486050501115817,4.0,OK,0.08075248888939683,86.12681896423354,44.16297995471875,0.5127668766340785,True,OK,4.0,0.1318030024655906,0.026556852241674613,0.6160573896748928,0.92,f3cac2595df3e386,f857ccf0bb1256c9,5,11,0.5
subj02,ventral,fold_1,164,3.0,OK,0.34958936588234735,4.0,OK,0.15502229869881,85.62197487126211,35.51823740819428,0.41482618757156825,True,OK,4.0,0.13686192446794293,0.027744463889327182,0.5665195916623161,0.89,d8b3b12cd1fbba89,7c38119a21ed91e8,8,9,1.3333333333333333
subj02,ventral,fold_2,164,1.0,OK,0.2851134768417414,10.0,OK,0.22565305136263394,73.71612319391107,42.97537118817381,0.5829846894569676,True,OK,10.0,0.2930860391589287,0.09525159197939835,0.6807389209719639,0.86,e63965c2b142d760,998a4b4436ed0475,6,10,10.0
subj02,ventral,fold_3,164,5.0,OK,0.41182057824549695,3.0,OK,0.07562747142655149,65.98137021077986,50.15082566342615,0.7600755410689037,True,OK,3.0,0.08862794215964007,0.017332575183976413,0.22361095963055244,0.98,7c62f3513b9dc892,4e5dff566545cc78,10,12,0.6
subj02,lateral,fold_0,136,5.0,OK,0.5291272035928924,5.0,OK,0.07956792211482927,67.00816806683784,31.45602178715471,0.46943563291834284,True,OK,5.0,0.22318440757153368,0.033596868163531426,0.8851411571814977,0.8,a481e71dfcaf9734,f74c9baed6d5c7da,2,8,1.0
subj02,lateral,fold_1,136,2.0,OK,0.29685847747641164,8.0,OK,0.13449561473674876,95.69078853191532,62.647950087432164,0.654691543967552,True,OK,8.0,0.17308223621795463,0.04918255036355547,0.8245499727254192,0.89,f28d3f0cf371941b,c2e9d7c8c50f937e,5,12,4.0
subj02,lateral,fold_2,136,2.0,OK,0.3287841359868342,6.0,OK,0.0605824462289685,66.34952748190187,49.58765855857073,0.747370183941351,True,OK,6.0,0.17087926035344203,0.033801669607243276,0.8416898029733803,0.87,b552422836b73010,5ae7d50637d52715,1,3,3.0
subj02,lateral,fold_3,136,5.0,OK,0.45300102500527506,1.0,OK,0.08945897038047755,72.40373465950626,39.355350412559055,0.5435541494873966,True,OK,1.0,0.021060433532430572,0.0021098479411725524,0.05191743267586069,0.99,74032f3410b58f20,9f3ad092a9ea75a4,2,3,0.2
subj02,parietal,fold_0,68,1.0,OK,0.5466388153430982,12.0,OK,0.19261728363749078,58.268507295752464,40.97510876184787,0.7032119177838418,True,OK,12.0,0.31046936229872846,0.07387754710644134,0.9062024279021738,0.74,67835f3b49b610d0,06a2334fbf45770a,5,4,12.0
