participant,ROI,fold,model,rank,test_r,val_r
subj05,V1,fold_2,vis2vis,9,0.33555722208923244,0.5624827562951087
subj05,V1,fold_2,vis2vis,10,0.3343343391011526,0.5621486414206917
subj05,V1,fold_2,vis2vis,11,0.3345863745500675,0.5618246855125346
subj05,V1,fold_2,vis2vis,12,0.33426159809049527,0.5616704378151376
subj05,V1,fold_3,vis2vis,1,0.582779891111156,0.38866910481242306
subj05,V1,fold_3,vis2vis,2,0.5929738070718195,0.4102881920291432
subj05,V1,fold_3,vis2vis,3,0.5977005420919652,0.435613119206705
subj05,V1,fold_3,vis2vis,4,0.5810091078356937,0.4206963948076394
subj05,V1,fold_3,vis2vis,5,0.5813486669004037,0.42376297263320944
subj05,V1,fold_3,vis2vis,6,0.5841954614406929,0.42922933174617744
subj05,V1,fold_3,vis2vis,7,0.5856998815859294,0.4313252147936528
subj05,V1,fold_3,vis2vis,8,0.5857674059039383,0.4302609747685078
subj05,V1,fold_3,vis2vis,9,0.5872409761046563,0.4304119966176562
subj05,V1,fold_3,vis2vis,10,0.5869886603419908,0.4286369200525255
subj05,V1,fold_3,vis2vis,11,0.5796556087010695,0.42176481374950575
subj05,V1,fold_3,vis2vis,12,0.580714621950414,0.42270078867603306
subj05,V2,fold_0,vis2vis,1,0.5633827716500212,0.5862260488619121
subj05,V2,fold_0,vis2vis,2,0.5490758259484263,0.6007158422797876
subj05,V2,fold_0,vis2vis,3,0.5514523628579002,0.6335376553843669
subj05,V2,fold_0,vis2vis,4,0.5869142427630268,0.6648328537508241
subj05,V2,fold_0,vis2vis,5,0.5922486238100532,0.6751580207207607
subj05,V2,fold_0,vis2vis,6,0.5926793361406478,0.6742545318401448
subj05,V2,fold_0,vis2vis,7,0.5923662630190152,0.6739309457427296
subj05,V2,fold_0,vis2vis,8,0.5929910948699958,0.672926014494011
subj05,V2,fold_0,vis2vis,9,0.5932193328094779,0.6728595456373967
subj05,V2,fold_0,vis2vis,10,0.593340654846698,0.6731830864250539
subj05,V2,fold_0,vis2vis,11,0.5932459467398449,0.6729662743191365
subj05,V2,fold_0,vis2vis,12,0.5929592731689665,0.6728926626259454
subj05,V2,fold_1,vis2vis,1,0.38028991106065124,0.5785207474380745
subj05,V2,fold_1,vis2vis,2,0.4190368146983392,0.6525389063434832
subj05,V2,fold_1,vis2vis,3,0.4551393894232861,0.6801407800428491
subj05,V2,fold_1,vis2vis,4,0.45692998365747584,0.6766607525968992
subj05,V2,fold_1,vis2vis,5,0.4634360062816928,0.6809626776616792
subj05,V2,fold_1,vis2vis,6,0.4510326034337302,0.6892357733696154
subj05,V2,fold_1,vis2vis,7,0.44946037465172883,0.6907043954448175
subj05,V2,fold_1,vis2vis,8,0.4487037184072465,0.6905045647666386
subj05,V2,fold_1,vis2vis,9,0.44834035104063746,0.6890797149826212
subj05,V2,fold_1,vis2vis,10,0.4463669847012675,0.6885956579482394
subj05,V2,fold_1,vis2vis,11,0.4466060190850532,0.6880145724956103
subj05,V2,fold_1,vis2vis,12,0.44651608512351937,0.6879639785216403
subj05,V2,fold_2,vis2vis,1,0.4484348404869836,0.5747720290915533
subj05,V2,fold_2,vis2vis,2,0.4650728043052086,0.6283739695304498
subj05,V2,fold_2,vis2vis,3,0.4860365846459162,0.6566686839191304
subj05,V2,fold_2,vis2vis,4,0.5324460980433195,0.6671891324355222
subj05,V2,fold_2,vis2vis,5,0.5379101641049545,0.6735622127485545
subj05,V2,fold_2,vis2vis,6,0.5287106549295766,0.6723372378452844
subj05,V2,fold_2,vis2vis,7,0.5263085631659552,0.6753959152506709
subj05,V2,fold_2,vis2vis,8,0.5268361953149717,0.6745299455525403
subj05,V2,fold_2,vis2vis,9,0.5224163909017879,0.6763783678661403
subj05,V2,fold_2,vis2vis,10,0.5236568211147891,0.6797309008624077
subj05,V2,fold_2,vis2vis,11,0.5245351195663537,0.6797968447390145
subj05,V2,fold_2,vis2vis,12,0.5232605451350099,0.6805063194126194
subj05,V2,fold_3,vis2vis,1,0.5469811236188701,0.4594215301032641
subj05,V2,fold_3,vis2vis,2,0.577131377277002,0.4978679094480043
subj05,V2,fold_3,vis2vis,3,0.6254223974796035,0.5741583866465391
subj05,V2,fold_3,vis2vis,4,0.623893764749401,0.5737623677376222
subj05,V2,fold_3,vis2vis,5,0.6309181774393363,0.5726845356268819
subj05,V2,fold_3,vis2vis,6,0.6297838299987972,0.5699522781206036
subj05,V2,fold_3,vis2vis,7,0.6302426197812592,0.5672619539990589
subj05,V2,fold_3,vis2vis,8,0.6287810299849996,0.5731989262694637
