participant,ROI,outer_fold,model,identity,family,held_out_r,lam,rank,normalized_mse,cosine,explained_variance,centroid_norm_ratio
subj07,ventral,1,O2,B:C,naturalistic,0.7271512746810913,7.9060432109076855,1,0.4423132836818695,0.7753642797470093,0.5263458490371704,0.9839383363723755
subj07,ventral,1,O3,A:H,simple,0.5894891462756582,0.009102981779915217,1,0.5256021505159283,0.8444618913007479,0.08581593593122616,1.333049612123094
subj07,ventral,1,O3,B:C,naturalistic,0.7178792602651034,0.009102981779915217,1,1.0125451907466085,0.7497722487127578,-0.3432621003146228,1.5078643200891444
subj07,ventral,1,O4,A:H,simple,0.8099525157830599,0.0001,1,0.15374196239205776,0.9208729695506389,0.6530037657860446,0.9626926873009983
subj07,ventral,1,O4,B:C,naturalistic,0.7884627374575259,0.0001,1,0.367456388141493,0.8357217158626047,0.6103223273081909,1.0924067665490225
subj07,ventral,2,O0,A:L,simple,0.5141952037811279,0.0,1,0.5167449116706848,0.7866241931915283,0.12139397859573364,1.1547578573226929
subj07,ventral,2,O0,B:D,naturalistic,0.8130871057510376,0.0,1,0.23959772288799286,0.882484495639801,0.6554721593856812,1.0180447101593018
subj07,ventral,2,O1,A:L,simple,0.5612098574638367,0.0,1,0.46622544527053833,0.8051263093948364,0.21087437868118286,1.1434369087219238
subj07,ventral,2,O1,B:D,naturalistic,0.7853130102157593,0.0,1,0.2911505699157715,0.87315434217453,0.6153856515884399,1.1045615673065186
subj07,ventral,2,O2,A:L,simple,0.5804457068443298,11.513953993264458,1,0.44586434960365295,0.8126554489135742,0.24620765447616577,1.1386512517929077
subj07,ventral,2,O2,B:D,naturalistic,0.7913942337036133,11.513953993264458,1,0.26606637239456177,0.8728100657463074,0.6245304346084595,1.0397344827651978
subj07,ventral,2,O3,A:L,simple,0.5921038662698257,0.004291934260128779,3,0.48032191847582156,0.7815951769269999,0.05814599487371197,1.0836099976500562
subj07,ventral,2,O3,B:D,naturalistic,0.5363261789545851,0.004291934260128779,3,1.3482392117830555,0.7619567705999045,-0.4748220508970913,1.7257084464538743
subj07,ventral,2,O4,A:L,simple,0.714958539304308,75.43120063354607,3,0.3016693431711596,0.8631018461191013,0.507246599350995,1.0790049720653598
subj07,ventral,2,O4,B:D,naturalistic,0.7216409359723307,75.43120063354607,3,0.3461927678749627,0.8486179430835319,0.4975826403159145,1.1061935623543575
subj07,ventral,3,O0,A:P,simple,0.5889265537261963,0.0,1,0.31789833307266235,0.8348461985588074,0.2748095393180847,0.956774890422821
subj07,ventral,3,O0,B:K,naturalistic,0.7499678134918213,0.0,1,0.2775765061378479,0.8540447354316711,0.5614365339279175,0.9375243782997131
subj07,ventral,3,O1,A:P,simple,0.6058217287063599,0.0,1,0.3065720498561859,0.8372286558151245,0.30094850063323975,0.9239689707756042
subj07,ventral,3,O1,B:K,naturalistic,0.7856183052062988,0.0,1,0.23306512832641602,0.8759772181510925,0.6155633926391602,0.896010160446167
subj07,ventral,3,O2,A:P,simple,0.6249741911888123,11.513953993264458,1,0.29047682881355286,0.8468482494354248,0.3366015553474426,0.9341902136802673
subj07,ventral,3,O2,B:K,naturalistic,0.7683017253875732,11.513953993264458,1,0.24936836957931519,0.8680984973907471,0.5900225639343262,0.9225360751152039
subj07,ventral,3,O3,A:P,simple,0.516986641028865,16.768329368110066,3,0.6137412829754896,0.6798951438730263,-0.2513508650688463,0.955573813715496
subj07,ventral,3,O3,B:K,naturalistic,0.6579211437766012,16.768329368110066,3,0.6811371845956943,0.6736898477057797,0.039706972469774504,1.0411068242229995
subj07,ventral,3,O4,A:P,simple,0.7525008324549343,24.420530945486497,2,0.19202937662383893,0.9000519221126752,0.5642259676910459,0.9461266038783703
subj07,ventral,3,O4,B:K,naturalistic,0.7677037635407691,24.420530945486497,2,0.3180605337466355,0.8275498432420593,0.5783505713554735,0.7737046144968833
subj07,ventral,4,O0,A:R,simple,0.352654367685318,0.0,1,0.4353953003883362,0.7716839909553528,-0.1511744260787964,0.9474437236785889
subj07,ventral,4,O0,B:T,naturalistic,0.8065520524978638,0.0,1,0.18571430444717407,0.9066764116287231,0.6293271780014038,0.8184918165206909
subj07,ventral,4,O1,A:R,simple,0.40595120191574097,0.0,1,0.39702317118644714,0.7933436632156372,-0.04991424083709717,0.9558777809143066
subj07,ventral,4,O1,B:T,naturalistic,0.8088381886482239,0.0,1,0.18907560408115387,0.9095253348350525,0.6346246004104614,0.7818071246147156
subj07,ventral,4,O2,A:R,simple,0.3765799105167389,7.9060432109076855,1,0.42520222067832947,0.7778038382530212,-0.12414360046386719,0.9515304565429688
subj07,ventral,4,O2,B:T,naturalistic,0.8201399445533752,7.9060432109076855,1,0.1689382791519165,0.9135829210281372,0.6611394882202148,0.8538164496421814
subj07,ventral,4,O3,A:R,simple,0.529808199300969,0.009102981779915217,4,0.4550808905222233,0.7694339681573298,-0.1593568247145538,0.9864812325022146
subj07,ventral,4,O3,B:T,naturalistic,0.7490706244832454,0.009102981779915217,4,0.39579949291042615,0.8315974184041555,0.21980972688184774,1.127154206730878
subj07,ventral,4,O4,A:R,simple,0.471360703919401,1.7575106248547894,1,0.36621972074694015,0.8192003103994613,0.04114587489529653,1.012355324498186
subj07,ventral,4,O4,B:T,naturalistic,0.8562800642422517,1.7575106248547894,1,0.14874932306603558,0.9237983675582766,0.729153394328778,0.8773998093203249
subj07,ventral,5,O0,A:V,simple,0.6793566346168518,0.0,1,0.27240994572639465,0.9066610932350159,0.4612122178077698,0.5993430614471436
subj07,ventral,5,O0,B:W,naturalistic,0.684847891330719,0.0,1,0.2959426939487457,0.8577992916107178,0.45008236169815063,0.6795797348022461
subj07,ventral,5,O1,A:V,simple,0.692743182182312,0.0,1,0.24628999829292297,0.9117372632026672,0.47852838039398193,0.6332505345344543
subj07,ventral,5,O1,B:W,naturalistic,0.6820633411407471,0.0,1,0.30248403549194336,0.8566886186599731,0.4437727928161621,0.6659026741981506
