participant,ROI,direction,model,held_out_r
subj05,ventral,simple_to_naturalistic,O4,0.42170373259825383
subj05,ventral,naturalistic_to_simple,O0,0.7898727854092916
subj05,ventral,naturalistic_to_simple,O1,0.798384040594101
subj05,ventral,naturalistic_to_simple,O2,0.7898424168427786
subj05,ventral,naturalistic_to_simple,O3,0.7730419287532645
subj05,ventral,naturalistic_to_simple,O4,0.7897696340821319
subj05,lateral,simple_to_naturalistic,O0,0.39961327115694684
subj05,lateral,simple_to_naturalistic,O1,0.42943767209847766
subj05,lateral,simple_to_naturalistic,O2,0.39974869787693024
subj05,lateral,simple_to_naturalistic,O3,0.3906184912379655
subj05,lateral,simple_to_naturalistic,O4,0.38856655360544723
subj05,lateral,naturalistic_to_simple,O0,0.568858285744985
subj05,lateral,naturalistic_to_simple,O1,0.554708351691564
subj05,lateral,naturalistic_to_simple,O2,0.5688854058583578
subj05,lateral,naturalistic_to_simple,O3,0.5258482399015391
subj05,lateral,naturalistic_to_simple,O4,0.5699741158038132
subj05,parietal,simple_to_naturalistic,O0,0.5226986259222031
subj05,parietal,simple_to_naturalistic,O1,0.4149916172027588
subj05,parietal,simple_to_naturalistic,O2,0.48429261644681293
subj05,parietal,simple_to_naturalistic,O3,0.5398674917392733
subj05,parietal,simple_to_naturalistic,O4,0.5163810656819448
subj05,parietal,naturalistic_to_simple,O0,0.7958460748195648
subj05,parietal,naturalistic_to_simple,O1,0.8037675221761068
subj05,parietal,naturalistic_to_simple,O2,0.7936276098092397
subj05,parietal,naturalistic_to_simple,O3,0.7441106810576668
subj05,parietal,naturalistic_to_simple,O4,0.7823682239981075
subj06,V1,simple_to_naturalistic,O0,0.7605637311935425
subj06,V1,simple_to_naturalistic,O1,0.5855253338813782
subj06,V1,simple_to_naturalistic,O2,0.6945769687493643
subj06,V1,simple_to_naturalistic,O3,0.48368177441562327
subj06,V1,simple_to_naturalistic,O4,0.6086993683169786
subj06,V1,naturalistic_to_simple,O0,0.7788698673248291
subj06,V1,naturalistic_to_simple,O1,0.7709742883841196
subj06,V1,naturalistic_to_simple,O2,0.7788688937822977
subj06,V1,naturalistic_to_simple,O3,0.5672508543578915
subj06,V1,naturalistic_to_simple,O4,0.7790012896592055
subj06,V2,simple_to_naturalistic,O0,0.6802079975605011
subj06,V2,simple_to_naturalistic,O1,0.6634644865989685
subj06,V2,simple_to_naturalistic,O2,0.6442137857278188
subj06,V2,simple_to_naturalistic,O3,0.42886142380426256
subj06,V2,simple_to_naturalistic,O4,0.625268554438551
subj06,V2,naturalistic_to_simple,O0,0.7749661803245544
subj06,V2,naturalistic_to_simple,O1,0.7693245013554891
subj06,V2,naturalistic_to_simple,O2,0.7750132083892822
subj06,V2,naturalistic_to_simple,O3,0.5996776145613806
subj06,V2,naturalistic_to_simple,O4,0.7753996477574253
subj06,V3,simple_to_naturalistic,O0,0.6717046995957693
subj06,V3,simple_to_naturalistic,O1,0.642133375008901
subj06,V3,simple_to_naturalistic,O2,0.7771181762218475
subj06,V3,simple_to_naturalistic,O3,0.7179907279211357
subj06,V3,simple_to_naturalistic,O4,0.8237166492575128
subj06,V3,naturalistic_to_simple,O0,0.6699219644069672
subj06,V3,naturalistic_to_simple,O1,0.6673814902702967
subj06,V3,naturalistic_to_simple,O2,0.6699706017971039
subj06,V3,naturalistic_to_simple,O3,0.6791974975172743
subj06,V3,naturalistic_to_simple,O4,0.6750246345858572
subj06,hV4,simple_to_naturalistic,O0,0.5548623402913412
subj06,hV4,simple_to_naturalistic,O1,0.5620906402667364
subj06,hV4,simple_to_naturalistic,O2,0.4850818266471227
subj06,hV4,simple_to_naturalistic,O3,0.010911099421132178
subj06,hV4,simple_to_naturalistic,O4,0.4394290249627601
subj06,hV4,naturalistic_to_simple,O0,0.7685448129971822
subj06,hV4,naturalistic_to_simple,O1,0.7675111889839172
subj06,hV4,naturalistic_to_simple,O2,0.7686044772466024
subj06,hV4,naturalistic_to_simple,O3,0.7944800515838017
subj06,hV4,naturalistic_to_simple,O4,0.8146682511453073
subj06,ventral,simple_to_naturalistic,O0,0.581633448600769
subj06,ventral,simple_to_naturalistic,O1,0.3567519262433052
subj06,ventral,simple_to_naturalistic,O2,0.5405455082654953
subj06,ventral,simple_to_naturalistic,O3,0.6156918444507299
subj06,ventral,simple_to_naturalistic,O4,0.5736635699533156
subj06,ventral,naturalistic_to_simple,O0,0.6013357738653818
subj06,ventral,naturalistic_to_simple,O1,0.6316898961861929
subj06,ventral,naturalistic_to_simple,O2,0.6017749905586243
subj06,ventral,naturalistic_to_simple,O3,0.6063128535380997
subj06,ventral,naturalistic_to_simple,O4,0.5724423436506771
subj06,lateral,simple_to_naturalistic,O0,0.459574356675148
subj06,lateral,simple_to_naturalistic,O1,0.3574989289045334
subj06,lateral,simple_to_naturalistic,O2,0.4594646394252777
subj06,lateral,simple_to_naturalistic,O3,0.4417074126925489
subj06,lateral,simple_to_naturalistic,O4,0.4580416256212196
subj06,lateral,naturalistic_to_simple,O0,0.5217987447977066
subj06,lateral,naturalistic_to_simple,O1,0.5277821918328603
subj06,lateral,naturalistic_to_simple,O2,0.5179693897565206
subj06,lateral,naturalistic_to_simple,O3,0.4849220647366506
subj06,lateral,naturalistic_to_simple,O4,0.5190109036142172
subj06,parietal,simple_to_naturalistic,O0,0.36093370616436005
subj06,parietal,simple_to_naturalistic,O1,0.15812728057305017
subj06,parietal,simple_to_naturalistic,O2,0.3564646045366923
subj06,parietal,simple_to_naturalistic,O3,0.44263310000494993
subj06,parietal,simple_to_naturalistic,O4,0.35979773229842493
subj06,parietal,naturalistic_to_simple,O0,0.47610176106293994
subj06,parietal,naturalistic_to_simple,O1,0.5431730051835378
subj06,parietal,naturalistic_to_simple,O2,0.4816870590051015
subj06,parietal,naturalistic_to_simple,O3,0.5777165785499966
subj06,parietal,naturalistic_to_simple,O4,0.4722444513469546
subj07,V1,simple_to_naturalistic,O0,0.7696232547362646
subj07,V1,simple_to_naturalistic,O1,0.7241313693424066
subj07,V1,simple_to_naturalistic,O2,0.7693584909041723
subj07,V1,simple_to_naturalistic,O3,0.36139765177780453
subj07,V1,simple_to_naturalistic,O4,0.2940990823330894
subj07,V1,naturalistic_to_simple,O0,0.9531885385513306
subj07,V1,naturalistic_to_simple,O1,0.9520103534062704
subj07,V1,naturalistic_to_simple,O2,0.9531845351060232
subj07,V1,naturalistic_to_simple,O3,0.8791540157583765
subj07,V1,naturalistic_to_simple,O4,0.9532305502831218
subj07,V2,simple_to_naturalistic,O0,0.7119522790114085
subj07,V2,simple_to_naturalistic,O1,0.6620077937841415
subj07,V2,simple_to_naturalistic,O2,0.7280606230099996
subj07,V2,simple_to_naturalistic,O3,0.42612581080472095
subj07,V2,simple_to_naturalistic,O4,0.7121521973003028
subj07,V2,naturalistic_to_simple,O0,0.941735198100408
subj07,V2,naturalistic_to_simple,O1,0.9430898527304331
subj07,V2,naturalistic_to_simple,O2,0.9374985098838806
subj07,V2,naturalistic_to_simple,O3,0.9085760141482506
subj07,V2,naturalistic_to_simple,O4,0.9372722782173994
subj07,V3,simple_to_naturalistic,O0,0.5888122767210007
subj07,V3,simple_to_naturalistic,O1,0.6371325055758158
subj07,V3,simple_to_naturalistic,O2,0.5889863222837448
subj07,V3,simple_to_naturalistic,O3,0.5210963741594875
subj07,V3,simple_to_naturalistic,O4,0.5887236346259633
subj07,V3,naturalistic_to_simple,O0,0.9407877922058105
subj07,V3,naturalistic_to_simple,O1,0.9401862819989523
subj07,V3,naturalistic_to_simple,O2,0.9404220779736837
subj07,V3,naturalistic_to_simple,O3,0.8908531269315346
subj07,V3,naturalistic_to_simple,O4,0.9408448529551671
subj07,hV4,simple_to_naturalistic,O0,0.8807892302672068
subj07,hV4,simple_to_naturalistic,O1,0.8308918575445811
subj07,hV4,simple_to_naturalistic,O2,0.8808014094829559
subj07,hV4,simple_to_naturalistic,O3,0.717647708363769
subj07,hV4,simple_to_naturalistic,O4,0.8807934370565581
subj07,hV4,naturalistic_to_simple,O0,0.9627609650293986
