participant,ROI,outer_fold,identity,family,residual_norm
subj04,hV4,4,B:T,naturalistic,3.4026679370675224
subj04,hV4,5,A:V,simple,2.738358318170773
subj04,hV4,5,B:W,naturalistic,1.7876684453264677
subj04,ventral,0,A:E,simple,8.933246075642588
subj04,ventral,0,B:B,naturalistic,7.9328898039294895
subj04,ventral,1,A:H,simple,8.167921631449259
subj04,ventral,1,B:C,naturalistic,14.849370151781326
subj04,ventral,2,A:L,simple,7.597757603342024
subj04,ventral,2,B:D,naturalistic,10.19137912618433
subj04,ventral,3,A:P,simple,8.376236820159933
subj04,ventral,3,B:K,naturalistic,8.553500876159065
subj04,ventral,4,A:R,simple,7.2178823645309205
subj04,ventral,4,B:T,naturalistic,16.972992435254234
subj04,ventral,5,A:V,simple,8.912805497046568
subj04,ventral,5,B:W,naturalistic,8.25006946522954
subj04,lateral,0,A:E,simple,12.799131350224995
subj04,lateral,0,B:B,naturalistic,7.453579174443579
subj04,lateral,1,A:H,simple,7.4551030863365755
subj04,lateral,1,B:C,naturalistic,14.660652070064266
subj04,lateral,2,A:L,simple,7.336856134579051
subj04,lateral,2,B:D,naturalistic,9.69360910334199
subj04,lateral,3,A:P,simple,7.611517365586501
subj04,lateral,3,B:K,naturalistic,8.878641855956953
subj04,lateral,4,A:R,simple,8.40473605052892
subj04,lateral,4,B:T,naturalistic,35.766611144259365
subj04,lateral,5,A:V,simple,7.130789361338132
subj04,lateral,5,B:W,naturalistic,13.009255276127835
subj04,parietal,0,A:E,simple,5.331080266668834
subj04,parietal,0,B:B,naturalistic,7.21294102110552
subj04,parietal,1,A:H,simple,10.055200719924652
subj04,parietal,1,B:C,naturalistic,18.98478096197332
subj04,parietal,2,A:L,simple,12.21348798183291
subj04,parietal,2,B:D,naturalistic,4.554277456084198
subj04,parietal,3,A:P,simple,6.15856436780551
subj04,parietal,3,B:K,naturalistic,3.424267622463383
subj04,parietal,4,A:R,simple,4.254290529526775
subj04,parietal,4,B:T,naturalistic,12.568281925610421
subj04,parietal,5,A:V,simple,5.619492601003357
subj04,parietal,5,B:W,naturalistic,7.20064539526004
subj05,V1,0,A:E,simple,2.055925263204786
subj05,V1,0,B:B,naturalistic,1.1520989784801003
subj05,V1,1,A:H,simple,2.199051534775521
subj05,V1,1,B:C,naturalistic,1.3568578385270822
subj05,V1,2,A:L,simple,2.4828311686298283
subj05,V1,2,B:D,naturalistic,2.2090451406481706
subj05,V1,3,A:P,simple,1.0171281752418246
subj05,V1,3,B:K,naturalistic,2.4944826783067073
subj05,V1,4,A:R,simple,0.6517855936370898
subj05,V1,4,B:T,naturalistic,2.8659134137954205
subj05,V1,5,A:V,simple,1.1379462617488545
subj05,V1,5,B:W,naturalistic,3.2164456110506503
subj05,V2,0,A:E,simple,2.0589680877358063
subj05,V2,0,B:B,naturalistic,1.3525320052501497
subj05,V2,1,A:H,simple,1.984709212021693
subj05,V2,1,B:C,naturalistic,1.0964731595909816
subj05,V2,2,A:L,simple,2.3394503092646817
subj05,V2,2,B:D,naturalistic,1.072066133303127
subj05,V2,3,A:P,simple,1.4069718126925193
subj05,V2,3,B:K,naturalistic,1.4041839652421835
subj05,V2,4,A:R,simple,1.24523231088992
subj05,V2,4,B:T,naturalistic,1.04675223127325
subj05,V2,5,A:V,simple,1.2283511016600321
subj05,V2,5,B:W,naturalistic,1.040441340461316
subj05,V3,0,A:E,simple,4.139312493115593
subj05,V3,0,B:B,naturalistic,1.9959491000353153
subj05,V3,1,A:H,simple,2.057987328562374
subj05,V3,1,B:C,naturalistic,2.4410191104883943
subj05,V3,2,A:L,simple,1.3498347925420637
subj05,V3,2,B:D,naturalistic,2.8568818060685874
subj05,V3,3,A:P,simple,1.2663322192942617
subj05,V3,3,B:K,naturalistic,3.271884304179369
subj05,V3,4,A:R,simple,2.864432861514105
subj05,V3,4,B:T,naturalistic,1.658132438172282
subj05,V3,5,A:V,simple,3.6782372037650726
subj05,V3,5,B:W,naturalistic,2.0843010299000406
subj05,hV4,0,A:E,simple,3.161279573524246
subj05,hV4,0,B:B,naturalistic,4.4341778241194305
subj05,hV4,1,A:H,simple,2.150741172523865
subj05,hV4,1,B:C,naturalistic,7.529812153474613
subj05,hV4,2,A:L,simple,3.2319878316131163
subj05,hV4,2,B:D,naturalistic,4.163032917165973
subj05,hV4,3,A:P,simple,3.223644331856026
subj05,hV4,3,B:K,naturalistic,3.5013487024617493
subj05,hV4,4,A:R,simple,2.189652391392705
subj05,hV4,4,B:T,naturalistic,3.8323188859803383
subj05,hV4,5,A:V,simple,3.248976869277369
subj05,hV4,5,B:W,naturalistic,3.0179108975399265
subj05,ventral,0,A:E,simple,8.621801814764124
subj05,ventral,0,B:B,naturalistic,6.726747532063828
subj05,ventral,1,A:H,simple,9.614432757125659
subj05,ventral,1,B:C,naturalistic,11.273430225362995
subj05,ventral,2,A:L,simple,7.262009401207928
subj05,ventral,2,B:D,naturalistic,11.946161912641761
subj05,ventral,3,A:P,simple,8.457784071581845
subj05,ventral,3,B:K,naturalistic,8.023657298337488
subj05,ventral,4,A:R,simple,6.735103551959397
subj05,ventral,4,B:T,naturalistic,5.932412270277493
subj05,ventral,5,A:V,simple,7.483959657088755
subj05,ventral,5,B:W,naturalistic,9.550605144746854
subj05,lateral,0,A:E,simple,8.893567353979488
subj05,lateral,0,B:B,naturalistic,5.234076591092079
subj05,lateral,1,A:H,simple,8.382999209709647
subj05,lateral,1,B:C,naturalistic,6.821032274012322
subj05,lateral,2,A:L,simple,8.816562518907999
subj05,lateral,2,B:D,naturalistic,7.927802691737242
subj05,lateral,3,A:P,simple,8.400799626594758
subj05,lateral,3,B:K,naturalistic,8.90125764282412
subj05,lateral,4,A:R,simple,8.07876280287096
subj05,lateral,4,B:T,naturalistic,6.6818217753748
subj05,lateral,5,A:V,simple,7.313279843353655
subj05,lateral,5,B:W,naturalistic,6.947088993761745
subj05,parietal,0,A:E,simple,6.860988757931116
subj05,parietal,0,B:B,naturalistic,4.798533160893838
subj05,parietal,1,A:H,simple,4.7309829817175215
subj05,parietal,1,B:C,naturalistic,9.183116003076954
subj05,parietal,2,A:L,simple,4.895890102750328
subj05,parietal,2,B:D,naturalistic,5.8276790920400785
subj05,parietal,3,A:P,simple,5.748633152829284
subj05,parietal,3,B:K,naturalistic,5.457197227075681
subj05,parietal,4,A:R,simple,5.190535791171515
subj05,parietal,4,B:T,naturalistic,4.771967384926043
subj05,parietal,5,A:V,simple,4.980037084389961
subj05,parietal,5,B:W,naturalistic,3.3582640279014124
subj06,V1,0,A:E,simple,1.144986918439021
subj06,V1,0,B:B,naturalistic,1.7676403776101732
subj06,V1,1,A:H,simple,1.3427070162868784
subj06,V1,1,B:C,naturalistic,1.5740093338942145
subj06,V1,2,A:L,simple,1.3211785671152783
subj06,V1,2,B:D,naturalistic,1.1016156075750736
subj06,V1,3,A:P,simple,1.6734839236101586
subj06,V1,3,B:K,naturalistic,1.4390634121712744
subj06,V1,4,A:R,simple,2.052179160560042
subj06,V1,4,B:T,naturalistic,1.693863059907958
subj06,V1,5,A:V,simple,1.7313220298471206
subj06,V1,5,B:W,naturalistic,1.4249931195221879
subj06,V2,0,A:E,simple,1.9689827165988352
subj06,V2,0,B:B,naturalistic,1.1393089988891536
subj06,V2,1,A:H,simple,1.6415815839209373
subj06,V2,1,B:C,naturalistic,1.792268252270364
subj06,V2,2,A:L,simple,2.0683129349835765
subj06,V2,2,B:D,naturalistic,2.8817972688504407
subj06,V2,3,A:P,simple,1.6836611989617511
subj06,V2,3,B:K,naturalistic,1.1473317713270514
subj06,V2,4,A:R,simple,1.6447078528860304
subj06,V2,4,B:T,naturalistic,1.311913726299564
subj06,V2,5,A:V,simple,1.6868167541239036
subj06,V2,5,B:W,naturalistic,1.8663610960580697
subj06,V3,0,A:E,simple,2.5287017978276345
