participant,ROI,model,held_out_r,classification
subj06,parietal,O1,0.5076945697267851,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,parietal,O2,0.5273596122860909,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,parietal,O3,0.4697866389246896,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj06,parietal,O4,0.6247777703326354,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj07,V1,O0,0.848086545864741,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V1,O1,0.8450711667537689,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V1,O2,0.845024178425471,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V1,O3,0.5182143107991682,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V1,O4,0.8346341640518787,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V2,O0,0.7601265261570612,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V2,O1,0.7563624307513237,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V2,O2,0.7610699757933617,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V2,O3,0.5028505196296135,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V2,O4,0.7494136622530928,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V3,O0,0.5746186855249107,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V3,O1,0.5586345054519674,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V3,O2,0.5517656741042932,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V3,O3,0.44166496418557805,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,V3,O4,0.572965437642326,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,hV4,O0,0.9329668134450912,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,hV4,O1,0.9335178037484487,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,hV4,O2,0.9247886488835017,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,hV4,O3,0.8625874261636935,NO_REUSABLE_OPERATOR_EVIDENCE
subj07,hV4,O4,0.9302015738082415,NO_REUSABLE_OPERATOR_EVIDENCE
