query_nsd_id,anchor_nsd_id,gt_rank,bucket,confidence,strength,guidance_scale,steps,n_candidates,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,retrieval_alexnet2,retrieval_alexnet5,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,diffusion_alexnet2,diffusion_alexnet5,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity,delta_alexnet2,delta_alexnet5
17485,53858,3,good,0.10574257373809814,0.2683,3.48,46,16,0.2972243877813254,0.29905804991722107,10.196310144730017,0.6528677940368652,0.8483637571334839,0.46707814931869507,0.4411415457725525,0.2942160989984369,0.3183117210865021,10.249175853699162,0.6569740772247314,0.8425564765930176,0.46877148747444153,0.4499439597129822,-0.003008288782888502,0.019253671169281006,0.05286570896914533,0.004106283187866211,-0.005807280540466309,0.00169333815574646,0.008802413940429688
19642,56695,5,good,0.0648031234741211,0.2806,3.29,48,16,-0.006573369532783527,0.11884549260139465,7.763094331274001,0.6745129823684692,0.6506580114364624,0.3988286852836609,0.3435424566268921,-0.006587540274890667,0.12153005599975586,7.8428442669318965,0.6755964756011963,0.6425893902778625,0.4020032286643982,0.3444899320602417,-1.417074210713961e-05,0.002684563398361206,0.07974993565789568,0.0010834932327270508,-0.008068621158599854,0.0031745433807373047,0.0009474754333496094
20064,65414,2,good,0.041445136070251465,0.2876,3.19,48,16,0.25071594256547775,0.08876195549964905,10.221736909904175,0.6544008255004883,0.8061942458152771,0.42017504572868347,0.31838351488113403,0.25252152760157964,0.09515031427145004,10.281257241098377,0.6382784843444824,0.7998787760734558,0.4195503890514374,0.32892054319381714,0.0018055850361018977,0.006388358771800995,0.05952033119420186,-0.01612234115600586,-0.006315469741821289,-0.0006246566772460938,0.010537028312683105
21108,22587,2,good,0.10207128524780273,0.2694,3.46,46,16,0.0010259572799046664,0.4985707998275757,12.53895073832524,0.5634062886238098,0.7856364250183105,0.5547043085098267,0.4769376218318939,0.0018009483711544612,0.5069040656089783,12.575836834032758,0.5763745903968811,0.8163135051727295,0.5561489462852478,0.47454947233200073,0.0007749910912497949,0.008333265781402588,0.03688609570751744,0.012968301773071289,0.030677080154418945,0.0014446377754211426,-0.0023881494998931885
21553,72510,3,good,0.01480334997177124,0.2956,3.07,49,16,0.8031544126251332,0.41581571102142334,14.202774165884342,0.5668826103210449,0.8049461245536804,0.5700644254684448,0.4738488793373108,0.8055171178197954,0.4252978265285492,14.267451434555976,0.5618535280227661,0.7788572311401367,0.5713115930557251,0.4501022696495056,0.0023627051946621958,0.009482115507125854,0.06467726867163393,-0.005029082298278809,-0.0260888934135437,0.0012471675872802734,-0.023746609687805176
22138,72605,2,good,0.050086379051208496,0.285,3.23,48,16,0.6791493481500173,0.3171961009502411,11.97580803813869,0.5745640397071838,0.9338997602462769,0.5482319593429565,0.36982882022857666,0.6779458603442569,0.3272010385990143,11.960129545372215,0.5750848054885864,0.9203245043754578,0.544086754322052,0.37853261828422546,-0.001203487805760406,0.010004937648773193,-0.01567849276647415,0.0005207657814025879,-0.013575255870819092,-0.004145205020904541,0.008703798055648804
22515,29711,5,good,0.01533430814743042,0.2954,3.07,49,16,0.3183680671393559,0.24214310944080353,9.159470633636104,0.7024527192115784,0.7605938911437988,0.4785761833190918,0.4035530686378479,0.31461840832590987,0.27133533358573914,9.24530850915507,0.6707824468612671,0.8203469514846802,0.47903770208358765,0.41765040159225464,-0.003749658813446022,0.029192224144935608,0.08583787551896549,-0.03167027235031128,0.05975306034088135,0.0004615187644958496,0.014097332954406738
22845,40840,2,good,0.03465878963470459,0.2896,3.16,48,16,0.10780674547250303,0.04288335144519806,9.277445902938254,0.5610746741294861,0.8730814456939697,0.46080225706100464,0.31245166063308716,0.11174034640576958,0.045625146478414536,9.312590652290911,0.5566161274909973,0.8610857725143433,0.45953306555747986,0.31447479128837585,0.003933600933266543,0.0027417950332164764,0.0351447493526571,-0.0044585466384887695,-0.011995673179626465,-0.0012691915035247803,0.0020231306552886963
22886,21192,2,good,0.06265515089035034,0.2812,3.28,48,16,0.1443758877376081,0.1683971881866455,9.612899514714915,0.6170750856399536,0.6467664241790771,0.40890297293663025,0.42390644550323486,0.14200617784230576,0.17614640295505524,9.697044247464511,0.6164568662643433,0.6215001344680786,0.41563332080841064,0.4174991846084595,-0.00236970989530233,0.007749214768409729,0.08414473274959633,-0.0006182193756103516,-0.025266289710998535,0.0067303478717803955,-0.006407260894775391
24530,47598,4,good,0.1421474814414978,0.2574,3.64,45,16,-0.011891896266319873,0.07677466422319412,7.514992514629595,0.6517011523246765,0.7562084794044495,0.43323034048080444,0.32983046770095825,-0.013340659971817896,0.08184342831373215,7.577039778211941,0.6365271806716919,0.7637248039245605,0.424518346786499,0.3244405686855316,-0.0014487637054980233,0.005068764090538025,0.06204726358234591,-0.01517397165298462,0.007516324520111084,-0.00871199369430542,-0.005389899015426636
