subject,roi,fold,component,median_Q_success,median_Q_fail
subj02,lateral,5,OUT,0.4421714946192774,0.32572227821725397
subj03,lateral,0,IN,0.673147658519283,0.6448824340396078
subj03,lateral,0,OUT,0.40223150719466333,0.2858153251855601
subj03,lateral,1,IN,0.6544693407597636,0.6450637906888977
subj03,lateral,1,OUT,0.4257958587286712,0.3505710564728933
subj03,lateral,2,IN,0.6582531102839337,0.6181711470494868
subj03,lateral,2,OUT,0.4352528200759729,0.31318528990882166
subj03,lateral,3,IN,0.6668872422312921,0.6481841009224742
subj03,lateral,3,OUT,0.42642724953688954,0.2969438589449174
subj03,lateral,4,IN,0.6751735253407698,0.6547061814700748
subj03,lateral,4,OUT,0.41538187316105046,0.283000599091966
subj03,lateral,5,IN,0.6588398880294828,0.6526455955959718
subj03,lateral,5,OUT,0.4331185508718569,0.3456586565562729
subj04,lateral,0,IN,0.597159980503207,0.6078891456342659
subj04,lateral,0,OUT,0.2995123295788869,0.2331949727804769
subj04,lateral,1,IN,0.6063425314407587,0.6138251908808655
subj04,lateral,1,OUT,0.3499086752493668,0.2871444522521626
subj04,lateral,2,IN,0.6000146417010388,0.593978524037472
subj04,lateral,2,OUT,0.3353819647013076,0.26496996772555603
subj04,lateral,3,IN,0.592279058529608,0.5969439762397315
subj04,lateral,3,OUT,0.3169007233694085,0.24335895995227572
subj04,lateral,4,IN,0.5996741879869327,0.581811528900527
subj04,lateral,4,OUT,0.2992764826847391,0.30224757314429174
subj04,lateral,5,IN,0.6083060561612774,0.5967164672284113
subj04,lateral,5,OUT,0.33666129743538054,0.2621314625925562
subj05,lateral,0,IN,0.5924724873871088,0.5851200345682038
subj05,lateral,0,OUT,0.27537270177722484,0.2233199565025931
subj05,lateral,1,IN,0.6038789917741393,0.5881349065300361
subj05,lateral,1,OUT,0.25856213704667164,0.21405782750699645
subj05,lateral,2,IN,0.6064195891083748,0.5862700038096474
subj05,lateral,2,OUT,0.26140271289558625,0.24026462948882676
subj05,lateral,3,IN,0.5860174695349003,0.5976602780156446
subj05,lateral,3,OUT,0.2524513267878924,0.24219497696975437
subj05,lateral,4,IN,0.5839197754517687,0.5732632119337377
subj05,lateral,4,OUT,0.26652370642267753,0.20605035399825716
subj05,lateral,5,IN,0.5934548631508549,0.597093459887208
subj05,lateral,5,OUT,0.2525022004552902,0.2183282739758905
subj06,lateral,0,IN,0.6672451050299171,0.6427692204490859
subj06,lateral,0,OUT,0.35611132407872964,0.28731890573600977
