subject,roi,family,component,fold,R0,R_PRIOR,R_CORR,R_NULL_mean,E_NATIVE,R_ORACLE
subj02,lateral,anatomy,OUT,1,0.11251160313859357,0.0017041269426651836,0.005464988055793022,0.004063390165378327,0.0014015978904146943,0.5118110841005822
subj02,lateral,anatomy,OUT,2,0.13477055014787254,0.003964266333540981,0.008887866517214578,0.0033199217670257003,0.005567944750188878,0.5728064593007554
subj02,lateral,anatomy,OUT,3,0.0893491128561634,0.004240761685438274,0.0024328629029220375,0.0054028766633567845,-0.002970013760434747,0.5288709710476136
subj02,lateral,anatomy,OUT,4,0.1178729713164479,0.000995090743160686,0.00186353951057031,0.0051491630628223,-0.0032856235522519903,0.43545157866361706
subj02,lateral,anatomy,OUT,5,0.0889581519676716,0.0015220323996945626,0.005406036356001084,0.005162883159242303,0.00024315319675878057,0.4616644987028568
subj02,lateral,behavior,IN,0,0.1504794182831691,0.06580621070047023,0.05417345692866485,0.08567447538837401,-0.031501018459709165,0.17107886394523356
subj02,lateral,behavior,IN,1,0.11251160313859357,0.0766827046804424,0.08936463216649808,0.07967461685208496,0.009690015314413117,0.11299291085748214
subj02,lateral,behavior,IN,2,0.13477055014787254,0.0958024680374632,0.09880296333863081,0.10459991862763122,-0.005796955289000413,0.14548852545943608
subj02,lateral,behavior,IN,3,0.0893491128561634,0.11277636042165104,0.12350169590510161,0.12310956437875363,0.000392131526347983,0.19652956031736285
subj02,lateral,behavior,IN,4,0.1178729713164479,0.1067470648204901,0.10064974417420866,0.10802510343325981,-0.0073753592590511535,0.1298285203234755
subj02,lateral,behavior,IN,5,0.0889581519676716,0.09396952234665593,0.07463222753960846,0.10454332765722663,-0.02991110011761816,0.15951372117609472
subj02,lateral,behavior,OUT,0,0.1504794182831691,0.0032411194392641942,0.005143857070911111,0.0038440919409704934,0.0012997651299406178,0.5845059191966524
subj02,lateral,behavior,OUT,1,0.11251160313859357,0.0017041269426651836,0.0022622427157882033,0.0050089720556025,-0.0027467293398142963,0.5118110841005822
subj02,lateral,behavior,OUT,2,0.13477055014787254,0.003964266333540981,0.004999800245269432,0.0037823821410046233,0.0012174181042648087,0.5728064593007554
subj02,lateral,behavior,OUT,3,0.0893491128561634,0.004240761685438274,0.004722331576156858,0.004606312196660296,0.00011601937949656197,0.5288709710476136
subj02,lateral,behavior,OUT,4,0.1178729713164479,0.000995090743160686,0.006997892250321131,0.004079205686393309,0.002918686563927822,0.43545157866361706
subj02,lateral,behavior,OUT,5,0.0889581519676716,0.0015220323996945626,0.009134378568016183,0.004832488116694528,0.004301890451321655,0.4616644987028568
subj03,lateral,anatomy,IN,0,0.19890980235787553,0.1851876207187108,0.18296602409959373,0.16986901470981214,0.013097009389781589,0.2359119967835906
subj03,lateral,anatomy,IN,1,0.1406079829245157,0.11934216328201006,0.127613016285447,0.12856190543983229,-0.0009488891543852906,0.18387866189254182
subj03,lateral,anatomy,IN,2,0.14322554453822606,0.13234913462602538,0.1659123153116825,0.12953112679102424,0.03638118852065825,0.22665710219201585
subj03,lateral,anatomy,IN,3,0.21049893060703434,0.15483762917783467,0.20487701484783147,0.15566658772626085,0.049210427121570616,0.22750779633030913
subj03,lateral,anatomy,IN,4,0.1261252133218715,0.16575348321450684,0.13310548207056005,0.1727229031989811,-0.03961742112842104,0.21764630155656933
subj03,lateral,anatomy,IN,5,0.09892034777782344,0.0929048495928585,0.09994159366233413,0.09409036544522605,0.0058512282171080815,0.13224882976139082
subj03,lateral,anatomy,OUT,0,0.19890980235787553,0.008907353891827199,0.010539320695514779,0.00720933013195359,0.0033299905635611887,0.4747767241092131
subj03,lateral,anatomy,OUT,1,0.1406079829245157,0.005633318657256255,0.007643255354385279,0.005778098317849312,0.001865157036535967,0.5060262229114547
subj03,lateral,anatomy,OUT,2,0.14322554453822606,0.0013038645039041342,0.008461844710672085,0.006197266376530122,0.002264578334141963,0.5221200795541385
subj03,lateral,anatomy,OUT,3,0.21049893060703434,0.002160009846620742,0.0004090085215792464,0.007658956466510793,-0.007249947944931547,0.4682843703884707
subj03,lateral,anatomy,OUT,4,0.1261252133218715,0.0026620752085184793,0.0030133543058145523,0.009243149109921871,-0.006229794804107319,0.49429303998128793
subj03,lateral,anatomy,OUT,5,0.09892034777782344,0.0019458812734496837,0.00416513496492891,0.008885065459578269,-0.004719930494649359,0.5126781420487206
subj03,lateral,behavior,IN,0,0.19890980235787553,0.1851876207187108,0.16703461216993767,0.17376250038011065,-0.0067278882101729776,0.2359119967835906
subj03,lateral,behavior,IN,1,0.1406079829245157,0.11934216328201006,0.1343650985723768,0.12751862535143949,0.006846473220937316,0.18387866189254182
subj03,lateral,behavior,IN,2,0.14322554453822606,0.13234913462602538,0.10764503163094741,0.13661811467382454,-0.02897308304287713,0.22665710219201585
subj03,lateral,behavior,IN,3,0.21049893060703434,0.15483762917783467,0.1655410583962817,0.16401949612125302,0.0015215622750286706,0.22750779633030913
subj03,lateral,behavior,IN,4,0.1261252133218715,0.16575348321450684,0.15621072637853167,0.16900382304798106,-0.012793096669449389,0.21764630155656933
subj03,lateral,behavior,IN,5,0.09892034777782344,0.0929048495928585,0.09572791651199702,0.09597721634406596,-0.000249299832068936,0.13224882976139082
subj03,lateral,behavior,OUT,0,0.19890980235787553,0.008907353891827199,0.013114495815878922,0.007388259867645693,0.0057262359482332294,0.4747767241092131
subj03,lateral,behavior,OUT,1,0.1406079829245157,0.005633318657256255,0.007592980799156776,0.005202455545750369,0.002390525253406407,0.5060262229114547
subj03,lateral,behavior,OUT,2,0.14322554453822606,0.0013038645039041342,0.005761074185271139,0.007112589660544195,-0.0013515154752730555,0.5221200795541385
subj03,lateral,behavior,OUT,3,0.21049893060703434,0.002160009846620742,0.012826445463668554,0.0053207008353854815,0.007505744628283072,0.4682843703884707
subj03,lateral,behavior,OUT,4,0.1261252133218715,0.0026620752085184793,0.011349466815331019,0.007637374095163836,0.003712092720167183,0.49429303998128793
subj03,lateral,behavior,OUT,5,0.09892034777782344,0.0019458812734496837,0.021709649611844965,0.005812746814652709,0.015896902797192254,0.5126781420487206
subj04,lateral,anatomy,IN,0,0.12811511074698534,0.09050078599546656,0.07169891693948907,0.10763564932559501,-0.03593673238610594,0.14531420461930894
subj04,lateral,anatomy,IN,1,0.13469005205777335,0.0903252904080572,0.09942753210423753,0.0943560023998128,0.005071529704424732,0.15257597873847023
subj04,lateral,anatomy,IN,2,0.1596133308597619,0.07903875698764345,0.15407437612653058,0.10233578182324131,0.05173859430328927,0.16702515698898684
subj04,lateral,anatomy,IN,3,0.12740556899115113,0.08119931322732722,0.06558627272016337,0.10096924946718237,-0.035382976747019,0.13722336630149495
subj04,lateral,anatomy,IN,4,0.09464851590747848,0.09111897529494978,0.10161175734066191,0.09909549453093497,0.0025162628097269435,0.12455634819143874
subj04,lateral,anatomy,IN,5,0.1662411198401435,0.09843138287821172,0.11934573664614612,0.09745086927048625,0.021894867375659863,0.16138012901141613
subj04,lateral,anatomy,OUT,0,0.12811511074698534,0.013254751035510206,0.005241109439045662,0.012844615817164506,-0.007603506378118845,0.457145818249217
subj04,lateral,anatomy,OUT,1,0.13469005205777335,0.01414881819049731,0.012191858895992077,0.012614579049346528,-0.00042272015335445036,0.5205979108827913
subj04,lateral,anatomy,OUT,2,0.1596133308597619,0.003769222053884998,0.005712567785260796,0.007719926601637932,-0.002007358816377137,0.5361073189636077
subj04,lateral,anatomy,OUT,3,0.12740556899115113,0.007850014289663478,0.007294385976652283,0.009353427793443402,-0.0020590418167911193,0.53867753747327
subj04,lateral,anatomy,OUT,4,0.09464851590747848,0.0050361957428159375,0.0020046565500828977,0.0070520142362493566,-0.005047357686166459,0.29319042429155284
subj04,lateral,anatomy,OUT,5,0.1662411198401435,0.006790764472828801,0.008649488490200646,0.004575156556766044,0.004074331933434602,0.5050441959218576
subj04,lateral,behavior,IN,0,0.12811511074698534,0.09050078599546656,0.1431487193148019,0.0965692868165634,0.04657943249823848,0.14531420461930894
subj04,lateral,behavior,IN,1,0.13469005205777335,0.0903252904080572,0.07319520497178866,0.09836209468362943,-0.025166889711840765,0.15257597873847023
subj04,lateral,behavior,IN,2,0.1596133308597619,0.07903875698764345,0.13222633236557496,0.10443079491001046,0.027795537455564498,0.16702515698898684
subj04,lateral,behavior,IN,3,0.12740556899115113,0.08119931322732722,0.09213186933990863,0.09910668176742905,-0.006974812427520419,0.13722336630149495
subj04,lateral,behavior,IN,4,0.09464851590747848,0.09111897529494978,0.09720631219444459,0.09802055114271604,-0.0008142389482714563,0.12455634819143874
subj04,lateral,behavior,IN,5,0.1662411198401435,0.09843138287821172,0.07349332887813224,0.11112875003231616,-0.03763542115418392,0.16138012901141613
subj04,lateral,behavior,OUT,0,0.12811511074698534,0.013254751035510206,0.0010925379541748285,0.014536438824234303,-0.013443900870059474,0.457145818249217
subj04,lateral,behavior,OUT,1,0.13469005205777335,0.01414881819049731,0.006966245139731679,0.014927038397526151,-0.007960793257794472,0.5205979108827913
subj04,lateral,behavior,OUT,2,0.1596133308597619,0.003769222053884998,0.00257292386611588,0.008337368043920967,-0.005764444177805087,0.5361073189636077
subj04,lateral,behavior,OUT,3,0.12740556899115113,0.007850014289663478,0.004538055403029236,0.011000311374928256,-0.00646225597189902,0.53867753747327
subj04,lateral,behavior,OUT,4,0.09464851590747848,0.0050361957428159375,0.006871594329074958,0.00707695766801836,-0.00020536333894340206,0.29319042429155284
subj04,lateral,behavior,OUT,5,0.1662411198401435,0.006790764472828801,0.002596597811868833,0.004945197956242594,-0.002348600144373761,0.5050441959218576
subj05,lateral,anatomy,IN,0,0.143024774082227,0.1078587278349938,0.09589387439848913,0.09518970524167558,0.0007041691568135527,0.14512207544658395
subj05,lateral,anatomy,IN,1,0.16611502429999558,0.14506597957767195,0.12508167145715793,0.12347969092405758,0.0016019805331003445,0.16524668000809534
subj05,lateral,anatomy,IN,2,0.1259496144322311,0.12644216982143242,0.11443522544713329,0.10562768209154419,0.0088075433555891,0.1295492304937011
subj05,lateral,anatomy,IN,3,0.03966948102758183,0.06027874092941771,0.054606431845954935,0.06339441442954495,-0.008787982583590016,0.05963117694661847
subj05,lateral,anatomy,IN,4,0.14529392334949548,0.1339328897292027,0.13733108667568855,0.12792494533682844,0.009406141338860113,0.13880539779619996
subj05,lateral,anatomy,IN,5,0.08442736750310592,0.1206777838291658,0.12668881930315395,0.11000924880960783,0.016679570493546125,0.16851257783397008
subj05,lateral,anatomy,OUT,0,0.143024774082227,0.017869274864355335,0.01101880475118213,0.00860673958375846,0.00241206516742367,0.4738138284236886
subj05,lateral,anatomy,OUT,1,0.16611502429999558,0.001914134818774537,0.0035164108518672514,0.006834676858945341,-0.0033182660070780893,0.4821606930651372
subj05,lateral,anatomy,OUT,2,0.1259496144322311,0.0033769117578879423,0.011413257213869269,0.007481854493609729,0.00393140272025954,0.422942696397604
subj05,lateral,anatomy,OUT,3,0.03966948102758183,0.012197570235376173,0.01948676323478562,0.019627707321283782,-0.00014094408649816328,0.4471470629831621
subj05,lateral,anatomy,OUT,4,0.14529392334949548,0.005164309092786255,0.015935000576695352,0.011040298525691916,0.004894702051003437,0.5134645628134676
subj05,lateral,anatomy,OUT,5,0.08442736750310592,0.0027684703200166532,0.02458570053169762,0.013271636079914445,0.011314064451783174,0.4229626712111032
subj05,lateral,behavior,IN,0,0.143024774082227,0.1078587278349938,0.08814890965700074,0.08798014556265386,0.00016876409434687933,0.14512207544658395
subj05,lateral,behavior,IN,1,0.16611502429999558,0.14506597957767195,0.11232389439544968,0.11063208141075048,0.001691812984699198,0.16524668000809534
subj05,lateral,behavior,IN,2,0.1259496144322311,0.12644216982143242,0.09793191481984463,0.09853745019228713,-0.0006055353724424978,0.1295492304937011
subj05,lateral,behavior,IN,3,0.03966948102758183,0.06027874092941771,0.06952609028110825,0.06880661773839408,0.000719472542714164,0.05963117694661847
subj05,lateral,behavior,IN,4,0.14529392334949548,0.1339328897292027,0.14121865780235604,0.14060652281103084,0.0006121349913252028,0.13880539779619996
subj05,lateral,behavior,IN,5,0.08442736750310592,0.1206777838291658,0.116904298942895,0.11873824446967936,-0.0018339455267843557,0.16851257783397008
subj05,lateral,behavior,OUT,0,0.143024774082227,0.017869274864355335,0.009301431438838954,0.008970882126422669,0.000330549312416285,0.4738138284236886
subj05,lateral,behavior,OUT,1,0.16611502429999558,0.001914134818774537,0.007902973107576476,0.008612479889816458,-0.0007095067822399815,0.4821606930651372
subj05,lateral,behavior,OUT,2,0.1259496144322311,0.0033769117578879423,0.008159245315908586,0.009155673903988297,-0.0009964285880797105,0.422942696397604
subj05,lateral,behavior,OUT,3,0.03966948102758183,0.012197570235376173,0.025978812987307004,0.02585577272529106,0.000123040262015945,0.4471470629831621
subj05,lateral,behavior,OUT,4,0.14529392334949548,0.005164309092786255,0.022465885791433073,0.02327320104332747,-0.0008073152518943971,0.5134645628134676
subj05,lateral,behavior,OUT,5,0.08442736750310592,0.0027684703200166532,0.020620512151534987,0.020419617402249558,0.00020089474928542891,0.4229626712111032
subj06,lateral,anatomy,IN,0,0.14124846395462437,0.09753745740552792,0.14043157431738645,0.1123835044721389,0.028048069845247547,0.15056202899785548
subj06,lateral,anatomy,IN,1,0.04911832722374772,0.03894934990333902,0.05346033363512405,0.04131216957345171,0.012148164061672337,0.047628002683597175
subj06,lateral,anatomy,IN,2,0.1006094773618907,0.029740988666088725,0.06542344602262307,0.046117219505721424,0.019306226516901642,0.11325935814109475
subj06,lateral,anatomy,IN,3,0.09537243174859986,0.06640808783447351,0.08418728825975469,0.06379053006232119,0.0203967581974335,0.10731228033047852
subj06,lateral,anatomy,IN,4,0.09549431390063584,0.07153095197186951,0.07637606211753335,0.07040244052686045,0.005973621590672898,0.11035552421549064
subj06,lateral,anatomy,IN,5,0.06214385333104115,0.06978786201473955,0.06485669270971896,0.058363078428092255,0.006493614281626703,0.06844630561253646
subj06,lateral,anatomy,OUT,0,0.14124846395462437,0.010382094493122312,0.009122489842641678,0.005852743329072801,0.003269746513568877,0.5991310300405708
subj06,lateral,anatomy,OUT,1,0.04911832722374772,0.010218063267232867,0.003582505213872333,0.005355301687267212,-0.0017727964733948785,0.5980955657914233
subj06,lateral,anatomy,OUT,2,0.1006094773618907,0.019861079727106355,0.003214704858841998,0.010471392821065467,-0.007256687962223469,0.4690641304032616
subj06,lateral,anatomy,OUT,3,0.09537243174859986,0.0136186894532818,0.01228437778948919,0.00908767597136139,0.0031967018181277996,0.4249297312219822
subj06,lateral,anatomy,OUT,4,0.09549431390063584,0.012001380349230964,0.00419800943515854,0.006510873020069376,-0.002312863584910836,0.643467713564986
subj06,lateral,anatomy,OUT,5,0.06214385333104115,0.014290602425663674,0.011617888836073925,0.010216060252124317,0.0014018285839496082,0.5869326657296784
subj06,lateral,behavior,IN,0,0.14124846395462437,0.09753745740552792,0.13871715274979285,0.11474501012736989,0.023972142622422962,0.15056202899785548
subj06,lateral,behavior,IN,1,0.04911832722374772,0.03894934990333902,0.05215037351166445,0.04180145918474871,0.010348914326915738,0.047628002683597175
subj06,lateral,behavior,IN,2,0.1006094773618907,0.029740988666088725,0.046619327079378624,0.049130322492205385,-0.002510995412826761,0.11325935814109475
subj06,lateral,behavior,IN,3,0.09537243174859986,0.06640808783447351,0.08400207260243846,0.062055956796533446,0.02194611580590501,0.10731228033047852
subj06,lateral,behavior,IN,4,0.09549431390063584,0.07153095197186951,0.055985921145143405,0.07551144022317212,-0.019525519078028714,0.11035552421549064
subj06,lateral,behavior,IN,5,0.06214385333104115,0.06978786201473955,0.048081665127643836,0.061445913878567245,-0.013364248750923409,0.06844630561253646
