subject,roi,family,component,fold,SIM_PRIOR,SIM_CORR,SIM_NULL_mean,E_GEOM
subj08,ventral,anatomy,IN,1,0.4218675855121347,0.353562396971478,0.35803445415723417,-0.004472057185756162
subj08,ventral,anatomy,IN,2,0.4703241031808356,0.3864599477415298,0.39380271206814355,-0.007342764326613738
subj08,ventral,anatomy,IN,3,0.4568934358654592,0.37490412274730706,0.3875530512467071,-0.012648928499400025
subj08,ventral,anatomy,IN,4,0.4720734348089431,0.3652468525896592,0.36885515796985485,-0.003608305380195631
subj08,ventral,anatomy,IN,5,0.4161065608079286,0.3446813805376361,0.3490624712439995,-0.004381090706363389
subj08,ventral,anatomy,OUT,0,0.3676789066562813,0.28511874782471375,0.277303116395929,0.007815631428784775
subj08,ventral,anatomy,OUT,1,0.4338281885891848,0.34204393878775713,0.34114421455103133,0.0008997242367257963
subj08,ventral,anatomy,OUT,2,0.43274212414576335,0.3033300857170687,0.3042284634047375,-0.0008983776876688165
subj08,ventral,anatomy,OUT,3,0.4406564836687798,0.31324529297378745,0.30107946986888445,0.012165823104902995
subj08,ventral,anatomy,OUT,4,0.46940487006706555,0.332556614533388,0.3366152161730584,-0.004058601639670423
subj08,ventral,anatomy,OUT,5,0.4143560786945999,0.3183795787850013,0.32768010393245284,-0.009300525147451555
subj08,ventral,behavior,IN,0,0.40759240912555067,0.2957418471878039,0.30250449516490946,-0.006762647977105574
subj08,ventral,behavior,IN,1,0.4218675855121347,0.32384407199264426,0.32573718995412465,-0.001893117961480395
subj08,ventral,behavior,IN,2,0.4703241031808356,0.3430236671669142,0.351795555246594,-0.008771888079679824
subj08,ventral,behavior,IN,3,0.4568934358654592,0.35909370921473743,0.34529057682641096,0.013803132388326478
subj08,ventral,behavior,IN,4,0.4720734348089431,0.3402944084511306,0.33677124358194616,0.0035231648691844697
subj08,ventral,behavior,IN,5,0.4161065608079286,0.30856342850346735,0.3206434138628626,-0.012079985359395251
subj08,ventral,behavior,OUT,0,0.3676789066562813,0.19875575558157504,0.21882630854033838,-0.020070552958763338
subj08,ventral,behavior,OUT,1,0.4338281885891848,0.17734598154693645,0.29103727927031164,-0.11369129772337519
subj08,ventral,behavior,OUT,2,0.43274212414576335,0.15719019588248903,0.24263486521246277,-0.08544466932997374
subj08,ventral,behavior,OUT,3,0.4406564836687798,0.07637335184478276,0.25421956256804545,-0.17784621072326268
subj08,ventral,behavior,OUT,4,0.46940487006706555,0.23185010536179904,0.25617395423437733,-0.024323848872578296
subj08,ventral,behavior,OUT,5,0.4143560786945999,0.23813181031509048,0.24862166915781767,-0.010489858842727184
subj01,lateral,anatomy,IN,0,0.538751562494053,0.36631238526938814,0.37160579362868007,-0.005293408359291929
subj01,lateral,anatomy,IN,1,0.5364612724800902,0.36424769152557895,0.36036282132235037,0.0038848702032285853
