ROI,target_subject,identity_fold,K,r_sel,predicted_residual_retention,oracle_retention,null_median,null_p95,oracle_recovery
V1,subj04,1,16,6,0.4392878090461996,0.8849538760828317,0.3155037149475255,0.5845618241108359,0.4963962765954169
V1,subj04,2,16,6,0.5050231964459462,0.7015954981723832,0.2674030344846708,0.433660831399718,0.7198210332898418
V1,subj04,3,16,6,0.3621094856518925,0.9573651515014248,0.4263314636218474,0.8390387302050429,0.3782354988417954
V1,subj04,4,16,6,0.2095512375555724,0.6068353553983095,0.1750700521436547,0.399887606674447,0.345318109255564
V1,subj04,5,16,6,0.5519065163536004,0.9923078493119408,0.3435393723260987,0.6805333799351971,0.5561847734413151
V1,subj05,0,16,6,0.266188888805254,0.5386216596093492,0.2026080935216627,0.3958686089357568,0.4942038331661507
V1,subj05,1,16,6,0.2710745081735787,0.6065847328282897,0.1578255153087924,0.4412836846385584,0.446886466973302
V1,subj05,2,16,6,0.2618123583043821,0.6765534837919384,0.2393733891578301,0.4028562634439748,0.3869795434900128
V1,subj05,3,16,6,0.2296993134859936,0.8212645207489233,0.3148723147293871,0.5107048735307106,0.2796898047860723
V1,subj05,4,16,6,0.3868578897611823,0.800359695422283,0.3125508314003352,0.4801357919767847,0.4833550364590382
V1,subj05,5,16,6,0.5017631677835072,0.7091669810612033,0.2586359303258061,0.4853196877924965,0.7075388183367824
V1,subj06,0,16,6,0.1215302904908366,0.5786635578766166,0.2121932815946881,0.3976803037387903,0.2100189113978203
V1,subj06,1,16,6,0.2402640562215352,0.8322036587893998,0.3363647620444107,0.5368848798352978,0.2887082430892523
V1,subj06,2,16,6,0.1750115040948507,0.7075777097939348,0.2652350711859242,0.4324877204490203,0.2473389165210117
V1,subj06,3,16,6,0.2904926539201025,0.6792473198901398,0.258939978949446,0.409276116972654,0.4276684580324678
V1,subj06,4,16,6,0.2496021046581099,0.5440328475605974,0.2000083416838788,0.3486737120436845,0.4587996952340415
V1,subj06,5,16,6,0.1198809399064907,0.6664665770821703,0.2542327142660591,0.3332516498399585,0.1798753966498013
V1,subj07,0,16,6,0.3134609854034522,0.5124739186688744,0.1951355890403328,0.308993901640213,0.6116623187725369
V1,subj07,1,16,6,0.0940974802952701,0.3139178043503536,0.1180174285702156,0.1802859103093595,0.2997519700738317
V1,subj07,2,16,6,0.1711352444146769,0.8090638080570892,0.3145786834197508,0.6323588027337036,0.2115225557124429
