subject,roi,fold,R0,R_CAL0,dev,sym,idem,range_in_colW,rank,r_best,ok
subj04,lateral,2,0.1596133308597619,0.1596133308597619,0.0,0.0,1.212248034122747e-15,2.0839252739991177e-15,6,6,1
subj04,lateral,3,0.12740556899115113,0.12740556899115113,0.0,0.0,1.2504378066217849e-15,2.2277486717827126e-15,6,6,1
subj04,lateral,4,0.09464851590747848,0.09464851590747848,0.0,0.0,1.3857459088770094e-15,2.4166153427243e-15,6,6,1
subj04,lateral,5,0.1662411198401435,0.1662411198401435,0.0,0.0,1.4345230655912553e-15,2.2112428950677705e-15,6,6,1
subj05,lateral,0,0.143024774082227,0.143024774082227,0.0,0.0,1.0799809319042115e-15,2.3660884122718145e-15,6,6,1
subj05,lateral,1,0.16611502429999558,0.16611502429999558,0.0,0.0,1.1079286371961942e-15,2.2327558028167485e-15,6,6,1
subj05,lateral,2,0.1259496144322311,0.1259496144322311,0.0,0.0,9.00968421074302e-16,2.417209747524954e-15,6,6,1
subj05,lateral,3,0.03966948102758183,0.03966948102758183,0.0,0.0,1.1664150311662244e-15,2.2924826885252885e-15,6,6,1
subj05,lateral,4,0.14529392334949548,0.14529392334949548,0.0,0.0,1.0952802716881496e-15,2.6020805387238086e-15,6,6,1
subj05,lateral,5,0.08442736750310592,0.08442736750310592,0.0,0.0,1.1299235889572923e-15,2.420895705996592e-15,6,6,1
subj06,lateral,0,0.14124846395462437,0.14124846395462437,0.0,0.0,1.2992206129846528e-15,2.416031791037384e-15,6,6,1
subj06,lateral,1,0.04911832722374772,0.04911832722374772,0.0,0.0,1.3809139890824939e-15,2.432889196744435e-15,6,6,1
subj06,lateral,2,0.1006094773618907,0.1006094773618907,0.0,0.0,1.3380662884828086e-15,2.289391221965253e-15,6,6,1
subj06,lateral,3,0.09537243174859986,0.09537243174859986,0.0,0.0,1.286939394141016e-15,2.4333341819537695e-15,6,6,1
subj06,lateral,4,0.09549431390063584,0.09549431390063584,0.0,0.0,1.2416345622003725e-15,2.580743570537559e-15,6,6,1
subj06,lateral,5,0.06214385333104115,0.06214385333104115,0.0,0.0,1.5196107373879752e-15,2.5003385068127126e-15,6,6,1
subj07,lateral,0,0.1562635909536735,0.1562635909536735,0.0,0.0,1.0155788716785268e-15,3.3483082385376567e-15,6,6,1
subj07,lateral,1,0.10553508712330145,0.10553508712330145,0.0,0.0,1.4888000469578952e-15,3.333403271758287e-15,6,6,1
subj07,lateral,2,0.16690386306562638,0.16690386306562638,0.0,0.0,1.0932417234050275e-15,3.2407630545498922e-15,6,6,1
subj07,lateral,3,0.15262592259263733,0.15262592259263733,0.0,0.0,1.1034774413173602e-15,3.3582341280532106e-15,6,6,1
subj07,lateral,4,0.10145872260548229,0.10145872260548229,0.0,0.0,1.2413070472290912e-15,3.326166910643094e-15,6,6,1
subj07,lateral,5,0.15686467145355176,0.15686467145355176,0.0,0.0,1.3425883171645263e-15,3.42510871738165e-15,6,6,1
subj08,lateral,0,0.11430588205661721,0.11430588205661721,0.0,0.0,1.3173630747265777e-15,3.245992014939727e-15,6,6,1
subj08,lateral,1,0.045558450302665095,0.045558450302665095,0.0,0.0,1.1173514335207352e-15,3.35005930440178e-15,6,6,1
subj08,lateral,2,0.06557485899630351,0.06557485899630351,0.0,0.0,1.6138271773755485e-15,3.413116717258264e-15,6,6,1
subj08,lateral,3,0.0707740832872125,0.0707740832872125,0.0,0.0,1.2775224472907316e-15,3.2381755650421635e-15,6,6,1
