subject,roi,fold,identity,split_id,SPLIT_HALF_COS2
subj01,ventral,1,A:E,3,0.3760962904950372
subj01,ventral,1,A:E,4,0.2906207742811869
subj01,ventral,1,A:E,5,0.2998648131386232
subj01,ventral,1,A:E,6,0.3949989552942076
subj01,ventral,1,A:E,7,0.3752863047203126
subj01,ventral,1,A:E,8,0.2963684919606775
subj01,ventral,1,A:E,9,0.41311472734634264
subj01,ventral,1,A:E,10,0.41952692763424265
subj01,ventral,1,A:E,11,0.342701304974338
subj01,ventral,1,A:E,12,0.37290799997291835
subj01,ventral,1,A:E,13,0.45219350985142787
subj01,ventral,1,A:E,14,0.30850644609168976
subj01,ventral,1,A:E,15,0.45326078200807246
subj01,ventral,1,A:E,16,0.45437780496281044
subj01,ventral,1,A:E,17,0.46986072583520117
subj01,ventral,1,A:E,18,0.5125811038832702
subj01,ventral,1,A:E,19,0.4045244038164327
subj01,ventral,1,A:E,20,0.44717050171743283
subj01,ventral,1,A:E,21,0.5020238786496611
subj01,ventral,1,A:E,22,0.3026875254895512
subj01,ventral,1,A:E,23,0.5061410958758298
subj01,ventral,1,A:E,24,0.3790424435527447
subj01,ventral,1,A:E,25,0.3188555209071088
subj01,ventral,1,A:E,26,0.36746033360300384
subj01,ventral,1,A:E,27,0.4221201667107333
subj01,ventral,1,A:E,28,0.3047525990789734
subj01,ventral,1,A:E,29,0.5198872794069426
subj01,ventral,1,A:E,30,0.4039803884007377
subj01,ventral,1,A:E,31,0.3011789400298066
subj01,ventral,1,A:E,32,0.5297830831525613
subj01,ventral,1,A:E,33,0.4396369320580847
subj01,ventral,1,A:E,34,0.36849296335899695
subj01,ventral,1,A:L,0,0.4567098814106711
subj01,ventral,1,A:L,1,0.30732491821845415
subj01,ventral,1,A:L,2,0.47363149593305975
subj01,ventral,1,A:L,3,0.4149000560157676
subj01,ventral,1,A:L,4,0.42864360560724946
subj01,ventral,1,A:L,5,0.14808743723969015
subj01,ventral,1,A:L,6,0.4935767631064549
subj01,ventral,1,A:L,7,0.3724622285142736
subj01,ventral,1,A:L,8,0.5033696327058022
subj01,ventral,1,A:L,9,0.3202324652889031
subj01,ventral,1,A:L,10,0.2602785539390287
subj01,ventral,1,A:L,11,0.4484993390608488
subj01,ventral,1,A:L,12,0.36153156711288215
subj01,ventral,1,A:L,13,0.39200956778764307
subj01,ventral,1,A:L,14,0.2835264931858189
subj01,ventral,1,A:L,15,0.21695325271703395
subj01,ventral,1,A:L,16,0.4967272523840429
subj01,ventral,1,A:L,17,0.5448799634453179
subj01,ventral,1,A:L,18,0.46730283771000797
subj01,ventral,1,A:L,19,0.38440106767150645
subj01,ventral,1,A:L,20,0.4553330411778725
subj01,ventral,1,A:L,21,0.4805735518458376
subj01,ventral,1,A:L,22,0.4736076641306988
subj01,ventral,1,A:L,23,0.32137413656791425
subj01,ventral,1,A:L,24,0.3390017493053034
subj01,ventral,1,A:L,25,0.2599776732694993
subj01,ventral,1,A:L,26,0.27204754849660817
subj01,ventral,1,A:L,27,0.38385540154685843
subj01,ventral,1,A:L,28,0.5394217665638426
subj01,ventral,1,A:L,29,0.48356314637001624
subj01,ventral,1,A:L,30,0.4464008768494175
subj01,ventral,1,A:L,31,0.4356098443661913
subj01,ventral,1,A:L,32,0.48115155583952857
subj01,ventral,1,A:L,33,0.47547714812849423
subj01,ventral,1,A:L,34,0.2814102033705049
subj01,ventral,1,A:P,0,0.30018253591087574
subj01,ventral,1,A:P,1,0.2886863236367934
subj01,ventral,1,A:P,2,0.3711899475703496
subj01,ventral,1,A:P,3,0.5482918977767045
subj01,ventral,1,A:P,4,0.5679126018490953
subj01,ventral,1,A:P,5,0.254774550245083
subj01,ventral,1,A:P,6,0.36265190303355843
subj01,ventral,1,A:P,7,0.2631731775233845
subj01,ventral,1,A:P,8,0.2921256773200399
subj01,ventral,1,A:P,9,0.40268372616377074
subj01,ventral,1,A:P,10,0.5122576249317384
subj01,ventral,1,A:P,11,0.5310545036188774
subj01,ventral,1,A:P,12,0.44700851744638437
subj01,ventral,1,A:P,13,0.4963417076360391
subj01,ventral,1,A:P,14,0.3294820810566509
subj01,ventral,1,A:P,15,0.2692080233607889
subj01,ventral,1,A:P,16,0.43403237369065234
subj01,ventral,1,A:P,17,0.46113155081271523
subj01,ventral,1,A:P,18,0.5330817820873223
subj01,ventral,1,A:P,19,0.21848626165114793
subj01,ventral,1,A:P,20,0.4098895731706896
subj01,ventral,1,A:P,21,0.44735169648812767
subj01,ventral,1,A:P,22,0.4115695990533698
subj01,ventral,1,A:P,23,0.48170384109766756
subj01,ventral,1,A:P,24,0.46012634837933464
subj01,ventral,1,A:P,25,0.41987676126106105
subj01,ventral,1,A:P,26,0.3827411772490748
subj01,ventral,1,A:P,27,0.4443160376861874
subj01,ventral,1,A:P,28,0.4184069870422271
subj01,ventral,1,A:P,29,0.5186203177980077
subj01,ventral,1,A:P,30,0.2438776811181368
subj01,ventral,1,A:P,31,0.42841370563621395
subj01,ventral,1,A:P,32,0.5007503130961125
subj01,ventral,1,A:P,33,0.41152383960320577
subj01,ventral,1,A:P,34,0.30175857732551753
subj01,ventral,1,A:R,0,0.17059200597050656
subj01,ventral,1,A:R,1,0.12179024699668016
subj01,ventral,1,A:R,2,0.29567602287579114
subj01,ventral,1,A:R,3,0.2938961540507383
subj01,ventral,1,A:R,4,0.20275043823522318
subj01,ventral,1,A:R,5,0.10478635839004696
subj01,ventral,1,A:R,6,0.29796033574389413
subj01,ventral,1,A:R,7,0.3318423507474988
subj01,ventral,1,A:R,8,0.3493062118418659
subj01,ventral,1,A:R,9,0.215865111863164
subj01,ventral,1,A:R,10,0.20222600390182222
subj01,ventral,1,A:R,11,0.31955034058380805
subj01,ventral,1,A:R,12,0.37457305799610524
subj01,ventral,1,A:R,13,0.3181602726674003
subj01,ventral,1,A:R,14,0.25815835867529285
subj01,ventral,1,A:R,15,0.22884609392045804
subj01,ventral,1,A:R,16,0.41298260889008653
subj01,ventral,1,A:R,17,0.4738879377488208
subj01,ventral,1,A:R,18,0.41194775792900085
subj01,ventral,1,A:R,19,0.35146807658745816
subj01,ventral,1,A:R,20,0.3442065742370532
subj01,ventral,1,A:R,21,0.4356867257205485
