participant,ROI,O0,O1,O2,O3,O4,G,G_gain,G_diag,G_lowrank,headroom,normalized_G,classification,action_cosine,singular_profile_corr,identity_deviation,off_diagonal_mixing,out_of_span_fraction,fraction_contracted,residual_rank,rotation_frobenius,R_img_B0,R_vis_B0,voxel_count,G_B1,R_img_B1,R_vis_B1
subj04,lateral,0.772663394610087,0.7582398901383082,0.7738343675931295,0.6455634422300186,0.7878544641387423,0.015191069528655232,0.029614574000434102,0.014020096545612759,0.14229102190872367,0.22733660538991296,0.06682192470764,DIAGONAL_REWEIGHTING_SUFFICIENT,0.6090275807610526,0.939943541802868,1.3806660564258206,0.9779648909623532,0.3218496879090256,0.9166666666666666,12,5.095287810216038,0.7226137762541242,0.7827806618554007,143,-0.017563845253789845,0.3213731383906546,0.37767725293555915
subj04,parietal,0.7082889527082443,0.6935960352420807,0.7085130463043848,0.5991870065759178,0.7551090193413083,0.04682006663306393,0.06151298409922756,0.04659597303692342,0.15592201276539042,0.2917110472917557,0.1605015204865954,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.615740357402346,0.9298083572864648,1.0534095102477894,0.9113738136740844,0.5031980915510524,1.0,12,4.974806324908731,0.7820760648295618,0.7686938642995524,67,-0.06015230730967089,0.38827598956221615,0.4884030475714068
subj05,V1,0.8409103030959765,0.8163863296310107,0.8386474624276161,0.6789470204819977,0.8434708408292169,0.0025605377332403867,0.027084511198206207,0.004823378401600742,0.16452382034721913,0.15908969690402353,0.016094931243631205,DIAGONAL_REWEIGHTING_SUFFICIENT,0.6638883203676251,0.9936749613820005,1.2690319008942663,0.9813302346756918,0.024647679474361,0.9166666666666666,12,4.812892225988311,0.8065828446803196,0.909239707058668,23,-0.0253160476388522,0.5776132721455121,0.8944211065826682
subj05,V2,0.8623362282911936,0.8709655553102493,0.8702161411444346,0.7523989269495863,0.8617551097072574,-0.0005811185839361688,-0.00921044560299189,-0.008461031437177136,0.10935618275767112,0.1376637717088064,-0.004221289136007266,NO_REUSABLE_OPERATOR_EVIDENCE,0.7079900894077894,0.930122068245431,0.9798610073375628,0.5619792388448597,0.0498846829871247,1.0,12,4.506286144881576,0.7361131741074944,0.9407356865400899,22,0.01410169247966353,0.47911894079594625,0.9279123186663828
subj05,V3,0.703889973461628,0.6917497863372167,0.6987509205937386,0.6483197019451986,0.8061635917850346,0.10227361832340665,0.11441380544781787,0.10741267119129605,0.157843889839836,0.29611002653837204,0.34539059524265486,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.8210931666766013,0.9310328949682204,1.056842775624996,0.8865183905212172,0.1273300849587348,0.9166666666666666,12,5.021872152748393,0.7619686082350782,0.9263415863748378,19,-0.04162884120214416,0.5268989271728486,0.9074254391594702
subj05,hV4,0.638837818056345,0.636573196699222,0.6518288773174087,0.6054981201595181,0.5791797205362157,-0.059658097520129294,-0.057393476163006274,-0.07264915678119299,-0.026318399623302402,0.361162181943655,-0.16518367786756966,NO_REUSABLE_OPERATOR_EVIDENCE,0.41744433737579334,0.8502574823168528,0.9958904350473414,0.8371494743915087,6.213158276608484e-15,1.0,11,4.463451557526975,0.7290808475138865,0.7484524464609421,11,-0.07814832219973096,0.4493114766088778,0.533228611911731
subj05,ventral,0.7557726254065832,0.7590828289588293,0.7600000947713852,0.6317448803155179,0.7932167041784149,0.03744407877183176,0.03413387521958566,0.03321660940702975,0.16147182386289705,0.2442273745934168,0.15331646927035783,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.8453598669265088,0.9999999999999999,1.006076646260182,0.7337282982926813,0.6989005747787778,1.0,12,4.954817238820893,0.6479380156693494,0.8337746169488582,133,-0.001539290453526465,0.4274010199943844,0.6508376701079199
subj05,lateral,0.6625606169303259,0.6615424603223801,0.6592018753290176,0.5080844295116939,0.7289435558853198,0.06638293895499392,0.06740109556293972,0.06974168055630214,0.22085912637362592,0.33743938306967414,0.1967255225252923,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7403510754256942,0.9999999999999999,1.0211367804714246,0.938167245566594,0.7759041441187634,1.0,12,4.73159986511177,0.6170031148682289,0.7365355269476179,141,-0.02770109139107113,0.2952174992358411,0.5098516529958115
subj05,parietal,0.7734912981589636,0.770536427696546,0.7824473232030869,0.634659418994431,0.8101328076886984,0.036641509529734884,0.039596379992152486,0.02768548448561159,0.17547338869426743,0.22650870184103644,0.16176645414466176,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7475423169531376,0.8561704180260182,1.0142494828772763,0.94021802579548,0.6770059285700147,1.0,12,5.086281633247932,0.8502400705590939,0.8208380205706848,57,0.013338396042422762,0.7173605355878031,0.6752305145039673
subj06,V1,0.7907964736223221,0.7835342834393183,0.7879030257463455,0.4857784215018718,0.7888118469751552,-0.0019846266471669205,0.00527756353583686,0.000908821228809642,0.3030334254732834,0.20920352637767792,-0.009486583144798657,NO_REUSABLE_OPERATOR_EVIDENCE,0.5439631181273192,0.8839901039583851,0.999917681864452,0.9977555278158252,0.1207346825566974,1.0,12,4.891302460214196,0.7037644559144689,0.9184782304040341,23,-0.005229630309512623,0.5078612986322981,0.8753728443658103
