subject,roi,fold,identity_idx,leak_ratio
subj05,ventral,1,0,5.857513093482434e-16
subj05,ventral,1,1,6.298955755490795e-16
subj05,ventral,1,2,4.4127533759203985e-16
subj05,ventral,1,3,9.043153723586676e-16
subj05,ventral,1,4,7.042820512427313e-16
subj05,ventral,1,5,5.54043749313683e-16
subj05,ventral,1,6,5.161471359514775e-16
subj05,ventral,1,7,6.616274201093759e-16
subj05,ventral,1,8,5.423796912491791e-16
subj05,ventral,1,9,4.895584904297559e-16
subj05,ventral,2,0,6.007547689290696e-16
subj05,ventral,2,1,5.775381496345449e-16
subj05,ventral,2,2,4.2648825411060663e-16
subj05,ventral,2,3,7.522165133350658e-16
subj05,ventral,2,4,6.03989418846685e-16
subj05,ventral,2,5,4.441746844202646e-16
subj05,ventral,2,6,5.917549911100787e-16
subj05,ventral,2,7,5.955961491536436e-16
subj05,ventral,2,8,5.302738830858887e-16
subj05,ventral,2,9,5.013664621340559e-16
subj05,ventral,3,0,6.55654010704302e-16
subj05,ventral,3,1,6.769700724270777e-16
subj05,ventral,3,2,7.235873563549682e-16
subj05,ventral,3,3,8.96312670787086e-16
subj05,ventral,3,4,6.895177624113937e-16
subj05,ventral,3,5,4.639237640866826e-16
subj05,ventral,3,6,5.6939581268456e-16
subj05,ventral,3,7,4.770211424124823e-16
subj05,ventral,3,8,4.794993738047434e-16
subj05,ventral,3,9,4.835365785258704e-16
subj05,ventral,4,0,6.948789902760151e-16
subj05,ventral,4,1,5.870003011383016e-16
subj05,ventral,4,2,8.421815424573323e-16
subj05,ventral,4,3,5.139409814130295e-16
subj05,ventral,4,4,6.995553987684216e-16
subj05,ventral,4,5,5.439777186275554e-16
subj05,ventral,4,6,4.897818563856216e-16
subj05,ventral,4,7,5.347485034811154e-16
subj05,ventral,4,8,6.314169092559053e-16
subj05,ventral,4,9,4.501478503891876e-16
subj05,ventral,5,0,6.199993206966695e-16
subj05,ventral,5,1,5.80406864774352e-16
subj05,ventral,5,2,7.213578590105347e-16
subj05,ventral,5,3,4.528780131754437e-16
subj05,ventral,5,4,8.330493980527693e-16
subj05,ventral,5,5,4.771861469062031e-16
subj05,ventral,5,6,4.342252350549281e-16
subj05,ventral,5,7,5.182074251030263e-16
subj05,ventral,5,8,5.867370353390641e-16
subj05,ventral,5,9,5.797970445636104e-16
subj06,ventral,0,0,8.924257854853683e-16
subj06,ventral,0,1,7.36264569900372e-16
subj06,ventral,0,2,7.428070952197059e-16
subj06,ventral,0,3,8.819198491739146e-16
subj06,ventral,0,4,9.039373040256765e-16
subj06,ventral,0,5,1.0371985921549327e-15
subj06,ventral,0,6,1.2692243127207891e-15
subj06,ventral,0,7,1.0459517283355116e-15
subj06,ventral,0,8,1.0996961224376415e-15
subj06,ventral,0,9,1.0787190075539814e-15
subj06,ventral,1,0,1.0336350321881803e-15
subj06,ventral,1,1,6.655312766457112e-16
subj06,ventral,1,2,8.064042610135091e-16
subj06,ventral,1,3,8.233484631689298e-16
subj06,ventral,1,4,9.581463103762072e-16
subj06,ventral,1,5,1.272184070699208e-15
subj06,ventral,1,6,1.3822968660290471e-15
subj06,ventral,1,7,1.122461388028983e-15
subj06,ventral,1,8,1.2655799002626335e-15
subj06,ventral,1,9,1.2624690789017435e-15
subj06,ventral,2,0,9.621883964104615e-16
subj06,ventral,2,1,8.855041547675375e-16
subj06,ventral,2,2,7.692470781357579e-16
subj06,ventral,2,3,7.954838569560709e-16
subj06,ventral,2,4,9.586112464651005e-16
subj06,ventral,2,5,1.2083210664242443e-15
subj06,ventral,2,6,1.0971897138463882e-15
subj06,ventral,2,7,1.004273335365929e-15
subj06,ventral,2,8,1.192288082038522e-15
subj06,ventral,2,9,1.2257323100522022e-15
subj06,ventral,3,0,9.332287693236587e-16
subj06,ventral,3,1,9.152470190929906e-16
subj06,ventral,3,2,6.892825316613979e-16
subj06,ventral,3,3,8.847579475508938e-16
subj06,ventral,3,4,9.462229994283763e-16
subj06,ventral,3,5,1.1687785236944505e-15
subj06,ventral,3,6,1.1173526662368144e-15
subj06,ventral,3,7,1.268348987411768e-15
subj06,ventral,3,8,1.181260602229096e-15
subj06,ventral,3,9,1.0995015246502066e-15
subj06,ventral,4,0,9.399623212693006e-16
subj06,ventral,4,1,8.301688388084231e-16
subj06,ventral,4,2,6.979713852489262e-16
subj06,ventral,4,3,8.936515146791235e-16
subj06,ventral,4,4,9.378645161149158e-16
subj06,ventral,4,5,1.3180825510442002e-15
subj06,ventral,4,6,1.378810882616683e-15
subj06,ventral,4,7,1.3225696674167552e-15
subj06,ventral,4,8,1.1644880191340178e-15
subj06,ventral,4,9,1.1366030166675776e-15
subj06,ventral,5,0,9.11486605318543e-16
subj06,ventral,5,1,8.870426694398623e-16
subj06,ventral,5,2,6.299023426676065e-16
subj06,ventral,5,3,8.685736278546623e-16
subj06,ventral,5,4,8.796868079127802e-16
subj06,ventral,5,5,1.2541602414331938e-15
subj06,ventral,5,6,1.1833120198583949e-15
subj06,ventral,5,7,1.2637622901415649e-15
subj06,ventral,5,8,1.0543570792831707e-15
subj06,ventral,5,9,1.166461229747414e-15
subj07,ventral,0,0,9.83974792109086e-16
subj07,ventral,0,1,8.726170780653568e-16
subj07,ventral,0,2,1.1090188410052666e-15
subj07,ventral,0,3,1.3342741891336255e-15
subj07,ventral,0,4,1.0469493764571076e-15
subj07,ventral,0,5,1.0538507265903042e-15
subj07,ventral,0,6,9.948230316695986e-16
subj07,ventral,0,7,9.232678778867352e-16
subj07,ventral,0,8,8.206559349504919e-16
subj07,ventral,0,9,1.0636657279783066e-15
subj07,ventral,1,0,1.0257457620815445e-15
subj07,ventral,1,1,1.0260273087901516e-15
subj07,ventral,1,2,1.2098200433623518e-15
subj07,ventral,1,3,1.3013727041571033e-15
subj07,ventral,1,4,1.0950589538511287e-15
subj07,ventral,1,5,1.0020984560588747e-15
subj07,ventral,1,6,1.0294246609624922e-15
subj07,ventral,1,7,9.491424707728522e-16
subj07,ventral,1,8,8.931728877960742e-16
subj07,ventral,1,9,1.0052696528110012e-15
subj07,ventral,2,0,1.1053519589197358e-15
subj07,ventral,2,1,9.89471829649599e-16
subj07,ventral,2,2,1.2002764286152465e-15
subj07,ventral,2,3,1.1916590232369802e-15
subj07,ventral,2,4,1.0648150911659188e-15
subj07,ventral,2,5,9.423211183230893e-16
subj07,ventral,2,6,1.0678929140875277e-15
subj07,ventral,2,7,8.520511821808468e-16
subj07,ventral,2,8,6.98508021896493e-16
subj07,ventral,2,9,9.20093963047002e-16
subj07,ventral,3,0,1.004680134164994e-15
subj07,ventral,3,1,9.83787108663873e-16
subj07,ventral,3,2,8.358454623068629e-16
subj07,ventral,3,3,1.2480775822698465e-15
subj07,ventral,3,4,1.1020367034384406e-15
subj07,ventral,3,5,8.450591288503666e-16
subj07,ventral,3,6,9.330298658351729e-16
subj07,ventral,3,7,8.976346172901493e-16
subj07,ventral,3,8,7.63482309343338e-16
subj07,ventral,3,9,1.1234361675045772e-15
subj07,ventral,4,0,1.0525639192929343e-15
subj07,ventral,4,1,9.819492737376157e-16
subj07,ventral,4,2,8.860437321025754e-16
subj07,ventral,4,3,1.0790933250996108e-15
subj07,ventral,4,4,1.0306956925145144e-15
subj07,ventral,4,5,7.997330902254497e-16
subj07,ventral,4,6,1.1391590383209746e-15
subj07,ventral,4,7,1.0185991245418517e-15
subj07,ventral,4,8,8.624381303067506e-16
subj07,ventral,4,9,9.283098026384018e-16
subj07,ventral,5,0,1.0020991749110964e-15
subj07,ventral,5,1,9.488598781483573e-16
subj07,ventral,5,2,8.657414740501683e-16
subj07,ventral,5,3,1.0590486729082138e-15
subj07,ventral,5,4,1.386722815122839e-15
subj07,ventral,5,5,8.611498766493967e-16
subj07,ventral,5,6,8.916651500595748e-16
subj07,ventral,5,7,8.951011819007464e-16
subj07,ventral,5,8,8.147037199657986e-16
subj07,ventral,5,9,8.378099792520091e-16
subj08,ventral,0,0,5.766824716822845e-16
subj08,ventral,0,1,4.1080479189217416e-16
subj08,ventral,0,2,9.119626023126353e-16
subj08,ventral,0,3,8.043045214401809e-16
subj08,ventral,0,4,5.899578716615848e-16
subj08,ventral,0,5,8.68954545323957e-16
subj08,ventral,0,6,1.0526404517444318e-15
subj08,ventral,0,7,7.186346885879771e-16
subj08,ventral,0,8,8.14631589877502e-16
subj08,ventral,0,9,5.574694410896683e-16
subj08,ventral,1,0,6.974732418521109e-16
subj08,ventral,1,1,3.7829164671098253e-16
subj08,ventral,1,2,9.637140906569027e-16
subj08,ventral,1,3,7.657369830690018e-16
