subject,roi,M,d,R_BASE,R_COND,R_AUG
subj05,ventral,8,8,0.12200909505216634,0.7381988914594024,0.7350071766701013
subj05,ventral,10,1,0.12418412469827017,0.6393057689291136,0.6393057689291136
subj05,ventral,10,2,0.12418412469827017,0.7068316218829377,0.7068316218829377
subj05,ventral,10,4,0.12418412469827017,0.7172640642040561,0.7172640642040561
subj05,ventral,10,6,0.12418412469827017,0.7290324823762538,0.7290324823762538
subj05,ventral,10,8,0.12418412469827017,0.7403739211055061,0.7403739211055061
subj05,ventral,10,10,0.12418412469827017,0.7570262354523388,0.7570262354523388
subj06,ventral,2,1,0.13989694752363235,0.4633443839389301,0.39373504510275287
subj06,ventral,2,2,0.13989694752363235,0.5602744732228218,0.4541971412310161
subj06,ventral,4,1,0.1698140891992401,0.49326152561453784,0.4628978879892745
subj06,ventral,4,2,0.1698140891992401,0.5901916148984295,0.5410207651723099
subj06,ventral,4,4,0.1698140891992401,0.6117134677026971,0.5574806533929885
subj06,ventral,6,1,0.187252195058655,0.5106996314739528,0.4965272024932686
subj06,ventral,6,2,0.187252195058655,0.6076297207578444,0.5830239039399961
subj06,ventral,6,4,0.187252195058655,0.6291515735621119,0.6025310612918761
subj06,ventral,6,6,0.187252195058655,0.6401271202679326,0.6109812432896408
subj06,ventral,8,1,0.19053903710019313,0.513986473515491,0.5085377002200242
subj06,ventral,8,2,0.19053903710019313,0.6109165627993826,0.6012029088725074
subj06,ventral,8,4,0.19053903710019313,0.6324384156036501,0.6220122261909342
subj06,ventral,8,6,0.19053903710019313,0.6434139623094707,0.6309045134972023
subj06,ventral,8,8,0.19053903710019313,0.6484993335823872,0.6369910206039913
subj06,ventral,10,1,0.1916771529851021,0.5151245894003998,0.5151245894003998
subj06,ventral,10,2,0.1916771529851021,0.6120546786842914,0.6120546786842914
subj06,ventral,10,4,0.1916771529851021,0.6335765314885591,0.6335765314885591
subj06,ventral,10,6,0.1916771529851021,0.6445520781943797,0.6445520781943797
subj06,ventral,10,8,0.1916771529851021,0.6496374494672962,0.6496374494672962
subj06,ventral,10,10,0.1916771529851021,0.6548341751803058,0.6548341751803058
subj07,ventral,2,1,0.199679040086463,0.6467698174172574,0.5951395548075279
subj07,ventral,2,2,0.199679040086463,0.7060751812545364,0.6317258555865055
subj07,ventral,4,1,0.22185399506574952,0.6689447723965438,0.6482683943709905
subj07,ventral,4,2,0.22185399506574952,0.7282501362338231,0.6939645849335596
subj07,ventral,4,4,0.22185399506574952,0.7381596694648401,0.7067081223234576
subj07,ventral,6,1,0.23155591811175816,0.6786466954425525,0.6692556467784164
subj07,ventral,6,2,0.23155591811175816,0.7379520592798317,0.7211830323614471
subj07,ventral,6,4,0.23155591811175816,0.7478615925108487,0.7341788772390827
subj07,ventral,6,6,0.23155591811175816,0.7609928842604413,0.7418478738729958
subj07,ventral,8,1,0.23621157434765427,0.6833023516784488,0.6797437442942401
subj07,ventral,8,2,0.23621157434765427,0.7426077155157277,0.7360630008745984
subj07,ventral,8,4,0.23621157434765427,0.752517248746745,0.7478877999387809
subj07,ventral,8,6,0.23621157434765427,0.7656485404963375,0.7568489163793363
subj07,ventral,8,8,0.23621157434765427,0.770497964178682,0.7635774370067078
subj07,ventral,10,1,0.2412549715090513,0.6883457488398457,0.6883457488398457
subj07,ventral,10,2,0.2412549715090513,0.7476511126771247,0.7476511126771247
subj07,ventral,10,4,0.2412549715090513,0.7575606459081419,0.7575606459081419
subj07,ventral,10,6,0.2412549715090513,0.7706919376577345,0.7706919376577345
subj07,ventral,10,8,0.2412549715090513,0.7755413613400792,0.7755413613400792
subj07,ventral,10,10,0.2412549715090513,0.781539779783341,0.781539779783341
subj08,ventral,2,1,0.09602324509618392,0.28790461495248554,0.23239945422162966
subj08,ventral,2,2,0.09602324509618392,0.38545259737170806,0.3502191826296906
subj08,ventral,4,1,0.12354994818564068,0.3154313180419423,0.2824644015738426
subj08,ventral,4,2,0.12354994818564068,0.4129793004611649,0.40784337876600024
subj08,ventral,4,4,0.12354994818564068,0.6137168191258547,0.5166777258692464
subj08,ventral,6,1,0.13804556264245457,0.3299269324987562,0.3131217847851422
subj08,ventral,6,2,0.13804556264245457,0.4274749149179788,0.43230922560821733
subj08,ventral,6,4,0.13804556264245457,0.6282124335826685,0.5835739257904821
subj08,ventral,6,6,0.13804556264245457,0.6884874533076665,0.6159241789678512
subj08,ventral,8,1,0.13905835107736855,0.3309397209336702,0.32414779323463444
