subject,roi,M,d,OUT_BASIS_RECOVERY,R_AUG_minus_BASE,R_COND_minus_BASE
subj07,ventral,6,4,0.9734988090384813,0.5026229591273246,0.5163056743990906
subj07,ventral,6,6,0.9638389239672603,0.5102919557612376,0.5294369661486832
subj07,ventral,8,1,0.9920405260751427,0.44353216994658584,0.4470907773307945
subj07,ventral,8,2,0.9870758994607799,0.49985142652694414,0.5063961411680734
subj07,ventral,8,4,0.9910335116627332,0.5116762255911266,0.5163056743990907
subj07,ventral,8,6,0.9833792789706151,0.520637342031682,0.5294369661486832
subj07,ventral,8,8,0.9870471580341718,0.5273658626590535,0.5342863898310277
subj07,ventral,10,1,1.0,0.4470907773307944,0.4470907773307944
subj07,ventral,10,2,1.0,0.5063961411680734,0.5063961411680734
subj07,ventral,10,4,1.0,0.5163056743990906,0.5163056743990906
subj07,ventral,10,6,1.0,0.5294369661486832,0.5294369661486832
subj07,ventral,10,8,1.0,0.5342863898310279,0.5342863898310279
subj07,ventral,10,10,1.0,0.5402848082742897,0.5402848082742897
subj08,ventral,2,1,0.7107318924582244,0.13637620912544574,0.1918813698563016
subj08,ventral,2,2,0.8782659240847253,0.25419593753350667,0.28942935227552413
subj08,ventral,4,1,0.828191155333171,0.15891445338820193,0.1918813698563016
subj08,ventral,4,2,0.9822550074662937,0.28429343058035955,0.2894293522755242
subj08,ventral,4,4,0.8020284539620708,0.39312777768360574,0.49016687094021405
subj08,ventral,6,1,0.9124190757747912,0.17507622214268762,0.19188136985630164
subj08,ventral,6,2,1.0,0.2942636629657628,0.28942935227552424
subj08,ventral,6,4,0.9089320179746887,0.44552836314802746,0.49016687094021394
subj08,ventral,6,6,0.8681726889424747,0.47787861632539663,0.5504418906652119
subj08,ventral,8,1,0.9646035063011997,0.1850894421572659,0.19188136985630164
subj08,ventral,8,2,1.0,0.29510863318422365,0.28942935227552413
subj08,ventral,8,4,0.9658024050036145,0.47340434280715504,0.49016687094021405
subj08,ventral,8,6,0.9408354818542706,0.5178752614367803,0.5504418906652119
subj08,ventral,8,8,0.9507801524391157,0.5341837796008438,0.561837327199624
subj08,ventral,10,1,1.0,0.1918813698563016,0.1918813698563016
subj08,ventral,10,2,1.0,0.2894293522755242,0.2894293522755242
subj08,ventral,10,4,1.0,0.49016687094021394,0.49016687094021394
subj08,ventral,10,6,1.0,0.5504418906652119,0.5504418906652119
subj08,ventral,10,8,1.0,0.561837327199624,0.561837327199624
subj08,ventral,10,10,1.0,0.5736287649823847,0.5736287649823847
subj01,lateral,2,1,0.8526550823072349,0.3996712212189032,0.46873727666926723
subj01,lateral,2,2,0.814814131744776,0.4804244650510302,0.5896123377515419
subj01,lateral,4,1,0.9395428662019846,0.4403987644175561,0.46873727666926734
subj01,lateral,4,2,0.9168593313378487,0.5405915737394246,0.589612337751542
subj01,lateral,4,4,0.9194102267520683,0.5536363269588865,0.6021646386452282
subj01,lateral,6,1,0.9723129949371602,0.4557593453169835,0.46873727666926723
subj01,lateral,6,2,0.9608397200600542,0.5665229535491457,0.589612337751542
subj01,lateral,6,4,0.9596952586126513,0.577894548612026,0.6021646386452283
subj01,lateral,6,6,0.9627157687655193,0.5872120982811907,0.6099537551297896
subj01,lateral,8,1,0.9894574735016697,0.4637956015092263,0.46873727666926723
subj01,lateral,8,2,0.9849120743075404,0.5807163106121893,0.589612337751542
subj01,lateral,8,4,0.9835590911229625,0.5922645046922878,0.6021646386452282
subj01,lateral,8,6,0.9839852263467745,0.6001854838024511,0.6099537551297896
subj01,lateral,8,8,0.9902244301148015,0.6080616581666523,0.6140644884878842
subj01,lateral,10,1,1.0,0.4687372766692673,0.4687372766692673
subj01,lateral,10,2,1.0,0.5896123377515419,0.5896123377515419
subj01,lateral,10,4,1.0,0.6021646386452282,0.6021646386452282
subj01,lateral,10,6,1.0,0.6099537551297896,0.6099537551297896
subj01,lateral,10,8,1.0,0.6140644884878841,0.6140644884878841
subj01,lateral,10,10,1.0,0.6233223848662133,0.6233223848662133
subj02,lateral,2,1,0.7799391304552393,0.3067770204459216,0.39333456736150707
subj02,lateral,2,2,0.7685559968223672,0.3964609573443789,0.5158517518353463
subj02,lateral,4,1,0.9054832837852349,0.35615787568074203,0.393334567361507
subj02,lateral,4,2,0.8940588838526184,0.4612018414793276,0.5158517518353463
subj02,lateral,4,4,0.8789061942121019,0.49347677468684154,0.561466943726822
subj02,lateral,6,1,0.9558743603154931,0.3759784279666517,0.39333456736150696
subj02,lateral,6,2,0.949150827269431,0.4896211170029041,0.5158517518353463
