subject,roi,M,d,R_BASE,R_AUG,DELTA_OUT,R_NULL_mean,E_AUG,R_COND,OUT_BASIS_RECOVERY,TOTAL_RECOVERY,TRAIN_retention
subj02,lateral,4,4,0.14120208708070042,0.634678861767542,0.49347677468684154,0.16757367264855513,0.4671051891189868,0.7026690308075225,0.8789061942121019,0.8457195050313931,1.0000000000000002
subj02,lateral,6,1,0.14717111604813674,0.5231495440147884,0.3759784279666517,0.15379727411517388,0.36935226989961456,0.5405056834096437,0.9558743603154931,0.663988212902498,0.6169351618078768
subj02,lateral,6,2,0.14717111604813674,0.6367922330510408,0.4896211170029041,0.1603384837847814,0.4764537492662594,0.663022867883483,0.949150827269431,0.8491631349381928,0.8050661818888895
subj02,lateral,6,4,0.14717111604813674,0.6784389995218799,0.5312678834737432,0.1735642814338154,0.5048747180880645,0.708638059774959,0.9462140013931574,0.9170244008029621,0.937326841859777
subj02,lateral,6,6,0.14717111604813674,0.6961043812409287,0.548933265192792,0.18668835991879504,0.5094160213221336,0.7405333404147291,0.9251233776784024,0.9458092325444226,1.0000000000000002
subj02,lateral,8,1,0.14926292793776624,0.5359275187019845,0.3866645907642183,0.155918533397915,0.3800089853040695,0.5425974952992733,0.9830424855815978,0.6848092660343964,0.604914553957989
subj02,lateral,8,2,0.14926292793776624,0.6547038407455945,0.5054409128078283,0.16240926566184352,0.49229457508375096,0.6651146797731127,0.9798181570761804,0.8783491792539417,0.7809199356954526
subj02,lateral,8,4,0.14926292793776624,0.6970834490409202,0.5478205211031539,0.17557594300512036,0.5215075060357999,0.7107298716645883,0.9756950560026065,0.9474045732132206,0.902121771274491
subj02,lateral,8,6,0.14926292793776624,0.7220127970037017,0.5727498690659354,0.18866281702717466,0.533349979976527,0.7426251523043584,0.9652617668361678,0.9880256646759205,0.9628428380791144
subj02,lateral,8,8,0.14926292793776624,0.7402698262570472,0.5910068983192809,0.2020304157120876,0.5382394105449596,0.7530363352827374,0.9788554632079116,1.0,0.9987538439101665
subj02,lateral,10,1,0.14843116712269896,0.5417657344842061,0.39333456736150707,0.15480223045878572,0.38696350402542035,0.5417657344842061,1.0,0.6943223386435422,0.5979169939777231
subj02,lateral,10,2,0.14843116712269896,0.6642829189580454,0.5158517518353464,0.16156386443092127,0.5027190545271241,0.6642829189580454,1.0,0.8939577949617112,0.7667435366377634
subj02,lateral,10,4,0.14843116712269896,0.7098981108495211,0.5614669437268222,0.17597334715188265,0.5339247636976385,0.7098981108495211,1.0,0.9682854061242095,0.8812312336841165
subj02,lateral,10,6,0.14843116712269896,0.7417933914892912,0.5933622243665923,0.18773523537102085,0.5540581561182704,0.7417933914892912,1.0,1.0,0.9375302162190767
subj02,lateral,10,8,0.14843116712269896,0.7522045744676701,0.6037734073449711,0.20142689940317257,0.5507776750644975,0.7522045744676701,1.0,1.0,0.9759953923982376
subj02,lateral,10,10,0.14843116712269896,0.7753310957767005,0.6268999286540015,0.21501917477345467,0.5603119210032458,0.7753310957767005,1.0,1.0,0.9982443574165143
subj03,lateral,2,1,0.19241117387728202,0.4865848869982128,0.29417371312093077,0.19732491702533525,0.2892599699728775,0.5558215811716878,0.8094807061554926,0.6038873771582681,0.6962487049273683
subj03,lateral,2,2,0.19241117387728202,0.575632738438128,0.383221564560846,0.20201459032387778,0.3736181481142502,0.6887742703761629,0.772058936822492,0.7651135285919309,1.0
subj03,lateral,4,1,0.19708636454150766,0.5322432371125092,0.3351568725710016,0.20192570753854702,0.3303175295739622,0.5604967718359134,0.9222544699978406,0.6865543921474594,0.6412770458550473
subj03,lateral,4,2,0.19708636454150766,0.6419372471612969,0.4448508826197892,0.20675509851900362,0.4351821486422932,0.6934494610403887,0.8962207016548258,0.8851615768185555,0.8653927269884084
subj03,lateral,4,4,0.19708636454150766,0.6570057437348538,0.45991937919334613,0.21644296483125136,0.4405627789036024,0.712993711416214,0.8914767001855518,0.9124439387302875,1.0
subj03,lateral,6,1,0.20125348278898858,0.5516405398280716,0.350387057039083,0.20609668760473357,0.34554385222333805,0.5646638900833945,0.9641635187272654,0.721674301437287,0.6231430399517142
subj03,lateral,6,2,0.20125348278898858,0.672701104629622,0.4714476218406334,0.21099931740195996,0.461701787227662,0.6976165792878697,0.9498039341885202,0.9408612738092066,0.8238883246547756
subj03,lateral,6,4,0.20125348278898858,0.6891930592080886,0.4879395764191,0.22061952032843624,0.46857353887965236,0.7171608296636949,0.945789160350146,0.9707208866275918,0.927404344023928
subj03,lateral,6,6,0.20125348278898858,0.7016069854813397,0.5003535026923511,0.23036386319468502,0.47124312228665466,0.726951287202103,0.9517892189999585,0.9931969994686521,1.0
subj03,lateral,8,1,0.20167602834593742,0.5601008978492815,0.35842486950334407,0.20651691183571574,0.3535839860135658,0.5650864356403431,0.9862812465163588,0.7369922562385992,0.6132626144414925
subj03,lateral,8,2,0.20167602834593742,0.6882599646720332,0.48658393632609576,0.21131260257324944,0.47694736209878374,0.6980391248448184,0.9802983738280243,0.9690314664053251,0.8025503464141699
subj03,lateral,8,4,0.20167602834593742,0.7055790128625355,0.5039029845165981,0.2210247722181438,0.4845542406443918,0.7175833752206436,0.9767315537744736,1.0,0.8897287231358749
subj03,lateral,8,6,0.20167602834593742,0.7184587605724282,0.5167827322264907,0.23079104357456307,0.48766771699786515,0.7273738327590517,0.9830414505980747,1.0,0.953704470003176
subj03,lateral,8,8,0.20167602834593742,0.7294776156988187,0.5278015873528813,0.24027524711914894,0.4892023685796698,0.7436856366144017,0.9737864039698988,1.0,0.9991759681625451
subj03,lateral,10,1,0.20246757684509853,0.5658779841395043,0.36341040729440577,0.20732207532986957,0.3585559088096347,0.5658779841395043,1.0,0.7474519964121313,0.6074198764932666
subj03,lateral,10,2,0.20246757684509853,0.6988306733439796,0.4963630964988811,0.21178546762329778,0.4870452057206819,0.6988306733439796,1.0,0.9881703299438163,0.7898765568980323
subj03,lateral,10,4,0.20246757684509853,0.7183749237198048,0.5159073468747063,0.22098998598930544,0.4973849377304994,0.7183749237198048,1.0,1.0,0.8668116204503796
subj03,lateral,10,6,0.20246757684509853,0.7281653812582128,0.5256978044131143,0.2322646034786223,0.4959007777795905,0.7281653812582128,1.0,1.0,0.9266775681420295
subj03,lateral,10,8,0.20246757684509853,0.7444771851135626,0.5420096082684641,0.24117956051235215,0.5032976246012105,0.7444771851135626,1.0,1.0,0.965836760517293
subj03,lateral,10,10,0.20246757684509853,0.7515065685457002,0.5490389917006017,0.251100044520221,0.5004065240254791,0.7515065685457002,1.0,1.0,0.9987698734587752
subj04,lateral,2,1,0.1402302333730556,0.43421774932354734,0.2939875159504918,0.14652701007772545,0.2876907392458219,0.5305338861407254,0.7532276827690602,0.5888555264556053,0.728905285422342
subj04,lateral,2,2,0.1402302333730556,0.504101362627403,0.3638711292543474,0.15277757625002872,0.35132378637737427,0.6153574343367717,0.7658393973577932,0.7264400034214694,1.0
subj04,lateral,4,1,0.1438981971959765,0.4914560021794247,0.34755780498344824,0.1501809043241327,0.341275097855292,0.5342018499636464,0.8904805336022148,0.7015442485938648,0.6582911517410283
subj04,lateral,4,2,0.1438981971959765,0.5588342939754652,0.41493609677948873,0.15638042165224772,0.4024538723232175,0.6190253981596928,0.8733158108772978,0.8341963339304447,0.8447478272258887
subj04,lateral,4,4,0.1438981971959765,0.5939738517018778,0.45007565450590126,0.16885990358804348,0.4251139481138343,0.6389880160749056,0.9090787920564455,0.9033778979915221,1.0
subj04,lateral,6,1,0.14677364706002607,0.5175847885167966,0.3708111414567705,0.15302438875916102,0.36456039975763554,0.5370772998276959,0.9500580863830594,0.7529857129375779,0.6358314540075377
subj04,lateral,6,2,0.14677364706002607,0.5886456641361182,0.44187201707609214,0.1592525378090199,0.42939312632709825,0.6219008480237423,0.9300078298607792,0.8928879438412749,0.7919116189105901
subj04,lateral,6,4,0.14677364706002607,0.6243644453029713,0.47759079824294526,0.17167889093146713,0.45268555437150415,0.6418634659389552,0.964654856616506,0.9632098632779807,0.9268682306414852
subj04,lateral,6,6,0.14677364706002607,0.6397618616010305,0.4929882145410045,0.1843449300135226,0.45541693158750796,0.6710052434427073,0.9404015666791867,0.9935237719017821,1.0
subj04,lateral,8,1,0.1467351194301167,0.5296512604607928,0.3829161410306761,0.15297513237787616,0.3766761280829166,0.5370387721977865,0.9810723991830249,0.7767417718010424,0.6224931771564787
subj04,lateral,8,2,0.1467351194301167,0.6083266953104279,0.46159157588031124,0.15925308580362965,0.4490736095067983,0.6218623203938329,0.9715115761506598,0.9316352874923919,0.7658975936942708
subj04,lateral,8,4,0.1467351194301167,0.6366694017565339,0.48993428232641717,0.17187165597466136,0.4647977457818725,0.6418249383090457,0.9895866641649267,0.9874354423188076,0.8851200916717207
subj04,lateral,8,6,0.1467351194301167,0.6590680240717328,0.5123329046416161,0.1840894773079245,0.47497854676380835,0.6709667158127979,0.9773026047587197,1.0,0.9524809885804117
subj04,lateral,8,8,0.1467351194301167,0.6693503283532204,0.5226152089231038,0.19685391759692675,0.47249641075629367,0.6835418021933809,0.973563157285769,1.0,0.9979424720483503
subj04,lateral,10,1,0.14865034118138232,0.5389539939490521,0.39030365276766976,0.15462380599774675,0.38433018795130536,0.5389539939490521,1.0,0.7950566765523165,0.6147559583858667
subj04,lateral,10,2,0.14865034118138232,0.6237775421450985,0.4751272009637162,0.16130951251019696,0.4624680296349015,0.6237775421450985,1.0,0.9620543883363167,0.751653864037968
subj04,lateral,10,4,0.14865034118138232,0.6437401600603113,0.495089818878929,0.17331719495838938,0.47042296510192194,0.6437401600603113,1.0,1.0,0.8583433154492983
subj04,lateral,10,6,0.14865034118138232,0.6728819375640634,0.5242315963826811,0.18603931631811224,0.48684262124595123,0.6728819375640634,1.0,1.0,0.9228457595511691
subj04,lateral,10,8,0.14865034118138232,0.6854570239446466,0.5368066827632643,0.19794298839927468,0.48751403554537187,0.6854570239446466,1.0,1.0,0.9661672739890937
subj04,lateral,10,10,0.14865034118138232,0.6947931934040175,0.5461428522226351,0.2108954373990948,0.4838977560049227,0.6947931934040175,1.0,1.0,0.9969881489545361
subj05,lateral,2,1,0.13116443244281117,0.4218975310938177,0.29073309865100655,0.13755731576339394,0.28434021533042375,0.5076706637320815,0.7721866850794187,0.6084265917289785,0.7254403359037588
subj05,lateral,2,2,0.13116443244281117,0.4716941205782364,0.3405296881354252,0.14395188913507848,0.32774223144315795,0.5915796849251717,0.7396142640788635,0.7079311719520828,0.9999999999999999
subj05,lateral,4,1,0.13418273168323097,0.47301492860976174,0.33883219692653077,0.14059593969809456,0.3324189889116672,0.5106889629725012,0.8999378197972122,0.7105704380161444,0.6440227300388612
subj05,lateral,4,2,0.13418273168323097,0.5371620408915345,0.40297930920830355,0.14701228568673344,0.3901497552048011,0.5945979841655914,0.8752518667346769,0.8387505311954042,0.8312154666264844
subj05,lateral,4,4,0.13418273168323097,0.5642249711898951,0.43004223950666415,0.1597844193669472,0.4044405518229479,0.6262679783390114,0.8739181725711925,0.8928282410712604,0.9999999999999999
subj05,lateral,6,1,0.13498611739979482,0.4937401224360159,0.35875400503622107,0.14139984415976348,0.3523402782762524,0.5114923486890651,0.9528501130186869,0.7519839511317197,0.6168067597404853
subj05,lateral,6,2,0.13498611739979482,0.5672025746933622,0.4322164572935674,0.14780633776440924,0.419396236928953,0.5954013698821553,0.9387535598858696,0.8987781502869516,0.775736554648908
subj05,lateral,6,4,0.13498611739979482,0.5928194391502312,0.45783332175043634,0.16054100930680984,0.43227842984342135,0.6270713640555753,0.9303943267185497,0.9499663013391534,0.9184252122054746
subj05,lateral,6,6,0.13498611739979482,0.6164916708713634,0.48150555347156854,0.1734169178271124,0.4430747530442509,0.6428368837123127,0.9481241053700857,0.9972686468359739,1.0
subj05,lateral,8,1,0.1353670446890645,0.5050107892481517,0.3696437445590872,0.14181580629598847,0.36319498295216324,0.5118732759783348,0.9817732452748953,0.7745052318376394,0.6007926211234397
subj05,lateral,8,2,0.1353670446890645,0.5846313514702732,0.44926430678120877,0.14829239797779886,0.43633895349247437,0.595782297171425,0.975780677027899,0.9336046943323297,0.7454183915080282
subj05,lateral,8,4,0.1353670446890645,0.6125021855177466,0.47713514082868214,0.1610020348889242,0.4515001506288224,0.627452291344845,0.9696188700459939,0.989296774273455,0.8712125921641273
subj05,lateral,8,6,0.1353670446890645,0.6316806050343668,0.4963135603453024,0.17404572240090407,0.45763488263346275,0.6432178110015824,0.9772822909159187,1.0,0.9489216809648763
