subject,roi,fold,SIM_IN,SIM_IN_NULL,GR_IN,SIM_OUT,SIM_OUT_NULL,GR_OUT
subj06,ventral,5,0.4285799610596354,0.4303348813363156,-0.0030806173999153204,0.21308754078831368,0.21679357920056355,-0.004731879506895552
subj07,ventral,0,0.39869060350194324,0.39330194151601944,0.008881950272577125,0.08915647644183708,0.08193206033367645,0.00786915193965534
subj07,ventral,1,0.42326729674590674,0.40892923521014857,0.024257774855191677,0.28429457873532515,0.29109873303725714,-0.009598169193693353
subj07,ventral,2,0.371166249836385,0.37925886410656395,-0.013037019463082932,0.21691143754106273,0.22629711717212694,-0.012130857774188049
subj07,ventral,3,0.38293885766627006,0.38676676751746514,-0.0062421761385935606,0.15287258115769242,0.16244259524124488,-0.011426099308750003
subj07,ventral,4,0.4077996898411837,0.39280972392050195,0.024687427502081975,0.22659908402520418,0.23627062188160264,-0.012663566615999846
subj07,ventral,5,0.3799790151082158,0.3899507877748906,-0.01634584959187721,0.25001970108755134,0.25457600257068264,-0.006112362224511474
subj08,ventral,0,0.40759240912555067,0.4029883046695317,0.007711916687780126,0.3676789066562813,0.3782852782886198,-0.017059868878675732
subj08,ventral,1,0.4218675855121347,0.4164867467326245,0.009221450840028553,0.4338281885891847,0.43884921024909285,-0.0089477227005899
subj08,ventral,2,0.4703241031808358,0.4573629603139736,0.02388547393366583,0.4327421241457634,0.3944209526943897,0.06328021357719568
subj08,ventral,3,0.4568934358654592,0.4582263825969489,-0.002460338947250843,0.44065648366877985,0.4115101113894528,0.04952739689061272
subj08,ventral,4,0.4720734348089431,0.4507449180923409,0.038831714842809485,0.46940487006706544,0.4381777752625162,0.05558180760673956
subj08,ventral,5,0.4161065608079286,0.4261804261413104,-0.017555806375929937,0.4143560786945999,0.4105281770737932,0.0064937821825045965
subj01,lateral,0,0.5387515624940531,0.5225259839044089,0.033982118487461,0.34528846558553994,0.33852442731498317,0.010225681113363938
subj01,lateral,1,0.5364612724800905,0.524803573657472,0.024532378983455234,0.3862533818122524,0.369822220162634,0.026073851181898037
subj01,lateral,2,0.5724517032018956,0.5351660782293098,0.08021278832352384,0.3778881292569382,0.3641688767220061,0.021576881081572775
subj01,lateral,3,0.5362189440142063,0.5238076843515607,0.026063544611687067,0.37608181454242395,0.37331334901257185,0.004417623265933651
subj01,lateral,4,0.5258231834642405,0.5158473414610326,0.020604744861490786,0.3573246214192583,0.3605437007452298,-0.005034088067821113
subj01,lateral,5,0.5584812032232304,0.5460358453418371,0.027414847083608702,0.35107510824280264,0.36399499438673694,-0.02031412650829123
