subject,roi,fold,R0,R_IN_OR,R_IN_PRED,R_IN_NULL,E_IN,R_OUT_OR,R_OUT_PRED,R_OUT_NULL,E_OUT
subj04,lateral,3,0.12740556899115113,0.13722336630149495,0.08119931322732722,0.07709821454557035,0.004101098681756871,0.666083106464421,0.1352555832808146,0.13111372427322648,0.004141859007588122
subj04,lateral,4,0.09464851590747848,0.12455634819143874,0.09111897529494978,0.08688681050678654,0.00423216478816324,0.3878389401990313,0.09968471165029442,0.09855364450018594,0.0011310671501084807
subj04,lateral,5,0.1662411198401435,0.16138012901141613,0.09843138287821172,0.09721241021420829,0.0012189726640034343,0.6712853157620011,0.1730318843129723,0.17116092378906736,0.001870960523904952
subj05,lateral,0,0.143024774082227,0.14512207544658395,0.1078587278349938,0.10647541000772169,0.001383317827272107,0.6168386025059156,0.16089404894658232,0.15917341800110194,0.0017206309454803892
subj05,lateral,1,0.16611502429999558,0.16524668000809534,0.14506597957767195,0.14738693727456326,-0.002320957696891307,0.6482757173651328,0.16802915911877012,0.168420307738402,-0.0003911486196318814
subj05,lateral,2,0.1259496144322311,0.1295492304937011,0.12644216982143242,0.12146195200135163,0.00498021782008079,0.5488923108298351,0.12932652619011903,0.12868175303954102,0.0006447731505780097
subj05,lateral,3,0.03966948102758183,0.05963117694661847,0.06027874092941771,0.06259118778105334,-0.002312446851635633,0.4868165440107439,0.05186705126295801,0.05522318577476188,-0.003356134511803874
subj05,lateral,4,0.14529392334949548,0.13880539779619996,0.1339328897292027,0.12360899438274481,0.01032389534645789,0.6587584861629632,0.15045823244228174,0.15038168736841748,7.654507386425924e-05
subj05,lateral,5,0.08442736750310592,0.16851257783397008,0.1206777838291658,0.11409079015445484,0.006586993674710967,0.5073900387142092,0.08719583782312257,0.09008536981553279,-0.002889531992410224
subj06,lateral,0,0.14124846395462437,0.15056202899785548,0.09753745740552792,0.10778744604162105,-0.010249988636093124,0.7403794939951951,0.15163055844774667,0.14841472870193045,0.0032158297458162177
subj06,lateral,1,0.04911832722374772,0.047628002683597175,0.03894934990333902,0.03734500006266886,0.0016043498406701634,0.6472138930151711,0.059336390490980585,0.06365485169937317,-0.004318461208392584
subj06,lateral,2,0.1006094773618907,0.11325935814109475,0.029740988666088725,0.029278501006107675,0.00046248765998105,0.5696736077651523,0.12047055708899705,0.10923178068206257,0.011238776406934478
subj06,lateral,3,0.09537243174859986,0.10731228033047852,0.06640808783447351,0.06448276659860674,0.0019253212358667643,0.5203021629705821,0.10899112120188166,0.10233165856314022,0.00665946263874144
subj06,lateral,4,0.09549431390063584,0.11035552421549064,0.07153095197186951,0.07224046755872063,-0.0007095155868511172,0.7389620274656219,0.10749569424986681,0.1003577543397883,0.0071379399100785085
subj06,lateral,5,0.06214385333104115,0.06844630561253646,0.06978786201473955,0.0695848085774511,0.00020305343728845016,0.6490765190607195,0.07643445575670482,0.06777348374983892,0.0086609720068659
subj07,lateral,0,0.1562635909536735,0.182577392799297,0.15309253860229968,0.14845178040142457,0.004640758200875117,0.7152703756993322,0.16613767616089045,0.16380734002867878,0.0023303361322116745
subj07,lateral,1,0.10553508712330145,0.11081160424813172,0.0986253641482861,0.09140376139184771,0.007221602756438392,0.7537185024933242,0.10782283688873999,0.1083009283774835,-0.00047809148874350393
subj07,lateral,2,0.16690386306562638,0.1674258788610685,0.09032457280054695,0.0727227633862392,0.01760180941430775,0.7634615154550743,0.17416694843719044,0.17613184001208348,-0.0019648915748930462
subj07,lateral,3,0.15262592259263733,0.14963335178455603,0.10755018059027446,0.11606418315068202,-0.00851400256040756,0.7871206742676057,0.15564365201059702,0.16012167065523683,-0.004478018644639814
subj07,lateral,4,0.10145872260548229,0.11773844509081578,0.11958950148010515,0.10524330122711655,0.014346200252988606,0.739831390103044,0.10888565117541919,0.10555380801983633,0.003331843155582867
subj07,lateral,5,0.15686467145355176,0.17701798106796712,0.16634808362783932,0.1608409450252054,0.00550713860263391,0.7774742406081474,0.16586566589510282,0.16422530085988285,0.0016403650352199706
subj08,lateral,0,0.11430588205661721,0.19799595257451813,0.08465952283594494,0.10811510537146883,-0.02345558253552389,0.4179340267619748,0.1219705282230504,0.11897870777490578,0.0029918204481446248
subj08,lateral,1,0.045558450302665095,0.08717647971552021,0.04276653067146917,0.04819503001124209,-0.005428499339772921,0.39048692900208254,0.04977826312377659,0.048840319017393316,0.0009379441063832733
subj08,lateral,2,0.06557485899630351,0.12921199724509208,0.029749256824636472,0.033265199989652265,-0.0035159431650157932,0.3729472109922551,0.07594426871306548,0.07764640910905898,-0.0017021403959935066
subj08,lateral,3,0.0707740832872125,0.14954528876186102,0.04696839958201511,0.05757944748745133,-0.010611047905436218,0.3651241941500853,0.07564954833454932,0.07476718934131733,0.0008823589932319825
subj08,lateral,4,0.06781860374769322,0.12436416642871165,0.03592618250984953,0.03978584883683378,-0.00385966632698425,0.4975795044173912,0.07289628396464333,0.07022647337858068,0.0026698105860626514
subj08,lateral,5,0.050423096444881105,0.11818905416740352,0.031753576894108126,0.0325687678277785,-0.0008151909336703705,0.2843309443275127,0.05561513822638957,0.05372896611025484,0.0018861721161347253
