subject,roi,fold,donor,CKA_IN,CKA_OUT,w_IN,w_OUT
subj02,ventral,2,subj03,0.6105284595170068,0.26464213253190993,0.08285098392462882,0.09116680753702286
subj02,ventral,2,subj04,0.6938848814456612,0.37377747477908924,0.24144010941180216,0.1914915086537737
subj02,ventral,2,subj05,0.6940667707700647,0.39340241452287483,0.1788075167548881,0.18386581584439382
subj02,ventral,2,subj06,0.579121020395894,0.3897069205228697,0.10676235037567476,0.22849980021890517
subj02,ventral,2,subj07,0.43257016191851644,0.2082633254096105,0.07375572935349957,0.0927222187913759
subj02,ventral,2,subj08,0.5954422167590467,0.25423440152688326,0.12452562199965994,0.10795162892638087
subj02,ventral,3,subj01,0.6611681448146876,0.23197384704827123,0.19185768817984655,0.10430222002814758
subj02,ventral,3,subj03,0.6105284595170068,0.26464213253190993,0.08285098392462882,0.09116680753702286
subj02,ventral,3,subj04,0.6938848814456612,0.37377747477908924,0.24144010941180216,0.1914915086537737
subj02,ventral,3,subj05,0.6940667707700647,0.39340241452287483,0.1788075167548881,0.18386581584439382
subj02,ventral,3,subj06,0.579121020395894,0.3897069205228697,0.10676235037567476,0.22849980021890517
subj02,ventral,3,subj07,0.43257016191851644,0.2082633254096105,0.07375572935349957,0.0927222187913759
subj02,ventral,3,subj08,0.5954422167590467,0.25423440152688326,0.12452562199965994,0.10795162892638087
subj02,ventral,4,subj01,0.6611681448146876,0.23197384704827123,0.19185768817984655,0.10430222002814758
subj02,ventral,4,subj03,0.6105284595170068,0.26464213253190993,0.08285098392462882,0.09116680753702286
subj02,ventral,4,subj04,0.6938848814456612,0.37377747477908924,0.24144010941180216,0.1914915086537737
subj02,ventral,4,subj05,0.6940667707700647,0.39340241452287483,0.1788075167548881,0.18386581584439382
subj02,ventral,4,subj06,0.579121020395894,0.3897069205228697,0.10676235037567476,0.22849980021890517
subj02,ventral,4,subj07,0.43257016191851644,0.2082633254096105,0.07375572935349957,0.0927222187913759
subj02,ventral,4,subj08,0.5954422167590467,0.25423440152688326,0.12452562199965994,0.10795162892638087
subj02,ventral,5,subj01,0.6611681448146876,0.23197384704827123,0.19185768817984655,0.10430222002814758
subj02,ventral,5,subj03,0.6105284595170068,0.26464213253190993,0.08285098392462882,0.09116680753702286
subj02,ventral,5,subj04,0.6938848814456612,0.37377747477908924,0.24144010941180216,0.1914915086537737
subj02,ventral,5,subj05,0.6940667707700647,0.39340241452287483,0.1788075167548881,0.18386581584439382
subj02,ventral,5,subj06,0.579121020395894,0.3897069205228697,0.10676235037567476,0.22849980021890517
subj02,ventral,5,subj07,0.43257016191851644,0.2082633254096105,0.07375572935349957,0.0927222187913759
subj02,ventral,5,subj08,0.5954422167590467,0.25423440152688326,0.12452562199965994,0.10795162892638087
subj03,ventral,0,subj01,0.5797748868608718,0.16335561777466995,0.11516969431020192,0.09275944356027137
subj03,ventral,0,subj02,0.6105284595170068,0.26464213253190993,0.10771573414399155,0.10653734300649151
subj03,ventral,0,subj04,0.6249169205091318,0.32152220352999195,0.1901655897349773,0.20266960376311619
subj03,ventral,0,subj05,0.6438117139019577,0.30872261859888617,0.20094133227868868,0.14689019078062815
subj03,ventral,0,subj06,0.5340330155678049,0.276770524824828,0.1258948844554099,0.1476880693408937
subj03,ventral,0,subj07,0.3840151732956634,0.16325390195676864,0.08108006428369348,0.11400268028871074
subj03,ventral,0,subj08,0.5657106647566977,0.25585231835947553,0.17903270079303726,0.1894526692598884
subj03,ventral,1,subj01,0.5797748868608718,0.16335561777466995,0.11516969431020192,0.09275944356027137
subj03,ventral,1,subj02,0.6105284595170068,0.26464213253190993,0.10771573414399155,0.10653734300649151
subj03,ventral,1,subj04,0.6249169205091318,0.32152220352999195,0.1901655897349773,0.20266960376311619
subj03,ventral,1,subj05,0.6438117139019577,0.30872261859888617,0.20094133227868868,0.14689019078062815
subj03,ventral,1,subj06,0.5340330155678049,0.276770524824828,0.1258948844554099,0.1476880693408937
subj03,ventral,1,subj07,0.3840151732956634,0.16325390195676864,0.08108006428369348,0.11400268028871074
subj03,ventral,1,subj08,0.5657106647566977,0.25585231835947553,0.17903270079303726,0.1894526692598884
subj03,ventral,2,subj01,0.5797748868608718,0.16335561777466995,0.11516969431020192,0.09275944356027137
subj03,ventral,2,subj02,0.6105284595170068,0.26464213253190993,0.10771573414399155,0.10653734300649151
subj03,ventral,2,subj04,0.6249169205091318,0.32152220352999195,0.1901655897349773,0.20266960376311619
subj03,ventral,2,subj05,0.6438117139019577,0.30872261859888617,0.20094133227868868,0.14689019078062815
subj03,ventral,2,subj06,0.5340330155678049,0.276770524824828,0.1258948844554099,0.1476880693408937
subj03,ventral,2,subj07,0.3840151732956634,0.16325390195676864,0.08108006428369348,0.11400268028871074
subj03,ventral,2,subj08,0.5657106647566977,0.25585231835947553,0.17903270079303726,0.1894526692598884
subj03,ventral,3,subj01,0.5797748868608718,0.16335561777466995,0.11516969431020192,0.09275944356027137
subj03,ventral,3,subj02,0.6105284595170068,0.26464213253190993,0.10771573414399155,0.10653734300649151
subj03,ventral,3,subj04,0.6249169205091318,0.32152220352999195,0.1901655897349773,0.20266960376311619
subj03,ventral,3,subj05,0.6438117139019577,0.30872261859888617,0.20094133227868868,0.14689019078062815
subj03,ventral,3,subj06,0.5340330155678049,0.276770524824828,0.1258948844554099,0.1476880693408937
subj03,ventral,3,subj07,0.3840151732956634,0.16325390195676864,0.08108006428369348,0.11400268028871074
subj03,ventral,3,subj08,0.5657106647566977,0.25585231835947553,0.17903270079303726,0.1894526692598884
subj03,ventral,4,subj01,0.5797748868608718,0.16335561777466995,0.11516969431020192,0.09275944356027137
subj03,ventral,4,subj02,0.6105284595170068,0.26464213253190993,0.10771573414399155,0.10653734300649151
subj03,ventral,4,subj04,0.6249169205091318,0.32152220352999195,0.1901655897349773,0.20266960376311619
subj03,ventral,4,subj05,0.6438117139019577,0.30872261859888617,0.20094133227868868,0.14689019078062815
subj03,ventral,4,subj06,0.5340330155678049,0.276770524824828,0.1258948844554099,0.1476880693408937
subj03,ventral,4,subj07,0.3840151732956634,0.16325390195676864,0.08108006428369348,0.11400268028871074
subj03,ventral,4,subj08,0.5657106647566977,0.25585231835947553,0.17903270079303726,0.1894526692598884
subj03,ventral,5,subj01,0.5797748868608718,0.16335561777466995,0.11516969431020192,0.09275944356027137
subj03,ventral,5,subj02,0.6105284595170068,0.26464213253190993,0.10771573414399155,0.10653734300649151
subj03,ventral,5,subj04,0.6249169205091318,0.32152220352999195,0.1901655897349773,0.20266960376311619
subj03,ventral,5,subj05,0.6438117139019577,0.30872261859888617,0.20094133227868868,0.14689019078062815
subj03,ventral,5,subj06,0.5340330155678049,0.276770524824828,0.1258948844554099,0.1476880693408937
subj03,ventral,5,subj07,0.3840151732956634,0.16325390195676864,0.08108006428369348,0.11400268028871074
subj03,ventral,5,subj08,0.5657106647566977,0.25585231835947553,0.17903270079303726,0.1894526692598884
subj04,ventral,0,subj01,0.6236405754003097,0.22069432759799482,0.11159120420615162,0.08849495762877078
subj04,ventral,0,subj02,0.6938848814456612,0.37377747477908924,0.2534631249244465,0.19098761592362065
subj04,ventral,0,subj03,0.6249169205091318,0.32152220352999195,0.15355212285135364,0.17297334768920128
subj04,ventral,0,subj05,0.7020606104413178,0.3975759465001425,0.2622237391352224,0.19803712880412486
