subject,roi,fold,ERR_BARY_IN,ERR_UNIFORM_IN,FIT_GAIN_IN,ERR_BARY_OUT,ERR_UNIFORM_OUT,FIT_GAIN_OUT,ACTIVE_IN,ACTIVE_OUT
subj04,ventral,3,0.6218790465448772,0.6408864884839591,0.01900744193908188,0.8590188391012358,0.8654818635669385,0.0064630244657026825,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,ventral,4,0.6218790465448772,0.6408864884839591,0.01900744193908188,0.8590188391012358,0.8654818635669385,0.0064630244657026825,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj04,ventral,5,0.6218790465448772,0.6408864884839591,0.01900744193908188,0.8590188391012358,0.8654818635669385,0.0064630244657026825,subj01|subj02|subj03|subj05|subj06|subj07|subj08,subj01|subj02|subj03|subj05|subj06|subj07|subj08
subj05,ventral,0,0.5880500243238341,0.5944788542771074,0.006428829953273318,0.8279840033839536,0.8322728380835172,0.004288834699563537,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,ventral,1,0.5880500243238341,0.5944788542771074,0.006428829953273318,0.8279840033839536,0.8322728380835172,0.004288834699563537,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,ventral,2,0.5880500243238341,0.5944788542771074,0.006428829953273318,0.8279840033839536,0.8322728380835172,0.004288834699563537,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,ventral,3,0.5880500243238341,0.5944788542771074,0.006428829953273318,0.8279840033839536,0.8322728380835172,0.004288834699563537,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,ventral,4,0.5880500243238341,0.5944788542771074,0.006428829953273318,0.8279840033839536,0.8322728380835172,0.004288834699563537,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj05,ventral,5,0.5880500243238341,0.5944788542771074,0.006428829953273318,0.8279840033839536,0.8322728380835172,0.004288834699563537,subj01|subj02|subj03|subj04|subj06|subj07|subj08,subj01|subj02|subj03|subj04|subj06|subj07|subj08
subj06,ventral,0,0.7568300883472022,0.7610517676121938,0.004221679264991618,0.871185731467447,0.8792793466529336,0.008093615185486569,subj01|subj02|subj03|subj04|subj05|subj07|subj08,subj01|subj02|subj03|subj04|subj05|subj07|subj08
subj06,ventral,1,0.7568300883472022,0.7610517676121938,0.004221679264991618,0.871185731467447,0.8792793466529336,0.008093615185486569,subj01|subj02|subj03|subj04|subj05|subj07|subj08,subj01|subj02|subj03|subj04|subj05|subj07|subj08
subj06,ventral,2,0.7568300883472022,0.7610517676121938,0.004221679264991618,0.871185731467447,0.8792793466529336,0.008093615185486569,subj01|subj02|subj03|subj04|subj05|subj07|subj08,subj01|subj02|subj03|subj04|subj05|subj07|subj08
subj06,ventral,3,0.7568300883472022,0.7610517676121938,0.004221679264991618,0.871185731467447,0.8792793466529336,0.008093615185486569,subj01|subj02|subj03|subj04|subj05|subj07|subj08,subj01|subj02|subj03|subj04|subj05|subj07|subj08
subj06,ventral,4,0.7568300883472022,0.7610517676121938,0.004221679264991618,0.871185731467447,0.8792793466529336,0.008093615185486569,subj01|subj02|subj03|subj04|subj05|subj07|subj08,subj01|subj02|subj03|subj04|subj05|subj07|subj08
subj06,ventral,5,0.7568300883472022,0.7610517676121938,0.004221679264991618,0.871185731467447,0.8792793466529336,0.008093615185486569,subj01|subj02|subj03|subj04|subj05|subj07|subj08,subj01|subj02|subj03|subj04|subj05|subj07|subj08
subj07,ventral,0,0.9314860006784108,0.9358612158349139,0.004375215156503076,0.9948338748597186,0.9987450769637269,0.0039112021040083045,subj01|subj02|subj03|subj04|subj05|subj06|subj08,subj01|subj02|subj03|subj04|subj05|subj06|subj08
subj07,ventral,1,0.9314860006784108,0.9358612158349139,0.004375215156503076,0.9948338748597186,0.9987450769637269,0.0039112021040083045,subj01|subj02|subj03|subj04|subj05|subj06|subj08,subj01|subj02|subj03|subj04|subj05|subj06|subj08
subj07,ventral,2,0.9314860006784108,0.9358612158349139,0.004375215156503076,0.9948338748597186,0.9987450769637269,0.0039112021040083045,subj01|subj02|subj03|subj04|subj05|subj06|subj08,subj01|subj02|subj03|subj04|subj05|subj06|subj08
subj07,ventral,3,0.9314860006784108,0.9358612158349139,0.004375215156503076,0.9948338748597186,0.9987450769637269,0.0039112021040083045,subj01|subj02|subj03|subj04|subj05|subj06|subj08,subj01|subj02|subj03|subj04|subj05|subj06|subj08
subj07,ventral,4,0.9314860006784108,0.9358612158349139,0.004375215156503076,0.9948338748597186,0.9987450769637269,0.0039112021040083045,subj01|subj02|subj03|subj04|subj05|subj06|subj08,subj01|subj02|subj03|subj04|subj05|subj06|subj08
subj07,ventral,5,0.9314860006784108,0.9358612158349139,0.004375215156503076,0.9948338748597186,0.9987450769637269,0.0039112021040083045,subj01|subj02|subj03|subj04|subj05|subj06|subj08,subj01|subj02|subj03|subj04|subj05|subj06|subj08
subj08,ventral,0,0.7428229439333612,0.7503093056005792,0.0074863616672179445,0.9544809155010777,0.9579691688486618,0.0034882533475840694,subj01|subj02|subj03|subj04|subj05|subj06|subj07,subj01|subj02|subj03|subj04|subj05|subj06|subj07
subj08,ventral,1,0.7428229439333612,0.7503093056005792,0.0074863616672179445,0.9544809155010777,0.9579691688486618,0.0034882533475840694,subj01|subj02|subj03|subj04|subj05|subj06|subj07,subj01|subj02|subj03|subj04|subj05|subj06|subj07
subj08,ventral,2,0.7428229439333612,0.7503093056005792,0.0074863616672179445,0.9544809155010777,0.9579691688486618,0.0034882533475840694,subj01|subj02|subj03|subj04|subj05|subj06|subj07,subj01|subj02|subj03|subj04|subj05|subj06|subj07
subj08,ventral,3,0.7428229439333612,0.7503093056005792,0.0074863616672179445,0.9544809155010777,0.9579691688486618,0.0034882533475840694,subj01|subj02|subj03|subj04|subj05|subj06|subj07,subj01|subj02|subj03|subj04|subj05|subj06|subj07
subj08,ventral,4,0.7428229439333612,0.7503093056005792,0.0074863616672179445,0.9544809155010777,0.9579691688486618,0.0034882533475840694,subj01|subj02|subj03|subj04|subj05|subj06|subj07,subj01|subj02|subj03|subj04|subj05|subj06|subj07
subj08,ventral,5,0.7428229439333612,0.7503093056005792,0.0074863616672179445,0.9544809155010777,0.9579691688486618,0.0034882533475840694,subj01|subj02|subj03|subj04|subj05|subj06|subj07,subj01|subj02|subj03|subj04|subj05|subj06|subj07
subj01,lateral,0,0.6065398783562423,0.6169654630669411,0.010425584710698765,0.7514465221609278,0.7623263227929995,0.010879800632071723,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,lateral,1,0.6065398783562423,0.6169654630669411,0.010425584710698765,0.7514465221609278,0.7623263227929995,0.010879800632071723,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,lateral,2,0.6065398783562423,0.6169654630669411,0.010425584710698765,0.7514465221609278,0.7623263227929995,0.010879800632071723,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,lateral,3,0.6065398783562423,0.6169654630669411,0.010425584710698765,0.7514465221609278,0.7623263227929995,0.010879800632071723,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,lateral,4,0.6065398783562423,0.6169654630669411,0.010425584710698765,0.7514465221609278,0.7623263227929995,0.010879800632071723,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
