participant,ROI,beta,fold,v2v_lam,v2v_rank,v2v_val
subj06,V3,B1,1,376.49358067924715,1,0.05618648477595219
subj06,V3,B1,2,2.9836472402833403,3,0.23496029838043145
subj06,V3,B1,3,19.179102616724887,4,0.3203578604899013
subj06,hV4,B0,0,1.7073526474706922,2,0.6564771783263523
subj06,hV4,B0,1,23.10129700083163,2,0.6300586587400562
subj06,hV4,B0,2,70.54802310718645,5,0.6551784725387589
subj06,hV4,B0,3,453.48785081285916,2,0.5576928072235884
subj06,hV4,B1,0,0.001,3,0.2528752843268187
subj06,hV4,B1,1,0.001,2,0.3380140488912463
subj06,hV4,B1,2,84.97534359086455,5,0.3570908022634994
subj06,hV4,B1,3,100000.0,2,0.3446375637824815
subj06,ventral,B0,0,70.54802310718645,2,0.45510368864264017
subj06,ventral,B0,1,312.57158496882414,2,0.42820954634492564
subj06,ventral,B0,2,376.49358067924715,2,0.3848850464776267
subj06,ventral,B0,3,48.62601580065353,3,0.23562679718403007
subj06,ventral,B1,0,102.35310218990269,2,0.2211882282275991
subj06,ventral,B1,1,4229.242874389508,3,0.11172870225373203
subj06,ventral,B1,2,27.825594022071257,2,0.20195175909981697
subj06,ventral,B1,3,48.62601580065353,12,-0.021328633603894115
subj06,lateral,B0,0,1149.756995397738,2,0.43388300192702506
subj06,lateral,B0,1,178.8649529057435,2,0.45613990045895847
subj06,lateral,B0,2,546.2277217684348,1,0.3959246002280383
subj06,lateral,B0,3,48.62601580065353,2,0.35832622468460346
subj06,lateral,B1,0,1149.756995397738,2,0.3270179508514397
subj06,lateral,B1,1,376.49358067924715,3,0.3727241060652663
subj06,lateral,B1,2,178.8649529057435,2,0.34069308948146904
subj06,lateral,B1,3,0.001,1,0.09216019034007046
subj06,parietal,B0,0,123.28467394420684,3,0.11313568822459907
subj06,parietal,B0,1,178.8649529057435,1,0.18231484541664225
subj06,parietal,B0,2,58.57020818056673,1,0.15791442690804647
subj06,parietal,B0,3,9.111627561154895,2,0.2995242718196922
subj06,parietal,B1,0,0.001,8,-0.12436888739209587
subj06,parietal,B1,1,0.001,6,-0.046083028770631695
