participant,ROI,beta,fold,n_voxels,v2v_lam,v2v_rank,v2v_val,v2i_lam,v2i_rank,v2i_val,test_r,median,std,finite_frac,target_constant,prediction_constant
subj05,V1,B1,3,23,13.219411484660315,6,0.4355876022341854,0.001,2,0.033140614843571316,-0.1438726323697008,-0.15735528098739765,0.15246139111469248,1.0,0,0
subj05,V2,B0,0,22,40.37017258596558,3,0.6796248104362527,2.0565123083486534,1,0.4200719750337234,0.370604299095702,0.3849129189450228,0.10160735842775304,1.0,0,0
subj05,V2,B0,1,22,23.10129700083163,4,0.6890602532178343,954.5484566618347,3,0.38699240402904034,0.13572619085461402,0.12572215041412776,0.12563003468247474,1.0,0,0
subj05,V2,B0,2,22,33.516026509388475,4,0.6564426373422618,100000.0,1,0.37684922009078553,0.2923624693332448,0.29820375476145455,0.23908626700934368,1.0,0,0
subj05,V2,B0,3,22,10.974987654930567,3,0.5320691606701925,312.57158496882414,2,0.315395118148343,0.3616703546267861,0.35226150194820816,0.15312216843201223,1.0,0,0
subj05,V2,B1,0,22,0.4641588833612782,5,0.5202939292563689,0.9770099572992257,1,0.17739521106922854,0.21614708015237055,0.3176789938782407,0.2367927120616395,1.0,0,0
subj05,V2,B1,1,22,1.7073526474706922,4,0.6190955449600665,0.013530477745798075,1,0.21677785106426706,0.19855926936378782,0.21636640104520324,0.20685044978100586,1.0,0,0
subj05,V2,B1,2,22,2.4770763559917115,4,0.514356722089722,58.57020818056673,1,0.14643330686479528,-0.12914396515634594,-0.1481761042786866,0.21725601322644328,1.0,0,0
subj05,V2,B1,3,22,19.179102616724887,6,0.4716075172798401,0.001,12,-0.04076270104786696,0.0525943837176887,0.06758118679050279,0.18023908497387536,1.0,0,0
subj05,V3,B0,0,19,15.922827933410938,6,0.5191918516562761,70.54802310718645,4,0.2704032785719383,0.3162974176464594,0.44650213588164617,0.22512170804866508,1.0,0,0
subj05,V3,B0,1,19,453.48785081285916,2,0.537532654268001,5.21400828799969,3,0.2624593835671723,0.08058045527443107,0.06392993229152549,0.18858190605087444,1.0,0,0
subj05,V3,B0,2,19,0.03430469286314919,1,0.5112134522715307,0.001,5,0.29407696330887406,0.2531767522129952,0.24595322534627473,0.22036178299736875,1.0,0,0
subj05,V3,B0,3,19,0.001,1,0.3031298321899612,0.0012045035402587824,1,0.28863142247220686,0.2883004971255087,0.37827737601777345,0.23388882161705996,1.0,0,0
subj05,V3,B1,0,19,48.62601580065353,9,0.33482228570650363,0.001,1,0.033765653862659895,-0.007980201789656778,-0.0883494859640862,0.31803849959598335,1.0,0,0
subj05,V3,B1,1,19,23.10129700083163,8,0.28798773668699107,100000.0,1,0.0781549135141426,0.11013199069334663,0.16328427785380406,0.22043003972718542,1.0,0,0
subj05,V3,B1,2,19,19.179102616724887,7,0.3413060784905796,259.5024211399737,1,0.17561637867662758,0.08445708130507704,0.07117050772067463,0.17119925453153292,1.0,0,0
subj05,V3,B1,3,19,178.8649529057435,7,0.31924673903024436,148.49682622544665,1,0.15457667560628885,-0.0001402542365962197,0.024728076387298733,0.20565082208776644,1.0,0,0
subj05,hV4,B0,0,11,453.48785081285916,4,0.3459817775987975,0.001,2,0.15481111040245732,0.11023608343894993,0.11401924072415698,0.23554055426601783,1.0,0,0
subj05,hV4,B0,1,11,0.001,3,0.31356621778598665,0.001,2,0.2183024817723166,0.09591915360687069,0.11870289720061877,0.13135403136430215,1.0,0,0
subj05,hV4,B0,2,11,70.54802310718645,4,0.21239438827199314,0.001,1,0.20400207946584975,0.0422237614664924,0.04275148853913142,0.15626830932333866,1.0,0,0
subj05,hV4,B0,3,11,19.179102616724887,1,0.2856717106091695,0.26560877829466867,2,0.1091879105132322,0.1686691459655538,0.28616451231873435,0.22539957021419343,1.0,0,0
subj05,hV4,B1,0,11,84.97534359086455,1,0.13796861814666153,5.21400828799969,1,-0.03150123697091777,0.08988993811950467,0.06646835550286784,0.11560925343822957,1.0,0,0
subj05,hV4,B1,1,11,4229.242874389508,4,0.2681377918716564,40.37017258596558,1,0.15771060854079966,0.03041759601363423,0.02947080965373032,0.19397267681794944,1.0,0,0
subj05,hV4,B1,2,11,102.35310218990269,3,0.263073772283015,0.02848035868435802,1,0.005431269239920652,-0.051481327115373565,-0.05730794731009391,0.15664577286012688,1.0,0,0
subj05,hV4,B1,3,11,123.28467394420684,1,0.236215192585958,0.04132012400115339,2,0.1206019926177623,-0.04266823693292399,0.0764356775808807,0.2726146217791404,1.0,0,0
