ROI,target_subject,identity_fold,vis_img_mean_sq_cos,vis_img_min_cos,vis_img_max_angle,cross_state_overlap
V1,subj04,4,0.6686217784881592,0.1647698432207107,80.51612854003906,0.6686217784881592
V1,subj04,5,0.5987824201583862,0.0470011457800865,87.30603790283203,0.5987823605537415
V1,subj05,0,0.5735455751419067,0.1408120840787887,81.9051513671875,0.5735456347465515
V1,subj05,1,0.6054745316505432,0.1466054320335388,81.56973266601562,0.605474591255188
V1,subj05,2,0.5597495436668396,0.0702148228883743,85.97367095947266,0.5597494840621948
V1,subj05,3,0.5799959897994995,0.2128340601921081,77.71150970458984,0.5799959897994995
V1,subj05,4,0.5744192004203796,0.2331515103578567,76.5173110961914,0.5744192600250244
V1,subj05,5,0.5869566202163696,0.1977194100618362,78.59636688232422,0.5869566202163696
V1,subj06,0,0.4858156144618988,0.0690932795405387,86.0380859375,0.4858156144618988
V1,subj06,1,0.5111647844314575,0.092991903424263,84.66423797607422,0.5111649036407471
V1,subj06,2,0.5014153718948364,0.0035408334806561,89.797119140625,0.5014153122901917
V1,subj06,3,0.4291662275791168,0.0856456905603408,85.08683776855469,0.429166167974472
V1,subj06,4,0.5118083953857422,0.0079603707417845,89.54389953613281,0.5118083357810974
V1,subj06,5,0.5172805786132812,0.0294704232364892,88.31121826171875,0.517280638217926
V1,subj07,0,0.5401356816291809,0.1701410412788391,80.2039794921875,0.5401356816291809
V1,subj07,1,0.5302290916442871,0.0156039707362651,89.10591888427734,0.5302290916442871
V1,subj07,2,0.4751275479793548,0.0364640243351459,87.91029357910156,0.4751275479793548
V1,subj07,3,0.5588802695274353,0.0328221693634986,88.11908721923828,0.5588803291320801
V1,subj07,4,0.5088207125663757,0.1141466498374939,83.44559478759766,0.508820652961731
V1,subj07,5,0.5189951658248901,0.0108784493058919,89.37669372558594,0.5189951658248901
V1,subj08,0,0.5784934759140015,0.0349982716143131,87.99433135986328,0.5784934759140015
V1,subj08,1,0.5523712038993835,0.0213567223399877,88.77625274658203,0.5523711442947388
V1,subj08,2,0.5403732061386108,0.0201423075050115,88.8458480834961,0.5403731465339661
V1,subj08,3,0.5692926645278931,0.0299679730087518,88.28269958496094,0.5692927241325378
V1,subj08,4,0.5868862867355347,0.0919945240020752,84.72163391113281,0.5868862867355347
V1,subj08,5,0.6491596102714539,0.1997326612472534,78.47866821289062,0.6491595506668091
V3,subj01,0,0.4919175505638122,0.0144893042743206,89.16978454589844,0.4919175505638122
V3,subj01,1,0.492481529712677,0.1262809187173843,82.7452621459961,0.492481529712677
V3,subj01,2,0.5248883366584778,0.0473169460892677,87.28791809082031,0.5248883366584778
V3,subj01,3,0.5529595017433167,0.0698864609003067,85.9925308227539,0.5529594421386719
V3,subj01,4,0.5182748436927795,0.1260434836149215,82.75897216796875,0.5182749032974243
V3,subj01,5,0.5838148593902588,0.0983198881149292,84.3575668334961,0.5838148593902588
V3,subj02,0,0.5498009920120239,0.206099659204483,78.10611724853516,0.5498009920120239
V3,subj02,1,0.5980515480041504,0.095812439918518,84.50191497802734,0.5980514883995056
