ROI,target_subject,identity_fold,K,R_Y_SRM,R_X_SRM,R_Y_VISFULL,R_X_VISFULL,SRM_truncation_loss,cross_state_span_loss,outside_visual_fraction,R_Y_VIS_at_O2K,R_Y_VIS_full,delta_retention_unused
lateral,subj02,3,2,0.5474457144737244,0.5698491930961609,0.5748805999755859,0.7111124396324158,0.0274348855018615,0.425119400024414,0.425119400024414,0.5520152449607849,0.5748805999755859,0.022865355014801
lateral,subj02,4,2,0.1924065500497818,0.8104773163795471,0.255494087934494,0.904194176197052,0.0630875378847122,0.744505912065506,0.744505912065506,0.1778050363063812,0.255494087934494,0.0776890516281127
lateral,subj02,5,2,0.0543259009718894,0.8165502548217773,0.2545185089111328,0.8989735245704651,0.2001926079392433,0.7454814910888672,0.7454814910888672,0.0404389351606369,0.2545185089111328,0.2140795737504959
lateral,subj03,0,3,0.4597067832946777,0.3464858829975128,0.5767800807952881,0.5020641088485718,0.1170732975006103,0.4232199192047119,0.4232199192047119,0.480662077665329,0.5767800807952881,0.0961180031299591
lateral,subj03,1,2,0.0145676443353295,0.333994597196579,0.309661716222763,0.5887172222137451,0.2950940718874335,0.6903382837772369,0.6903382837772369,0.0207235645502805,0.309661716222763,0.2889381516724825
lateral,subj03,2,3,0.1206547394394874,0.5877252817153931,0.3050220906734466,0.676358699798584,0.1843673512339592,0.6949779093265533,0.6949779093265533,0.1433702558279037,0.3050220906734466,0.1616518348455429
lateral,subj03,3,3,0.2667816877365112,0.3186722993850708,0.5608198046684265,0.456723153591156,0.2940381169319153,0.4391801953315735,0.4391801953315735,0.3767823874950409,0.5608198046684265,0.1840374171733856
lateral,subj03,4,2,0.3740396201610565,0.6708546876907349,0.554781973361969,0.742400050163269,0.1807423532009124,0.445218026638031,0.445218026638031,0.3831744194030761,0.554781973361969,0.1716075539588928
lateral,subj03,5,2,0.2608526945114136,0.3586230278015136,0.426567018032074,0.5907743573188782,0.1657143235206604,0.573432981967926,0.573432981967926,0.2459783554077148,0.426567018032074,0.1805886626243591
lateral,subj04,0,3,0.0327469557523727,0.256536602973938,0.1389579325914383,0.4319857358932495,0.1062109768390655,0.8610420674085617,0.8610420674085617,0.0214131623506546,0.1389579325914383,0.1175447702407836
lateral,subj04,1,2,0.0898653492331504,0.6231969594955444,0.2141468971967697,0.7465489506721497,0.1242815479636192,0.7858531028032303,0.7858531028032303,0.1021025478839874,0.2141468971967697,0.1120443493127822
lateral,subj04,2,3,0.1776945441961288,0.347590833902359,0.2621882855892181,0.4691396057605743,0.0844937413930893,0.7378117144107819,0.7378117144107819,0.059441965073347,0.2621882855892181,0.202746320515871
lateral,subj04,3,3,0.1226689890027046,0.5115829706192017,0.2564353942871094,0.5972200632095337,0.1337664052844047,0.7435646057128906,0.7435646057128906,0.1728411167860031,0.2564353942871094,0.0835942775011062
lateral,subj04,4,2,0.4257131814956665,0.7639076709747314,0.700238823890686,0.8302019238471985,0.2745256423950195,0.2997611761093139,0.2997611761093139,0.4900605678558349,0.700238823890686,0.210178256034851
lateral,subj04,5,2,0.1825057417154312,0.7486125230789185,0.2730379104614258,0.769193708896637,0.0905321687459945,0.7269620895385742,0.7269620895385742,0.1529562771320343,0.2730379104614258,0.1200816333293914
lateral,subj05,0,2,0.1795442998409271,0.3533148467540741,0.3528881967067718,0.4850256145000458,0.1733438968658447,0.6471118032932281,0.6471118032932281,0.2009739577770233,0.3528881967067718,0.1519142389297485
lateral,subj05,1,2,0.1523939818143844,0.5256351828575134,0.4182729423046112,0.6479349136352539,0.2658789604902267,0.5817270576953888,0.5817270576953888,0.2716487944126129,0.4182729423046112,0.1466241478919983
lateral,subj05,2,3,0.0180457215756177,0.2972970306873321,0.1987928599119186,0.3645763993263244,0.1807471383363008,0.8012071400880814,0.8012071400880814,0.019014973193407,0.1987928599119186,0.1797778867185115
lateral,subj05,3,2,0.0068127722479403,0.3859013617038727,0.1568071991205215,0.6564232110977173,0.1499944268725812,0.8431928008794785,0.8431928008794785,0.004925541114062,0.1568071991205215,0.1518816580064594
lateral,subj05,4,2,0.0564082264900207,0.7164860963821411,0.1248209327459335,0.8032665252685547,0.0684127062559127,0.8751790672540665,0.8751790672540665,0.0391242615878582,0.1248209327459335,0.0856966711580753
