ROI,target_subject,identity_fold,outside_visual_fraction,R_Y_VISFULL
V3,subj05,3,0.4074229598045349,0.5925770401954651
V3,subj05,4,0.1903762817382812,0.8096237182617188
V3,subj05,5,0.0975528955459594,0.9024471044540404
V3,subj06,0,0.2348901629447937,0.7651098370552063
V3,subj06,1,0.2747609615325928,0.7252390384674072
V3,subj06,2,0.4985228180885315,0.5014771819114685
V3,subj06,3,0.2975810170173645,0.7024189829826355
V3,subj06,4,0.5559334754943848,0.4440665245056152
V3,subj06,5,0.4903960824012756,0.5096039175987244
V3,subj07,0,0.1238816380500793,0.8761183619499207
V3,subj07,1,0.1398536562919616,0.8601463437080383
V3,subj07,2,0.1610899567604065,0.8389100432395935
V3,subj07,3,0.2309171557426452,0.7690828442573547
V3,subj07,4,0.1756889224052429,0.8243110775947571
V3,subj07,5,0.1708260774612426,0.8291739225387573
V3,subj08,0,0.188484251499176,0.811515748500824
V3,subj08,1,0.1730421185493469,0.8269578814506531
V3,subj08,2,0.0491555929183959,0.950844407081604
V3,subj08,3,0.0451321005821228,0.9548678994178772
V3,subj08,4,0.5896390676498413,0.4103609323501587
V3,subj08,5,0.2333564162254333,0.7666435837745667
