ROI,target_subject,identity_fold,vision_contrast_retention,imagery_contrast_retention,cross_state_retention_gap
ventral,subj08,5,0.3371674120426178,0.0994053184986114,0.2377620935440063
lateral,subj01,0,0.4573262333869934,0.012226047925651,0.4451001854613423
lateral,subj01,1,0.5782762169837952,0.0593771860003471,0.518899030983448
lateral,subj01,2,0.1282060295343399,0.0687510520219802,0.0594549775123596
lateral,subj01,3,0.4907615780830383,0.2824465930461883,0.2083149850368499
lateral,subj01,4,0.7106627225875854,0.1770450919866562,0.5336176306009293
lateral,subj01,5,0.6440479755401611,0.2353053539991378,0.4087426215410232
lateral,subj02,0,0.7307491898536682,0.3364876210689544,0.3942615687847137
lateral,subj02,1,0.3303977251052856,0.6904267072677612,-0.3600289821624756
lateral,subj02,2,0.5705438852310181,0.3009320199489593,0.2696118652820587
lateral,subj02,3,0.5698491930961609,0.5474457144737244,0.0224034786224365
lateral,subj02,4,0.8104773163795471,0.1924065500497818,0.6180707663297653
lateral,subj02,5,0.8165502548217773,0.0543259009718894,0.7622243538498878
lateral,subj03,0,0.3464858829975128,0.4597067832946777,-0.1132209002971649
lateral,subj03,1,0.333994597196579,0.0145676443353295,0.3194269528612494
lateral,subj03,2,0.5877252817153931,0.1206547394394874,0.4670705422759056
lateral,subj03,3,0.3186722993850708,0.2667816877365112,0.0518906116485595
lateral,subj03,4,0.6708546876907349,0.3740396201610565,0.2968150675296783
lateral,subj03,5,0.3586230278015136,0.2608526945114136,0.0977703332901001
lateral,subj04,0,0.256536602973938,0.0327469557523727,0.2237896472215652
lateral,subj04,1,0.6231969594955444,0.0898653492331504,0.533331610262394
lateral,subj04,2,0.347590833902359,0.1776945441961288,0.1698962897062301
lateral,subj04,3,0.5115829706192017,0.1226689890027046,0.388913981616497
lateral,subj04,4,0.7639076709747314,0.4257131814956665,0.3381944894790649
lateral,subj04,5,0.7486125230789185,0.1825057417154312,0.5661067813634872
lateral,subj05,0,0.3533148467540741,0.1795442998409271,0.1737705469131469
lateral,subj05,1,0.5256351828575134,0.1523939818143844,0.3732412010431289
lateral,subj05,2,0.2972970306873321,0.0180457215756177,0.2792513091117143
