subject,roi,family,component,removed_donor,SIM_full,SIM_loo,dSIM,R_full,R_loo,dR
subj01,lateral,anatomy,IN,subj04,0.3676154103897728,0.3676154103897728,0.0,0.09120054004968503,0.09120054004968503,0.0
subj01,lateral,anatomy,IN,subj05,0.3676154103897728,0.3666557493255089,-0.000959661064263928,0.09120054004968503,0.0914219323585727,0.00022139230888766626
subj01,lateral,anatomy,IN,subj06,0.3676154103897728,0.3637955339288403,-0.003819876460932514,0.09120054004968503,0.09544855876598364,0.00424801871629861
subj01,lateral,anatomy,IN,subj07,0.3676154103897728,0.3642700034768816,-0.0033454069128912023,0.09120054004968503,0.09179003198971586,0.0005894919400308285
subj01,lateral,anatomy,IN,subj08,0.3676154103897728,0.3598403084671482,-0.007775101922624594,0.09120054004968503,0.08883998007090566,-0.002360559978779375
subj01,lateral,anatomy,OUT,subj02,0.28721780595931085,0.24113246536486402,-0.04608534059444683,0.00674707103204214,0.005525539812929275,-0.0012215312191128647
subj01,lateral,anatomy,OUT,subj03,0.28721780595931085,0.28816864426768923,0.0009508383083783878,0.00674707103204214,0.007508142307934344,0.0007610712758922035
subj01,lateral,anatomy,OUT,subj04,0.28721780595931085,0.28721780595931085,0.0,0.00674707103204214,0.00674707103204214,0.0
subj01,lateral,anatomy,OUT,subj05,0.28721780595931085,0.3106666195002557,0.023448813540944857,0.00674707103204214,0.007062004660662195,0.0003149336286200552
subj01,lateral,anatomy,OUT,subj06,0.28721780595931085,0.27377979454455276,-0.013438011414758089,0.00674707103204214,0.005322690857927948,-0.001424380174114192
subj01,lateral,anatomy,OUT,subj07,0.28721780595931085,0.28304282749951754,-0.00417497845979331,0.00674707103204214,0.0063638755312767975,-0.0003831955007653426
subj01,lateral,anatomy,OUT,subj08,0.28721780595931085,0.2851662519460947,-0.0020515540132161614,0.00674707103204214,0.0070349357940583295,0.0002878647620161894
subj01,lateral,behavior,IN,subj02,0.35365745501842905,0.3023639758907246,-0.05129347912770443,0.09461772600090994,0.1128244576774965,0.01820673167658657
subj01,lateral,behavior,IN,subj03,0.35365745501842905,0.35365745501842905,0.0,0.09461772600090994,0.09461772600090994,0.0
subj01,lateral,behavior,IN,subj04,0.35365745501842905,0.35279326309190157,-0.00086419192652748,0.09461772600090994,0.09438270894952988,-0.00023501705138005702
subj01,lateral,behavior,IN,subj05,0.35365745501842905,0.3540887131537304,0.00043125813530137114,0.09461772600090994,0.09488037195564879,0.00026264595473884933
subj01,lateral,behavior,IN,subj06,0.35365745501842905,0.35365745501842905,0.0,0.09461772600090994,0.09461772600090994,0.0
subj01,lateral,behavior,IN,subj07,0.35365745501842905,0.35365745501842905,0.0,0.09461772600090994,0.09461772600090994,0.0
subj01,lateral,behavior,IN,subj08,0.35365745501842905,0.344199348262847,-0.009458106755582063,0.09461772600090994,0.09772656155867582,0.0031088355577658794
subj01,lateral,behavior,OUT,subj02,0.3029394668280277,0.23283774107744426,-0.07010172575058343,0.005097932001135729,0.0028632183827364765,-0.0022347136183992525
subj01,lateral,behavior,OUT,subj03,0.3029394668280277,0.3029394668280277,0.0,0.005097932001135729,0.005097932001135729,0.0
subj01,lateral,behavior,OUT,subj04,0.3029394668280277,0.3001391709122659,-0.002800295915761808,0.005097932001135729,0.005246215497332803,0.0001482834961970738
subj01,lateral,behavior,OUT,subj05,0.3029394668280277,0.30522005549090175,0.0022805886628740613,0.005097932001135729,0.005003092527572205,-9.483947356352367e-05
subj01,lateral,behavior,OUT,subj06,0.3029394668280277,0.3029394668280277,0.0,0.005097932001135729,0.005097932001135729,0.0
subj01,lateral,behavior,OUT,subj07,0.3029394668280277,0.3029394668280277,0.0,0.005097932001135729,0.005097932001135729,0.0
subj01,lateral,behavior,OUT,subj08,0.3029394668280277,0.283074443175758,-0.01986502365226972,0.005097932001135729,0.0020830957279486533,-0.0030148362731870757
subj02,lateral,anatomy,IN,subj01,0.34884789620370693,0.34884789620370693,0.0,0.1011832720771481,0.1011832720771481,0.0
subj02,lateral,anatomy,IN,subj03,0.34884789620370693,0.34884789620370693,0.0,0.1011832720771481,0.1011832720771481,0.0
subj02,lateral,anatomy,IN,subj04,0.34884789620370693,0.34884789620370693,0.0,0.1011832720771481,0.1011832720771481,0.0
subj02,lateral,anatomy,IN,subj05,0.34884789620370693,0.3583904827139574,0.009542586510250473,0.1011832720771481,0.09003790129317467,-0.01114537078397343
subj02,lateral,anatomy,IN,subj06,0.34884789620370693,0.34884789620370693,0.0,0.1011832720771481,0.1011832720771481,0.0
subj02,lateral,anatomy,IN,subj07,0.34884789620370693,0.34884789620370693,0.0,0.1011832720771481,0.1011832720771481,0.0
subj02,lateral,anatomy,IN,subj08,0.34884789620370693,0.3506928966305522,0.0018450004268452669,0.1011832720771481,0.10080339363353642,-0.00037987844361167533
subj02,lateral,anatomy,OUT,subj01,0.19190972762790534,0.19190972762790534,0.0,0.00433285249426072,0.00433285249426072,0.0
subj02,lateral,anatomy,OUT,subj03,0.19190972762790534,0.19190972762790534,0.0,0.00433285249426072,0.00433285249426072,0.0
subj02,lateral,anatomy,OUT,subj04,0.19190972762790534,0.19190972762790534,0.0,0.00433285249426072,0.00433285249426072,0.0
subj02,lateral,anatomy,OUT,subj05,0.19190972762790534,0.28453687554684715,0.0926271479189418,0.00433285249426072,0.004947491092743836,0.0006146385984831162
subj02,lateral,anatomy,OUT,subj06,0.19190972762790534,0.19190972762790534,0.0,0.00433285249426072,0.00433285249426072,0.0
subj02,lateral,anatomy,OUT,subj07,0.19190972762790534,0.19190972762790534,0.0,0.00433285249426072,0.00433285249426072,0.0
subj02,lateral,anatomy,OUT,subj08,0.19190972762790534,0.19514665114197896,0.0032369235140736197,0.00433285249426072,0.004054557189692469,-0.0002782953045682513
subj02,lateral,behavior,IN,subj01,0.34522329077680464,0.29495176754337,-0.050271523233434645,0.09018745334211875,0.08389653147730397,-0.00629092186481478
subj02,lateral,behavior,IN,subj03,0.34522329077680464,0.34522329077680464,0.0,0.09018745334211875,0.09018745334211875,0.0
subj02,lateral,behavior,IN,subj04,0.34522329077680464,0.34400634695484916,-0.001216943821955474,0.09018745334211875,0.09095959353422328,0.0007721401921045312
subj02,lateral,behavior,IN,subj05,0.34522329077680464,0.34522329077680464,0.0,0.09018745334211875,0.09018745334211875,0.0
subj02,lateral,behavior,IN,subj06,0.34522329077680464,0.34522329077680464,0.0,0.09018745334211875,0.09018745334211875,0.0
subj02,lateral,behavior,IN,subj07,0.34522329077680464,0.34522329077680464,0.0,0.09018745334211875,0.09018745334211875,0.0
subj02,lateral,behavior,IN,subj08,0.34522329077680464,0.34522329077680464,0.0,0.09018745334211875,0.09018745334211875,0.0
subj02,lateral,behavior,OUT,subj01,0.29118994086025035,0.23188490124543557,-0.059305039614814786,0.005543417071077153,0.007347494321218039,0.0018040772501408857
subj02,lateral,behavior,OUT,subj03,0.29118994086025035,0.29118994086025035,0.0,0.005543417071077153,0.005543417071077153,0.0
subj02,lateral,behavior,OUT,subj04,0.29118994086025035,0.29542070773183754,0.004230766871587188,0.005543417071077153,0.006138221262685639,0.000594804191608486
subj02,lateral,behavior,OUT,subj05,0.29118994086025035,0.29118994086025035,0.0,0.005543417071077153,0.005543417071077153,0.0
subj02,lateral,behavior,OUT,subj06,0.29118994086025035,0.29118994086025035,0.0,0.005543417071077153,0.005543417071077153,0.0
subj02,lateral,behavior,OUT,subj07,0.29118994086025035,0.29118994086025035,0.0,0.005543417071077153,0.005543417071077153,0.0
subj02,lateral,behavior,OUT,subj08,0.29118994086025035,0.29118994086025035,0.0,0.005543417071077153,0.005543417071077153,0.0
subj03,lateral,anatomy,IN,subj01,0.3288342040137083,0.3288342040137083,0.0,0.1524025743795748,0.1524025743795748,0.0
subj03,lateral,anatomy,IN,subj02,0.3288342040137083,0.3288342040137083,0.0,0.1524025743795748,0.1524025743795748,0.0
subj03,lateral,anatomy,IN,subj04,0.3288342040137083,0.3094191721943512,-0.019415031819357054,0.1524025743795748,0.15132838957454572,-0.001074184805029077
subj03,lateral,anatomy,IN,subj05,0.3288342040137083,0.3288342040137083,0.0,0.1524025743795748,0.1524025743795748,0.0
subj03,lateral,anatomy,IN,subj06,0.3288342040137083,0.2926486604841388,-0.036185543529569486,0.1524025743795748,0.12839488775683233,-0.02400768662274247
subj03,lateral,anatomy,IN,subj07,0.3288342040137083,0.3288342040137083,0.0,0.1524025743795748,0.1524025743795748,0.0
subj03,lateral,anatomy,IN,subj08,0.3288342040137083,0.3288342040137083,0.0,0.1524025743795748,0.1524025743795748,0.0
subj03,lateral,anatomy,OUT,subj01,0.11179929268309408,0.11179929268309408,0.0,0.005705319758815809,0.005705319758815809,0.0
subj03,lateral,anatomy,OUT,subj02,0.11179929268309408,0.11179929268309408,0.0,0.005705319758815809,0.005705319758815809,0.0
subj03,lateral,anatomy,OUT,subj04,0.11179929268309408,0.10245371259934287,-0.009345580083751207,0.005705319758815809,0.007350994938422869,0.0016456751796070602
subj03,lateral,anatomy,OUT,subj05,0.11179929268309408,0.11179929268309408,0.0,0.005705319758815809,0.005705319758815809,0.0
subj03,lateral,anatomy,OUT,subj06,0.11179929268309408,0.1412480339226309,0.029448741239536835,0.005705319758815809,0.007228274163963045,0.001522954405147236
subj03,lateral,anatomy,OUT,subj07,0.11179929268309408,0.11179929268309408,0.0,0.005705319758815809,0.005705319758815809,0.0
subj03,lateral,anatomy,OUT,subj08,0.11179929268309408,0.11179929268309408,0.0,0.005705319758815809,0.005705319758815809,0.0
subj03,lateral,behavior,IN,subj01,0.31558616931814243,0.31558616931814243,0.0,0.13775407394334538,0.13775407394334538,0.0
subj03,lateral,behavior,IN,subj02,0.31558616931814243,0.31558616931814243,0.0,0.13775407394334538,0.13775407394334538,0.0
subj03,lateral,behavior,IN,subj04,0.31558616931814243,0.31558616931814243,0.0,0.13775407394334538,0.13775407394334538,0.0
subj03,lateral,behavior,IN,subj05,0.31558616931814243,0.31558616931814243,0.0,0.13775407394334538,0.13775407394334538,0.0
subj03,lateral,behavior,IN,subj06,0.31558616931814243,0.31558616931814243,0.0,0.13775407394334538,0.13775407394334538,0.0
subj03,lateral,behavior,IN,subj07,0.31558616931814243,0.3323088377615591,0.01672266844341669,0.13775407394334538,0.14757132313175444,0.009817249188409066
subj03,lateral,behavior,IN,subj08,0.31558616931814243,0.31249178011459694,-0.003094389203545489,0.13775407394334538,0.13674519005943295,-0.0010088838839124314
subj03,lateral,behavior,OUT,subj01,0.08081905609554757,0.08081905609554757,0.0,0.012059018781858563,0.012059018781858563,0.0
subj03,lateral,behavior,OUT,subj02,0.08081905609554757,0.08081905609554757,0.0,0.012059018781858563,0.012059018781858563,0.0
subj03,lateral,behavior,OUT,subj04,0.08081905609554757,0.08081905609554757,0.0,0.012059018781858563,0.012059018781858563,0.0
subj03,lateral,behavior,OUT,subj05,0.08081905609554757,0.08081905609554757,0.0,0.012059018781858563,0.012059018781858563,0.0
subj03,lateral,behavior,OUT,subj06,0.08081905609554757,0.08081905609554757,0.0,0.012059018781858563,0.012059018781858563,0.0
subj03,lateral,behavior,OUT,subj07,0.08081905609554757,0.14313038224788038,0.06231132615233281,0.012059018781858563,0.007059449266253254,-0.00499956951560531
subj03,lateral,behavior,OUT,subj08,0.08081905609554757,0.07755500959340522,-0.003264046502142348,0.012059018781858563,0.01140979579065017,-0.0006492229912083928
subj04,lateral,anatomy,IN,subj01,0.3058868899793968,0.3058868899793968,0.0,0.1019574319795381,0.1019574319795381,0.0
subj04,lateral,anatomy,IN,subj02,0.3058868899793968,0.3058868899793968,0.0,0.1019574319795381,0.1019574319795381,0.0
