participant,ROI,beta,fold,v2v_lambda_median,v2v_r_model
subj08,V3,B1,2,9.111627561154895,10
subj08,V3,B1,3,414.9907157460532,8
subj08,hV4,B0,0,86.45056264854458,10
subj08,hV4,B0,1,22.24550708215952,8
subj08,hV4,B0,2,16.1992570506926,3
subj08,hV4,B0,3,7.651874468006815,3
subj08,hV4,B1,0,56.400468806467906,10
subj08,hV4,B1,1,77.7616833490255,9
subj08,hV4,B1,2,64.5591156438766,10
subj08,hV4,B1,3,9.111627561154895,4
subj08,ventral,B0,0,312.57158496882414,5
subj08,ventral,B0,1,148.49682622544665,5
subj08,ventral,B0,2,215.44346900318865,5
subj08,ventral,B0,3,100000.0,1
subj08,ventral,B1,0,15.922827933410938,5
subj08,ventral,B1,1,48.62601580065353,1
subj08,ventral,B1,2,2.4770763559917115,10
subj08,ventral,B1,3,259.5024211399737,12
subj08,lateral,B0,0,1267.3216833958063,7
subj08,lateral,B0,1,546.2277217684348,12
subj08,lateral,B0,2,546.2277217684348,9
subj08,lateral,B0,3,312.57158496882414,12
subj08,lateral,B1,0,197.15421095446607,12
subj08,lateral,B1,1,123.28467394420684,12
subj08,lateral,B1,2,5615.022644114781,6
subj08,lateral,B1,3,125.42496420767466,11
subj08,parietal,B0,0,70.54802310718645,2
subj08,parietal,B0,1,53.598111990610136,6
subj08,parietal,B0,2,36.94309954767702,6
subj08,parietal,B0,3,15.922827933410938,12
subj08,parietal,B1,0,383.02971789084165,11
subj08,parietal,B1,1,55.459097846576014,12
subj08,parietal,B1,2,0.001,12
subj08,parietal,B1,3,2009.23300256505,10
