participant,ROI,beta,fold,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas
subj06,V1,B1,2,0.001,1668.100537200059,100000.0,9
subj06,V1,B1,3,0.001,2.9836472402833403,100000.0,15
subj06,V2,B0,0,0.001,0.001,100000.0,9
subj06,V2,B0,1,0.001,100000.0,100000.0,11
subj06,V2,B0,2,0.001,0.019971201236330262,100000.0,11
subj06,V2,B0,3,0.04132012400115339,37.24651805698883,100000.0,17
subj06,V2,B1,0,0.001,0.3526397865753958,100000.0,15
subj06,V2,B1,1,0.001,9.216709886330001,100000.0,17
subj06,V2,B1,2,0.001,3.0354450098981705,100000.0,17
subj06,V2,B1,3,0.001,100000.0,100000.0,10
subj06,V3,B0,0,0.001,0.018111497755584644,40.37017258596558,17
subj06,V3,B0,1,0.001,9.749851463247287,100000.0,12
subj06,V3,B0,2,0.001,41.071021155021,100000.0,18
subj06,V3,B0,3,0.001,48.62601580065353,100000.0,11
subj06,V3,B1,0,0.001,7.1628179245772925,100000.0,15
subj06,V3,B1,1,0.001,2.7527866167590305,100000.0,13
subj06,V3,B1,2,0.0012045035402587824,0.1154736317927843,100000.0,17
subj06,V3,B1,3,0.001,2.730361798137526,100000.0,14
subj06,hV4,B0,0,0.001,50001.7969068319,100000.0,4
subj06,hV4,B0,1,0.001,24.719427221399705,100000.0,8
subj06,hV4,B0,2,0.001,488.8248768313332,100000.0,8
subj06,hV4,B0,3,19.179102616724887,100000.0,100000.0,3
subj06,hV4,B1,0,0.001,28.868821680904215,100000.0,7
subj06,hV4,B1,1,0.001,18.16035424274597,100000.0,5
subj06,hV4,B1,2,0.001,295.9685248412179,100000.0,7
subj06,hV4,B1,3,0.001,0.001,27.825594022071257,5
subj06,ventral,B0,0,0.001,1384.8863713938745,100000.0,55
subj06,ventral,B0,1,0.001,84.97534359086455,100000.0,62
subj06,ventral,B0,2,0.001,0.4641588833612782,100000.0,64
subj06,ventral,B0,3,0.001,93.66422289038363,100000.0,68
subj06,ventral,B1,0,0.001,123.28467394420684,100000.0,61
subj06,ventral,B1,1,0.001,23.10129700083163,100000.0,52
subj06,ventral,B1,2,0.001,25.463445511451443,100000.0,62
subj06,ventral,B1,3,0.001,215.44346900318865,100000.0,46
subj06,lateral,B0,0,0.001,178.8649529057435,100000.0,53
subj06,lateral,B0,1,0.001,102.35310218990269,100000.0,53
subj06,lateral,B0,2,0.001,0.001,100000.0,47
subj06,lateral,B0,3,0.001,58.57020818056673,100000.0,52
subj06,lateral,B1,0,0.001,0.31992671377973847,100000.0,69
subj06,lateral,B1,1,0.001,10.974987654930567,100000.0,53
subj06,lateral,B1,2,0.001,1149.756995397738,100000.0,47
subj06,lateral,B1,3,0.001,0.004430621457583882,100000.0,51
subj06,parietal,B0,0,0.001,100000.0,100000.0,25
subj06,parietal,B0,1,0.006428073117284319,15.077045135827728,100000.0,39
subj06,parietal,B0,2,0.001,499.85778629064697,100000.0,34
subj06,parietal,B0,3,0.001,344.53258282403567,100000.0,29
subj06,parietal,B1,0,0.001,383.02971789084165,100000.0,29
subj06,parietal,B1,1,0.001,21.874210977741097,100000.0,28
subj06,parietal,B1,2,0.001,12.09719956979544,100000.0,30
subj06,parietal,B1,3,0.001,499.85778629064697,100000.0,30
subj07,V1,B0,0,0.001,100000.0,100000.0,8
subj07,V1,B0,1,0.001,0.9770099572992257,100000.0,9
subj07,V1,B0,2,0.001,40.37017258596558,100000.0,15
subj07,V1,B0,3,0.001,3.5938136638046294,100000.0,17
subj07,V1,B1,0,0.001,1.4174741629268062,100000.0,11
subj07,V1,B1,1,0.001,10.974987654930567,100000.0,12
subj07,V1,B1,2,0.001,0.04132012400115339,100000.0,11
subj07,V1,B1,3,0.001,0.001,100000.0,10
subj07,V2,B0,0,0.001,1.0454446143509446,100000.0,16
subj07,V2,B0,1,0.001,277.67926679249535,100000.0,12
subj07,V2,B0,2,0.001,89.8380418682666,100000.0,9
subj07,V2,B0,3,0.001,88.16121012375896,100000.0,14
subj07,V2,B1,0,0.001,1.8036720707752139,100000.0,9
subj07,V2,B1,1,0.001,30.670810265729866,100000.0,12
subj07,V2,B1,2,0.001,77.7616833490255,100000.0,7
subj07,V2,B1,3,0.001,1.7974068319023147,100000.0,6
subj07,V3,B0,0,0.001,0.5590810182512228,100000.0,9
subj07,V3,B0,1,0.001,0.03430469286314919,102.35310218990269,13
subj07,V3,B0,2,0.001,0.05994842503189412,100000.0,6
subj07,V3,B0,3,0.001,40.37017258596558,100000.0,12
subj07,V3,B1,0,0.001,23.10129700083163,100000.0,11
subj07,V3,B1,1,0.001,0.5590810182512228,100000.0,8
subj07,V3,B1,2,0.001,100000.0,100000.0,7
subj07,V3,B1,3,0.011233240329780276,100000.0,100000.0,8
subj07,hV4,B0,0,0.001,100000.0,100000.0,2
subj07,hV4,B0,1,0.001,109.52242466631655,100000.0,5
subj07,hV4,B0,2,2915.0530628251818,100000.0,100000.0,2
subj07,hV4,B0,3,0.001,0.001,100000.0,4
subj07,hV4,B1,0,0.001,100000.0,100000.0,3
subj07,hV4,B1,1,0.0014508287784959402,1.0136396806252153,12915.496650148854,7
subj07,hV4,B1,2,0.001,50477.27422833092,100000.0,5
subj07,hV4,B1,3,0.001,3.332822150602656,100000.0,5
subj07,ventral,B0,0,0.001,376.49358067924715,100000.0,48
subj07,ventral,B0,1,0.001,23.10129700083163,100000.0,55
subj07,ventral,B0,2,0.001,19.179102616724887,100000.0,58
subj07,ventral,B0,3,0.001,123.28467394420684,100000.0,49
subj07,ventral,B1,0,0.001,0.26560877829466867,100000.0,65
subj07,ventral,B1,1,0.001,9.111627561154895,100000.0,42
subj07,ventral,B1,2,0.001,84.97534359086455,100000.0,49
subj07,ventral,B1,3,0.001,58.57020818056673,100000.0,50
subj07,lateral,B0,0,0.001,0.016297508346206444,100000.0,48
subj07,lateral,B0,1,0.001,178.8649529057435,100000.0,46
subj07,lateral,B0,2,0.001,0.9770099572992257,100000.0,44
subj07,lateral,B0,3,0.001,102.35310218990269,100000.0,45
subj07,lateral,B1,0,0.001,0.05994842503189412,68926.12104349709,60
subj07,lateral,B1,1,0.001,2.4770763559917115,100000.0,47
subj07,lateral,B1,2,0.001,9.111627561154895,100000.0,47
subj07,lateral,B1,3,0.001,58.57020818056673,100000.0,46
subj07,parietal,B0,0,0.001,0.3526397865753958,100000.0,28
subj07,parietal,B0,1,0.001,2.8251629860766414,100000.0,30
subj07,parietal,B0,2,0.001,0.8940703940444565,100000.0,28
subj07,parietal,B0,3,0.001,0.09586823777037243,100000.0,39
subj07,parietal,B1,0,0.001,0.7422729482823851,100000.0,24
subj07,parietal,B1,1,0.001,0.26560877829466867,100000.0,31
subj07,parietal,B1,2,0.001,0.050634274516523754,100000.0,23
subj07,parietal,B1,3,0.001,0.004507539501517473,83021.75681319753,28
subj08,V1,B0,0,0.001,77.7616833490255,100000.0,9
subj08,V1,B0,1,0.9770099572992257,48.62601580065353,100000.0,11
subj08,V1,B0,2,0.001,17.550965275067913,100000.0,17
subj08,V1,B0,3,0.0036783797718286343,100000.0,100000.0,10
subj08,V1,B1,0,0.001,36.94309954767702,100000.0,15
