participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj01,parietal,B0,3,71,19.179102616724887,2,0.001,0.03430469286314919,100000.0,30,1,0.24719202636091872,0.119308726076308,0.15009025447530652,1.0,0,0,-0.0036116259550756646,0.3373660315371663,0.19718309859154928
subj01,parietal,B1,0,71,1.7073526474706922,1,0.001,0.03430469286314919,100000.0,36,11,-0.013197046685662942,0.023436994438156788,0.038482874597917216,1.0,0,0,0.00142488435392718,0.3436891185239991,0.09859154929577464
subj01,parietal,B1,1,71,0.1261856883066021,2,0.001,0.1261856883066021,100000.0,41,12,0.013772877425231185,-0.027834661542358113,-0.036119222455287,1.0,0,0,0.000498048170096156,0.34062610280824124,0.028169014084507043
subj01,parietal,B1,2,71,0.001,3,0.001,0.1261856883066021,100000.0,37,12,0.06202306586399976,-0.12306831124972574,-0.11890498264032924,1.0,0,0,0.009093613189772028,0.3519437944186052,0.0
subj01,parietal,B1,3,71,13.219411484660315,10,0.001,15.922827933410938,100000.0,41,3,0.14363785089240683,0.03622802490427903,0.004406879065320272,1.0,0,0,0.0020413045717838163,0.34250512853495935,0.04225352112676056
subj02,V1,B0,0,23,2.0565123083486534,2,0.03430469286314919,58.57020818056673,100000.0,14,6,0.15515837201508706,0.12236147314691903,0.17272844275742713,1.0,0,0,-0.004923423581598452,0.33927832282367737,0.21739130434782608
subj02,V1,B0,1,23,4.328761281083062,7,0.0014508287784959402,148.49682622544665,100000.0,17,9,0.22232897867688275,0.13724035874264368,0.138118001753116,1.0,0,0,0.00030403069755429975,0.3445742631494611,0.2608695652173913
subj02,V1,B0,2,23,1.7073526474706922,4,0.001,123.28467394420684,100000.0,15,10,0.22679853197176975,0.20650249391876666,0.1885522895014913,1.0,0,0,0.0007585208548840047,0.34608188113106175,0.30434782608695654
subj02,V1,B0,3,23,23.10129700083163,11,0.26560877829466867,9.111627561154895,100000.0,19,12,0.29063368849573923,0.24046614698193033,0.24378808525789775,1.0,0,0,0.001618076432290956,0.33780293574493475,0.17391304347826086
subj02,V1,B1,0,23,15.922827933410938,3,0.001,0.5590810182512228,33.516026509388475,17,11,0.1333763505669082,0.08489151513254987,0.09325893952143414,1.0,0,0,-0.0010940968392131913,0.3357459659998415,0.08695652173913043
