participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj02,V1,B1,2,23,2.0565123083486534,11,0.001,0.019630406500402715,100000.0,13,2,0.36101572600899845,0.12581951929982585,0.11454716858671503,1.0,0,0,0.004434659395112556,0.34216525306585227,0.043478260869565216
subj02,V1,B1,3,23,102.35310218990269,8,0.001,0.9770099572992257,100000.0,18,3,0.359253410953583,0.019535257169301826,0.0024898134076364216,1.0,0,0,-0.009404644289916785,0.3318572722430781,0.043478260869565216
subj02,V2,B0,0,22,77.7616833490255,8,0.001,256.02902949671295,100000.0,15,12,0.2996650957749369,0.11202489361370636,0.06646762139211487,1.0,0,0,-0.004258667783166645,0.3385716727293115,0.18181818181818182
subj02,V2,B0,1,22,48.62601580065353,11,0.001,219.1836870228586,100000.0,15,9,0.21498308661392437,0.038716879366435204,0.0050962155088465355,1.0,0,0,-0.0016797830369596263,0.3435912814609759,0.18181818181818182
subj02,V2,B0,2,22,5.747149864916974,8,0.001,30.922713642656923,100000.0,13,11,0.30823717545921087,0.15802765738928046,0.15905035739016848,1.0,0,0,-0.0007782177155153937,0.3411244537663222,0.18181818181818182
subj02,V2,B0,3,22,41.071021155021,6,0.001,88.16121012375896,100000.0,15,12,0.1948367831236314,0.03789864948876504,0.03985714415535711,1.0,0,0,-0.004421586538532959,0.3407613261848519,0.18181818181818182
subj02,V2,B1,0,22,36.94309954767702,11,0.001,2.2667943321701824,100000.0,16,2,0.461405645582618,-0.1453936753219247,-0.19059573613073869,1.0,0,0,0.006879107275420362,0.3508926281079424,0.0
subj02,V2,B1,1,22,77.7616833490255,5,0.001,0.8743363857359228,100000.0,16,6,0.2600562755730164,0.019722490236356516,-0.013674856985171738,1.0,0,0,0.0035327024943597658,0.3414632039589262,0.045454545454545456
subj02,V2,B1,2,22,40.37017258596558,11,0.001,148.49682622544665,100000.0,13,9,0.31173849393262265,-0.03546051444345831,-0.020309216801315148,1.0,0,0,-0.0009996590703566783,0.3417972674382639,0.045454545454545456
subj02,V2,B1,3,22,41.071021155021,6,0.001,414.9907157460532,100000.0,15,7,0.2425800927468117,-0.06876023167410408,-0.1257622531258462,1.0,0,0,0.0026812664662769887,0.3407560976700656,0.13636363636363635
subj02,V3,B0,0,22,6.922462358690275,4,0.001,941.7720031016239,100000.0,15,8,0.3097627397770088,0.14112136539699666,0.16531800745726982,1.0,0,0,0.004529625626800976,0.3533159246872244,0.18181818181818182
subj02,V3,B0,1,22,5.30452636145866,3,0.001,404.2028631436648,100000.0,7,12,0.20275011690218517,0.11373008472087624,0.07630151682116007,1.0,0,0,-0.0031563803904120125,0.3443627778130501,0.2727272727272727
subj02,V3,B0,2,22,6.922462358690275,6,0.001,0.30807499582828585,100000.0,14,12,0.20915551301317709,0.11212039912260803,0.07921713172443778,1.0,0,0,0.0021865605260693493,0.34431718627401114,0.18181818181818182
subj02,V3,B0,3,22,96.91634852569665,2,0.001,77.7616833490255,100000.0,18,8,0.22953267573678302,0.17972409108599932,0.19075849293063146,1.0,0,0,-0.0007430523748418212,0.3420902208484018,0.18181818181818182
subj02,V3,B1,0,22,6.922462358690275,7,7.56463327554629,100000.0,100000.0,10,12,0.33666616029189017,0.006476627303748649,0.012946723517158344,1.0,0,0,0.0007032459652730708,0.35023553291867343,0.045454545454545456
subj02,V3,B1,1,22,14.571119709035626,11,0.001,37.24651805698883,100000.0,17,12,0.25445091593816116,0.16085869916659018,0.16966729483792414,1.0,0,0,0.0019771586545218106,0.34213105538222816,0.22727272727272727
subj02,V3,B1,2,22,44.498094193309555,5,0.001,135.89075008482675,100000.0,17,5,0.26639056583520576,0.008329931226010272,-0.0011753481966346145,1.0,0,0,-0.0005930603111173878,0.3415919052478788,0.18181818181818182
subj02,V3,B1,3,22,380.8355953858117,7,0.001,1.4174741629268062,376.49358067924715,19,10,0.3414864995334143,-0.05519844149707943,-0.06552413288545361,1.0,0,0,0.003309706083393875,0.3460354646567442,0.045454545454545456
subj02,hV4,B0,0,10,15.922827933410938,4,0.001,9.269810465238429,100000.0,9,6,0.1654591431631554,-0.03205540438416447,-0.055445530260277945,1.0,0,0,-0.0007713135598204638,0.34504196448438956,0.0
subj02,hV4,B0,1,10,21.140199808778256,6,0.001,0.008648754173103223,15.922827933410938,6,8,0.09894536334834,0.05975823811840675,0.032582043881210165,1.0,0,0,0.0010579825008213207,0.3459622267470951,0.1
subj02,hV4,B0,2,10,0.854176323735346,8,0.001,0.002715310728791941,100000.0,5,1,0.40843941760223473,0.12228160253796214,0.04066545224301074,1.0,0,0,-0.00459685028903194,0.3326803731439907,0.1
subj02,hV4,B0,3,10,6.922462358690275,2,0.001,0.001,100000.0,5,9,-0.012073446548611696,0.11253368916916089,0.12541400331463237,1.0,0,0,0.0003166285793095767,0.3433051995757475,0.1
subj02,hV4,B1,0,10,64.5591156438766,3,0.07220809018385467,100000.0,100000.0,3,4,0.1290790276087769,-0.1749462580823422,-0.19808965919093424,1.0,0,0,-0.0022586591138540404,0.33219793597647385,0.0
subj02,hV4,B1,1,10,100000.0,6,0.001,0.05288078763948326,100000.0,6,8,0.2137712294007364,0.10523652179850385,0.1322510476612516,1.0,0,0,0.00013001806291862116,0.34503407387370705,0.1
subj02,hV4,B1,2,10,16.1992570506926,6,0.02848035868435802,0.20179345100992077,100000.0,10,8,0.12080696050634254,0.12224737899129581,0.08915901813523675,1.0,0,0,0.0035483883832625024,0.34182581060911615,0.1
subj02,hV4,B1,3,10,1.0136396806252153,9,0.001,3.0354450098981705,48.62601580065353,10,8,0.2295886644347666,-0.12093096724648114,-0.13485831200783277,1.0,0,0,-0.0025576213280869894,0.33285396717569127,0.1
subj02,ventral,B0,0,164,215.44346900318865,5,0.001,48.62601580065353,100000.0,63,11,0.1688626011560003,0.07415663951943588,0.09703097469116424,1.0,0,0,-0.00235137135092126,0.3404113960144288,0.20121951219512196
