subject,roi,fold,pair,s1,s2,AXIS_SINGULAR_GAP,s2_over_s1
subj02,ventral,3,14,10.540688449623433,5.340890582163267,0.49330723437195695,0.5066927656280431
subj02,ventral,3,15,10.608179758023539,5.521904978657027,0.47946725030931797,0.5205327496906821
subj02,ventral,3,16,12.38441522009919,6.1820563299286295,0.5008196818291824,0.4991803181708176
subj02,ventral,3,17,10.07235334537212,5.899704356350294,0.4142675347007168,0.5857324652992831
subj02,ventral,3,18,9.799364113664806,5.12337449984005,0.47717275933285125,0.5228272406671487
subj02,ventral,3,19,10.3362957205243,5.135713751074872,0.5031378851828779,0.496862114817122
subj02,ventral,3,20,11.254967244988316,6.6157707215180315,0.4121910284133484,0.5878089715866516
subj02,ventral,3,21,12.534979008119072,7.866616784224763,0.37242680828348806,0.6275731917165119
subj02,ventral,3,22,10.313733092451152,7.569908893615767,0.2660359904837609,0.7339640095162391
subj02,ventral,3,23,10.966519734781256,5.424918963269745,0.5053199105579367,0.4946800894420634
subj02,ventral,3,24,11.234767779851127,5.86620451753303,0.47785262388300437,0.5221473761169956
subj02,ventral,4,0,10.777165465133365,5.232054243446445,0.5145240870270242,0.4854759129729757
subj02,ventral,4,1,11.893270334384011,7.04112416389153,0.40797409241297544,0.5920259075870246
subj02,ventral,4,2,9.886750126614587,6.390188166406221,0.3536614069769816,0.6463385930230183
subj02,ventral,4,3,10.52206233884979,5.862138470215627,0.4428717221555216,0.5571282778444784
subj02,ventral,4,4,10.595321193476309,5.004542613061027,0.5276648511474673,0.4723351488525327
subj02,ventral,4,5,10.191199487620157,6.820880123436994,0.3307088010863968,0.6692911989136032
subj02,ventral,4,6,11.826364836855678,7.617589452654791,0.3558807327746783,0.6441192672253218
subj02,ventral,4,7,9.878915768669016,6.917558940064932,0.29976536878632243,0.7002346312136776
subj02,ventral,4,8,9.971098780238345,7.246993722012628,0.273200087399054,0.726799912600946
subj02,ventral,4,9,10.446366067564009,5.919711101638081,0.43332340994455504,0.566676590055445
subj02,ventral,4,10,10.01277410209265,6.188660837609594,0.3819234535296091,0.6180765464703909
subj02,ventral,4,11,11.718445291168905,6.981320062081951,0.40424519732637926,0.5957548026736208
subj02,ventral,4,12,9.508642582971465,6.57278709610802,0.30875652978282264,0.6912434702171774
subj02,ventral,4,13,9.948963141101359,6.413273488391118,0.35538272708072743,0.6446172729192725
