subject,roi,fold,R0,R_IN_XSUB,R_OUT_XSUB,R_COMP_XSUB,R_native
subj02,lateral,0,0.1504794182831691,0.0872926020576531,0.15482759235197777,0.09164077612646176,0.7698072306837871
subj02,lateral,1,0.11251160313859357,0.07088507134414532,0.11408011295811132,0.07245358116366307,0.7301886694742702
subj02,lateral,2,0.13477055014787254,0.09628199618538073,0.1383352519789006,0.09984669801640879,0.7577185135730518
subj02,lateral,3,0.0893491128561634,0.11159342026625155,0.09413975690025139,0.11638406431033954,0.7525692660490448
subj02,lateral,4,0.1178729713164479,0.11496235401850603,0.11811903137789957,0.11520841407995769,0.6710951735095827
subj02,lateral,5,0.0889581519676716,0.08997484621174867,0.08991932742680085,0.09093602167087791,0.6947901519349616
subj03,lateral,0,0.19890980235787553,0.18604664167750157,0.208385689833964,0.19552252915359003,0.7054505884597655
subj03,lateral,1,0.1406079829245157,0.12851099311312492,0.14995578697922984,0.13785879716783905,0.7228147057441048
subj03,lateral,2,0.14322554453822606,0.12405385742477795,0.14430673448550776,0.1251350473720597,0.7312582292667837
subj03,lateral,3,0.21049893060703434,0.16032768168121478,0.21651149676493933,0.16634024783911977,0.6883497653732515
subj03,lateral,4,0.1261252133218715,0.19620409722702176,0.13119030780447277,0.20126919170962304,0.712239298391218
subj03,lateral,5,0.09892034777782344,0.09135534526429082,0.10546303374306737,0.09789803122953475,0.6720737792148559
subj04,lateral,0,0.12811511074698534,0.0938954074350847,0.13090952304184858,0.09668981972994795,0.6152556634144699
subj04,lateral,1,0.13469005205777335,0.08129436091540655,0.13809684135994735,0.08470115021758054,0.7218687253974134
subj04,lateral,2,0.1596133308597619,0.09216313013565094,0.16094089297015354,0.09349069224604259,0.759935654725224
subj04,lateral,3,0.12740556899115113,0.088166866276182,0.13008140495525417,0.09084270224028504,0.6688233094639349
subj04,lateral,4,0.09464851590747848,0.08951450071760902,0.09737771055408985,0.0922436953642204,0.4067570437114969
subj04,lateral,5,0.1662411198401435,0.09707300614531,0.1699551087154577,0.10078699502062419,0.6856676892986411
subj05,lateral,0,0.143024774082227,0.1064155778883126,0.15967678157479742,0.12306758538088303,0.619846355402238
subj05,lateral,1,0.16611502429999558,0.14687879362410833,0.16827227126689379,0.1490360405910065,0.6943000054114411
subj05,lateral,2,0.1259496144322311,0.12653727777479595,0.12801337115163391,0.12860103449419877,0.5812298331716983
subj05,lateral,3,0.03966948102758183,0.06285818673740948,0.05470553676828611,0.07789424247811375,0.570862149446256
subj05,lateral,4,0.14529392334949548,0.12746223861637035,0.1494749176396145,0.13164323290648938,0.6577578242671462
subj05,lateral,5,0.08442736750310592,0.11547697344834498,0.08895722745550892,0.120006833400748,0.5831552130011403
subj06,lateral,0,0.14124846395462437,0.10572642949209218,0.14860338248974014,0.11308134802720796,0.7563497153726955
subj06,lateral,1,0.04911832722374772,0.0344466447060823,0.059147548336514595,0.04447586581884918,0.6490861664829244
subj06,lateral,2,0.1006094773618907,0.029147378360158512,0.11586813754588944,0.04440603854415725,0.6579230852470128
subj06,lateral,3,0.09537243174859986,0.0664581780086689,0.10457044585522544,0.07565619211529451,0.6124091688026698
subj06,lateral,4,0.09549431390063584,0.08026322834496719,0.09973235999648643,0.08450127444081777,0.7766825010427656
subj06,lateral,5,0.06214385333104115,0.07131793911983059,0.06767488274114122,0.07684896852993066,0.6579572753435174
subj07,lateral,0,0.1562635909536735,0.1620948399540879,0.1643456814747346,0.17017693047514898,0.7388020575782125
subj07,lateral,1,0.10553508712330145,0.09229341315862141,0.10785528758188447,0.09461361361720441,0.7346962691874411
subj07,lateral,2,0.16690386306562638,0.05944948859777263,0.17574063909536541,0.06828626462751167,0.7756299426149269
subj07,lateral,3,0.15262592259263733,0.1156446854199705,0.1610266989932106,0.12404546182054377,0.7724661487480702
subj07,lateral,4,0.10145872260548229,0.12050540871183354,0.10442295853437082,0.12346964464072208,0.7592280710715043
subj07,lateral,5,0.15686467145355176,0.16529345643861665,0.1647804836776147,0.17320926866267955,0.8012447153980937
