subject,roi,fold,di,dj,SIM
subj04,ventral,4,2,5,0.15080082963519398
subj04,ventral,4,2,6,0.2471475274878132
subj04,ventral,4,3,4,0.11084749261544158
subj04,ventral,4,3,5,0.1215153370417069
subj04,ventral,4,3,6,0.2779683077665246
subj04,ventral,4,4,5,0.10333935640864655
subj04,ventral,4,4,6,0.16179325081905127
subj04,ventral,4,5,6,0.22372342309634963
subj04,ventral,5,0,1,0.1778666180252449
subj04,ventral,5,0,2,0.09203953806029133
subj04,ventral,5,0,3,0.23438704482528444
subj04,ventral,5,0,4,0.13226307273540233
subj04,ventral,5,0,5,0.15019966083810848
subj04,ventral,5,0,6,0.25330954966508595
subj04,ventral,5,1,2,0.12425554349484473
subj04,ventral,5,1,3,0.35955499978510097
subj04,ventral,5,1,4,0.12789440908935992
subj04,ventral,5,1,5,0.1622241636559315
subj04,ventral,5,1,6,0.31176562273089553
subj04,ventral,5,2,3,0.1329863315208675
subj04,ventral,5,2,4,0.08782342863423112
subj04,ventral,5,2,5,0.08891866311313223
subj04,ventral,5,2,6,0.1401849112727465
subj04,ventral,5,3,4,0.16655049445318465
subj04,ventral,5,3,5,0.19814786307393992
subj04,ventral,5,3,6,0.3546635759447707
subj04,ventral,5,4,5,0.1541885040918563
subj04,ventral,5,4,6,0.19697393562059531
subj04,ventral,5,5,6,0.22954118485140942
subj05,ventral,0,0,1,0.10776862084259581
subj05,ventral,0,0,2,0.18822242619413831
subj05,ventral,0,0,3,0.22742907760192882
subj05,ventral,0,0,4,0.1788575618249873
subj05,ventral,0,0,5,0.035398239923201014
subj05,ventral,0,0,6,0.19474523788618928
subj05,ventral,0,1,2,0.18124520381548093
subj05,ventral,0,1,3,0.2004931020283356
subj05,ventral,0,1,4,0.16724173506001716
subj05,ventral,0,1,5,0.021640009127179814
subj05,ventral,0,1,6,0.2564015145274486
subj05,ventral,0,2,3,0.29665415251984834
subj05,ventral,0,2,4,0.24410008655097276
subj05,ventral,0,2,5,0.060755077185041875
subj05,ventral,0,2,6,0.2598943793905934
subj05,ventral,0,3,4,0.284311835588403
subj05,ventral,0,3,5,0.08864618678819933
subj05,ventral,0,3,6,0.30041438790873964
subj05,ventral,0,4,5,0.07809127250995637
subj05,ventral,0,4,6,0.26571770241819126
subj05,ventral,0,5,6,0.058411683632472795
subj05,ventral,1,0,1,0.05771568279850686
subj05,ventral,1,0,2,0.08554526302896011
subj05,ventral,1,0,3,0.1610562535702476
subj05,ventral,1,0,4,0.09478249755202586
subj05,ventral,1,0,5,0.10644437879765496
subj05,ventral,1,0,6,0.14630466879992698
