subject,roi,M,T,N_TRIALS,q,R_COMP,TOTAL_RECOVERY,FULL_CAPACITY_FRACTION
subj04,lateral,2,1,2,2,0.24780997039293928,0.22186224213552957,0.2309143889874066
subj04,lateral,2,2,4,2,0.31878795401855015,0.36160127810610593,0.37635488304463055
subj04,lateral,2,4,8,2,0.39863623075478,0.5188038449455289,0.5399714332046277
subj04,lateral,2,8,16,2,0.47477001577698613,0.6686934470496296,0.6959766441512051
subj04,lateral,4,1,4,4,0.3262790071937393,0.3763494083802315,0.3917047481599214
subj04,lateral,4,2,8,4,0.404083448951738,0.5295281425471535,0.5511332902388024
subj04,lateral,4,4,16,4,0.48248097170990867,0.6838745143811816,0.7117771104824727
subj04,lateral,4,8,32,4,0.5468104300139968,0.8105241602113437,0.8435941574069251
subj04,lateral,6,1,6,6,0.37597575917961223,0.4741906805415459,0.4935380180368167
subj04,lateral,6,2,12,6,0.4540997808195826,0.6279985926921349,0.6536214090357498
subj04,lateral,6,4,24,6,0.5268792681090524,0.7712843676996072,0.8027533517582329
subj04,lateral,6,8,48,6,0.5886456633267091,0.8928879422477378,0.9293184438855938
subj04,lateral,8,1,8,6,0.3993843087153078,0.5202766353474989,0.5415043145660703
subj04,lateral,8,2,16,6,0.477684236256444,0.6744308650432597,0.70194815312728
subj04,lateral,8,4,32,6,0.5454158842767866,0.80777862607554,0.8407366034071513
subj04,lateral,8,8,64,6,0.6097555694615838,0.9344484062400166,0.9725746061619476
subj04,lateral,10,1,10,6,0.41640692896314563,0.5537901901375756,0.5763852476741885
subj04,lateral,10,2,20,6,0.49403948283938515,0.7066305172990416,0.7354615754864969
subj04,lateral,10,4,40,6,0.557250019509919,0.8310772683382749,0.8649858478506881
subj04,lateral,10,8,80,6,0.6231397296223898,0.9607986847716256,0.9999999959362811
subj05,lateral,2,1,2,2,0.20248615942325876,0.1699942279807375,0.1781704799757657
subj05,lateral,2,2,4,2,0.27068262630614015,0.30626582569734895,0.32099636448158736
subj05,lateral,2,4,8,2,0.35529369415465717,0.47533742027170506,0.4981998349370341
subj05,lateral,2,8,16,2,0.43859139256241936,0.6417846127287022,0.6726526767949484
subj05,lateral,4,1,4,4,0.2793494758614249,0.32358410463541254,0.3391476047172183
subj05,lateral,4,2,8,4,0.3622845979915591,0.48930678963762675,0.5128410923164732
subj05,lateral,4,4,16,4,0.44756352832388707,0.659712920909906,0.6914432869923751
subj05,lateral,4,8,32,4,0.5241234255296342,0.8126964989472245,0.8517849518305933
subj05,lateral,6,1,6,6,0.3276236591819152,0.4200465812156929,0.4402496595111439
subj05,lateral,6,2,12,6,0.4145682159110277,0.59378100177719,0.6223402249817609
subj05,lateral,6,4,24,6,0.4971751305535383,0.7588478557552275,0.7953463378992485
subj05,lateral,6,8,48,6,0.5672025771495429,0.898778155194943,0.9420068975574962
subj05,lateral,8,1,8,6,0.34870320213110667,0.46216816211453143,0.4843971719015911
subj05,lateral,8,2,16,6,0.43759284291957407,0.639789290075645,0.6705613846432996
subj05,lateral,8,4,32,6,0.5187879495433597,0.8020350399235937,0.8406107061279833
subj05,lateral,8,8,64,6,0.5846412276767332,0.9336244291733735,0.9785291808953018
subj05,lateral,10,1,10,6,0.36518999382737344,0.4951124119908427,0.5189259490408306
subj05,lateral,10,2,20,6,0.4535586941789366,0.671692585942212,0.7039991407652263
subj05,lateral,10,4,40,6,0.5333837440058028,0.8312006598193609,0.8711791116400127
subj05,lateral,10,8,80,6,0.5948931163513608,0.9541099662277135,1.0
subj06,lateral,2,1,2,2,0.22223415597846183,0.22134741199658597,0.2338879652379088
subj06,lateral,2,2,4,2,0.3035096085623308,0.3580818887679678,0.3783692052102192
subj06,lateral,2,4,8,2,0.3973767600828349,0.5160001216554648,0.5452343780661485
subj06,lateral,2,8,16,2,0.48619157868291873,0.6654185175517668,0.7031181512264933
subj06,lateral,4,1,4,4,0.3055814312377834,0.36156743797729113,0.38205223003057637
subj06,lateral,4,2,8,4,0.4044468051151023,0.5278944744705368,0.5578026116526422
subj06,lateral,4,4,16,4,0.49870914068859873,0.6864775487461338,0.7253702928327755
subj06,lateral,4,8,32,4,0.5747371453233174,0.8143839350313786,0.8605232822413498
subj06,lateral,6,1,6,6,0.359039395905711,0.45150291782699475,0.4770830514664582
subj06,lateral,6,2,12,6,0.4616720783737567,0.6241679192606117,0.6595304787430516
